id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
54,gregoratto_f,Federica,Federica,Gregoratto,Gregoratto,,,,,,,false,,
70,gertsch_hp,Hans Peter,Hans Peter,Gertsch,Gertsch,,,,,,,false,,
71,gloor_j,Juliette,Juliette,Gloor,Gloor,,,,,,,false,,
159,gaillard_ba,Barbara,Barbara,Gaillard,Gaillard,,,,,,,false,,
178,giesinger_j,Johannes,Johannes,Giesinger,Giesinger,,,,,,,false,,
224,gellera_g,Giovanni,Giovanni,Gellera,Gellera,,,,,,,false,,
283,gerstgrasser_r,Robin,Robin,Gerstgrasser,Gerstgrasser,,,,,,,false,,
297,goppel,Anna,Anna,Goppel,Goppel,,,,,,,false,,
344,guichardan_r,Ren{\'e},René,Guichardan,Guichardan,,,,,,,false,,
383,gut_p,Pascal,Pascal,Gut,Gut,,,,,,,false,,
388,godun_d,Daryna,Daryna,Godun,Godun,,,,,,,false,,
410,gamez_fd,Fabian Dario,Fabian Dario,Gamez,Gamez,,,,,,,false,,
428,groh_r,Reiner,Reiner,Groh,Groh,,,,,,,false,,
431,grueter_m,Maurice,Maurice,"Gr{\""u}ter",Grüter,,,,,,,false,,
432,gloor_s,Sarah,Sarah,Gloor,Gloor,,,,,,,false,,
438,gard_m,Mathieu,Mathieu,Gard,Gard,,,,,,,false,,
457,gris_s,Sonora,Sonora,Gris,Gris,,,,,,,false,,
478,grandjean_v,Vincent,Vincent,Grandjean,Grandjean,,,,,,,false,,
502,grusenick_d,Doreen,Doreen,Grusenick,Grusenick,,,,,,,false,,
508,ginsberg_c,Christine,Christine,Ginsberg,Ginsberg,,,,,,,false,,
526,gloy,Karen,Karen,Gloy,Gloy,,,,,,,false,,
532,gretener_u,Urs,Urs,Gretener,Gretener,,,,,,,false,,
534,gokl_r,Reinhold,Reinhold,Gokl,Gokl,,,,,,,false,,
565,gaehler,Marco,Marco,"G{\""a}hler",Gähler,,,,,,,false,,
581,guentert_m,Manuel,Manuel,"G{\""u}ntert",Güntert,,,,,,,false,,
589,germann_l,Lukas,Lukas,Germann,Germann,,,,,,,false,,
598,goarzin_m,"Ma{\""e}l",Maël,Goarzin,Goarzin,,,,,,,false,,
609,gramlich_n,Naomie,Naomie,Gramlich,Gramlich,,,,,,,false,,
703,grinbaum,Alexei,Alexei,Grinbaum,Grinbaum,,,,,,,false,,
722,gayon,Jean,Jean,Gayon,Gayon,,,,,,,false,,
728,goffi,Jean-Yves,Jean-Yves,Goffi,Goffi,,,,,,,false,,
751,guebeli,Verena,Verena,"G{\""u}beli",Gübeli,,,,,,,false,,
765,gaille_m,Marie,Marie,Gaille,Gaille,,,,,,,false,,
806,glauser_w,Wilhelm,Wilhelm,Glauser,Glauser,,,,,,,false,,
842,gouriot_m,Myl{\`e}ne,Mylène,Gouriot,Gouriot,,,,,,,false,,
932,gnutzmann_a,Angela,Angela,Gnutzmann,Gnutzmann,,,,,,,false,,
938,geisser_e,Erich,Erich,Geisser,Geisser,,,,,,,false,,
1141,giovannozzi_c,Chiara,Chiara,Giovannozzi,Giovannozzi,,,,,,,false,,
1200,gevers_j,Johann,Johann,Gevers,Gevers,,,,,,,false,,
1543,gehrig_t,Thomas,Thomas,Gehrig,Gehrig,,,,,,,false,,
1616,gugolz,Benedikt,Benedikt,Gugolz,Gugolz,,,,,,,false,,
1778,gilgen_e,Emmanuel,Emmanuel,Gilgen,Gilgen,,,,,,,false,,
1797,groneberg_m,Michael,Michael,Groneberg,Groneberg,,,,,,,false,,
1878,gernherr,,,,,Gernherr,Gernherr,,,,,false,,
1920,goetz_m,Martin,Martin,"G{\""o}tz",Götz,,,,,,,false,,
1925,galabru_s,Sophie,Sophie,Galabru,Galabru,,,,,,,false,,
1939,guldimann,Nadine,Nadine,Guldimann,Guldimann,,,,,,,false,,
1968,garciaportela,Laura,Laura,Garc{\'{\i}}a Portela,García Portela,,,,,,,false,,
2020,gobsch,Wolfram,Wolfram,Gobsch,Gobsch,,,,,,,false,,
2028,gerber_y,Yanick,Yanick,Gerber,Gerber,,,,,,,false,,
2030,gandler_s,Stefan,Stefan,Gandler,Gandler,,,,,,,false,,
2045,gross_bp,Bastian P.,Bastian P.,Gross,Gross,,,,,,,false,,
2075,garoflidoprescu,Anna,Anna,Garoflid-Oprescu,Garoflid-Oprescu,,,,,,,false,,
