id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
38,hofmann_i,Imre,Imre,Hofmann,Hofmann,,,,,,,false,,
62,huber_al,Alexandra,Alexandra,Huber,Huber,,,,,,,false,,
82,hampe,Michael,Michael,Hampe,Hampe,,,,,,,false,,
122,herzer_s,Stephan,Stephan,Herzer,Herzer,,,,,,,false,,
124,hyzik_m,Michael,Michael,Hyzik,Hyzik,,,,,,,false,,
165,herzog_l,Lisa,Lisa,Herzog,Herzog,,,,,,,false,,
187,harrison_k,Kelly,Kelly,Harrison,Harrison,,,,,,,false,,
192,hudry,Jean-Louis,Jean-Louis,Hudry,Hudry,,,,,,,false,,
211,hofmeier_s,Susanne,Susanne,Hofmeier,Hofmeier,,,,,,,false,,
226,heeb_s,Stefan,Stefan,Heeb,Heeb,,,,,,,false,,
232,huegli_a,Anton,Anton,"H{\""u}gli",Hügli,,,,,,,false,,
236,hertig_m,Michael,Michael,Hertig,Hertig,,,,,,,false,,
258,hachen_f,Frieda,Frieda,Hachen,Hachen,,,,,,,false,,
260,hofer_r,Roger,Roger,Hofer,Hofer,,,,,,,false,,
293,hasselmann,Oswald,Oswald,Hasselmann,Hasselmann,,,,,,,false,,
303,hofer_m,Michael,Michael,Hofer,Hofer,,,,,,,false,,
313,hauser_ce,C{\'e}cile,Cécile,Hauser,Hauser,,,,,,,false,,
315,hubacher_m,Manuel S.,Manuel S.,Hubacher,Hubacher,,,,,,,false,,
325,hosch_d,Dominique,Dominique,Hosch,Hosch,,,,,,,false,,
333,heise_a,Andreas,Andreas,Heise,Heise,,,,,,,false,,
335,haessig_j,Jonas,Jonas,"H{\""a}ssig",Hässig,,,,,,,false,,
346,hladky_m,Michal,Michal,Hladky,Hladky,,,,,,,false,,
360,hilmer_b,Brigitte,Brigitte,Hilmer,Hilmer,,,,,,,false,,
411,haffter_c,Christoph,Christoph,Haffter,Haffter,,,,,,,false,,
440,hoffmann_mar,Marianne,Marianne,Hoffmann,Hoffmann,,,,,,,false,,
