id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
193,imhof_s,Silvan,Silvan,Imhof,Imhof,,,,,,,false,,
216,ierodiakonou,Katerina,Katerina,Ierodiakonou,Ierodiakonou,,,,,,,false,,
218,iselibuechi,Rebecca,Rebecca,"Iseli B{\""u}chi",Iseli Büchi,,,,,,,false,,
245,isaac_mg,Manuel Gustavo,Manuel Gustavo,Isaac,Isaac,,,,,,,false,,
693,imbach_l,Lea,Lea,Imbach,Imbach,,,,,,,false,,
851,imeri_e,Enur,Enur,Imeri,Imeri,,,,,,,false,,
1807,ibrahim_o,Omar,Omar,Ibrahim,Ibrahim,,,,,,,false,,
24890,irrgang,Bernhard,Bernhard,Irrgang,Irrgang,,,,,,,false,,
24912,ingold_f,Felix,Felix,Ingold,Ingold,,,,,,,false,,
25083,ishigami_s,Satoshi,Satoshi,Ishigami,Ishigami,,,,,,,false,,
25259,illmer_ld,Lea Dora,Lea Dora,Illmer,Illmer,,,,,,,false,,
25480,ilg_b,Benjamin,Benjamin,Ilg,Ilg,,,,,,,false,,
25703,imhoof,Stefan,Stefan,Imhoof,Imhoof,,,,,,,false,,
25969,imbach_r,Ruedi,Ruedi,Imbach,Imbach,,,,,,,false,,
26044,ilg_y,Yvonne,Yvonne,Ilg,Ilg,,,,,,,false,,
26049,indermaur_a,Andrea,Andrea,Indermaur,Indermaur,,,,,,,false,,
26361,indermuhle_c,Christian,Christian,Indermuhle,Indermuhle,,,,,,,false,,
26398,imhof_em,Emanuel,Emanuel,Imhof,Imhof,,,,,,,false,,
26884,illies,Christian,Christian,Illies,Illies,,,,,,,false,,
26897,imfeld_c,Claudia,Claudia,Imfeld,Imfeld,,,,,,,false,,
26898,insipidiguggenbuehl,Claudia,Claudia,"Insipidi Guggenb{\""u}hl",Insipidi Guggenbühl,,,,,,,false,,
26908,ingold_d,Doris,Doris,Ingold,Ingold,,,,,,,false,,
26933,imfeld_d,Desiree,Desiree,Imfeld,Imfeld,,,,,,,false,,
26975,isik_e,Ercan Murat,Ercan Murat,I{\c{s}}ik,Işik,,,,,,,false,,
26977,imhof_e,Esther,Esther,Imhof,Imhof,,,,,,,false,,
27060,isufi_i,Ilir,Ilir,Isufi,Isufi,,,,,,,false,,
27215,indino_m,Marcello,Marcello,Indino,Indino,,,,,,,false,,
27286,ilic_n,Nastasa,Nastasa,Ilic,Ilic,,,,,,,false,,
52084,iacoboni,Marco,Marco,Iacoboni,Iacoboni,,,,,,,false,,
52085,iacona,Andrea,Andrea,Iacona,Iacona,,,,,,,false,,
52086,iacono_am,Alfonso M.,Alfonso M.,Iacono,Iacono,,,,,,,false,,
52087,iacono_l,Leo,Leo,Iacono,Iacono,,,,,,,false,,
52088,iamblichus,,,,,{Iamblichus Chalcidensis},Iamblichus Chalcidensis,,,,,false,,
52089,iannaccone,I.,I.,Iannaccone,Iannaccone,,,,,,,false,,
52090,iannelli,Francesca,Francesca,Iannelli,Iannelli,,,,,,,false,,
52091,ianni_g,Giovambattista,Giovambattista,Ianni,Ianni,,,,,,,false,,
52092,iannone,A.~Pablo,A. Pablo,Iannone,Iannone,,,,,,,false,,
52093,ianovski,Egor,Egor,Ianovski,Ianovski,,,,,,,false,,
52094,iaquinto_s,Samuele,Samuele,Iaquinto,Iaquinto,,,,,,,false,,
52095,iatridou,Sabine,Sabine,Iatridou,Iatridou,,,,,,,false,,
