id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
44,kaiser_ma,Mario,Mario,Kaiser,Kaiser,,,,,,,false,,
45,kunz_m,Martin,Martin,Kunz,Kunz,,,,,,,false,,
68,kirchner_a,Andreas,Andreas,Kirchner,Kirchner,,,,,,,false,,
69,kuchowskytolley,Christine,Christine,Kuchowsky-Tolley,Kuchowsky-Tolley,,,,,,,false,,
92,kuhn_sy,Sibylle,Sibylle,Kuhn,Kuhn,,,,,,,false,,
127,kazimi_i,Ibraim,Ibraim,Kazimi,Kazimi,,,,,,,false,,
140,klankert,Tanja,Tanja,Klankert,Klankert,,,,,,,false,,
152,kisa_i,Ilker,Ilker,K{\i}sa,Kısa,,,,,,,false,,
154,koenig_th,Thomas,Thomas,"K{\""o}nig",König,,,,,,,false,,
163,keiling_t,Tobias,Tobias,Keiling,Keiling,,,,,,,false,,
183,koenig_je,Jeannine,Jeannine,"K{\""o}nig",König,,,,,,,false,,
190,koenigpralong,Catherine,Catherine,"K{\""o}nig-Pralong",König-Pralong,,,,,,,false,,
264,krauss_b,Bruno,Bruno,Krauss,Krauss,,,,,,,false,,
309,kaiser_st,Stefan,Stefan,Kaiser,Kaiser,,,,,,,false,,
312,klaffke,Timothy,Timothy,Klaffke,Klaffke,,,,,,,false,,
327,kuenzler_n,"No{\""e}my",Noëmy,"K{\""u}nzler",Künzler,,,,,,,false,,
331,kunduru,Meral,Meral,Kunduru,Kunduru,,,,,,,false,,
343,ketterer,Maya,Maya,Ketterer,Ketterer,,,,,,,false,,
350,krieger_h,Harald,Harald,Krieger,Krieger,,,,,,,false,,
355,koelbing_s,Silvio,Silvio,Koelbing,Koelbing,,,,,,,false,,
380,krovinovic,Ines,Ines,Krovinovic,Krovinovic,,,,,,,false,,
430,karacic_a,Antonela,Antonela,Karacic,Karacic,,,,,,,false,,
435,keller_p,Peter,Peter,Keller,Keller,,,,,,,false,,
459,koenig_a,Alexander,Alexander,"K{\""o}nig",König,,,,,,,false,,
461,katz_td,Tristan D.,Tristan D.,Katz,Katz,,,,,,,false,,
462,keller_t,Thomas,Thomas,Keller,Keller,,,,,,,false,,
483,karch_c,Caterina,Caterina,Karch,Karch,,,,,,,false,,
549,kasky,Michael,Michael,Kasky,Kasky,,,,,,,false,,
568,krueger_j,Joachim,Joachim,"Kr{\""u}ger",Krüger,,,,,,,false,,
601,kithacha,Dorvane,Dorvane,Kithacha,Kithacha,,,,,,,false,,
629,karzig_j,Julienne,Julienne,Karzig,Karzig,,,,,,,false,,
650,knauff_n,Nanette,Nanette,Knauff,Knauff,,,,,,,false,,
698,kreisel_mi,Michael,Michael,Kreisel,Kreisel,,,,,,,false,,
702,klein_ale,Alexandre,Alexandre,Klein,Klein,,,,,,,false,,
742,keller_st,Stefan,Stefan,Keller,Keller,,,,,,,false,,
778,kristensen_s,Stefan,Stefan,Kristensen,Kristensen,,,,,,,false,,
818,kuettel_s,S.,S.,Kuettel,Kuettel,,,,,,,false,,
821,kronenberger_p,Pascal,Pascal,Kronenberger,Kronenberger,,,,,,,false,,
824,krueger_r,Ralf,Ralf,Krueger,Krueger,,,,,,,false,,
840,kuechenhoff_b,Bernhard,Bernhard,"K{\""u}chenhoff",Küchenhoff,,,,,,,false,,
924,kueminrueegg,Beatrice,Beatrice,"K{\""u}min R{\""u}egg",Kümin Rüegg,,,,,,,false,,
930,koller_ju,Justin,Justin,Koller,Koller,,,,,,,false,,
977,kull_b,Birgit,Birgit,Kull,Kull,,,,,,,false,,
981,keller_su,Susanne,Susanne,Keller,Keller,,,,,,,false,,
993,kaatz_k,Kevin,Kevin,Kaatz,Kaatz,,,,,,,false,,
1023,keller_l,Lucille,Lucille,Keller,Keller,,,,,,,false,,
1134,kosatikov,Jevgenij,Jevgenij,Kosatikov,Kosatikov,,,,,,,false,,
1205,koegler_hu,Hubert,Hubert,"K{\""o}gler",Kögler,,,,,,,false,,
1364,kerkmann_j,Jan,Jan,Kerkmann,Kerkmann,,,,,,,false,,
1446,kramistraut,Anne-Catherine,Anne-Catherine,Kramis-Traut,Kramis-Traut,,,,,,,false,,
1503,kersten_ro,Rolf,Rolf,Kersten,Kersten,,,,,,,false,,
1548,knoll_l,Lothar,Lothar,Knoll,Knoll,,,,,,,false,,
1682,karcher_t,Tobias,Tobias,Karcher,Karcher,,,,,,,false,,
1874,kaesermann,Lena,Lena,Kaesermann,Kaesermann,,,,,,,false,,
1982,kohle_a,Arne,Arne,Kohle,Kohle,,,,,,,false,,
2133,kohler_ad,Andrin Daniel,Andrin Daniel,Kohler,Kohler,,,,,,,false,,
2252,kalatzis_a,Antonios,Antonios,Kalatzis,Kalatzis,,,,,,,false,,
