id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
184,vonpetersdorff,Friedrich,Friedrich,von Petersdorff,von Petersdorff,,,,,,,false,,
267,victor_b,Bruno,Bruno,Victor,Victor,,,,,,,false,,
378,vuong_d,Diem,Diem,Vuong,Vuong,,,,,,,false,,
400,vonrotz_c,Corinne,Corinne,von Rotz,von Rotz,,,,,,,false,,
521,vochtel,Joshua,Joshua,Vochtel,Vochtel,,,,,,,false,,
535,valia_l,Loutrianaki,Loutrianaki,Valia,Valia,,,,,,,false,,
538,vonallmen_k,Kathrin,Kathrin,von Allmen,von Allmen,,,,,,,false,,
626,valotti_n,Nina,Nina,Valotti,Valotti,,,,,,,false,,
630,voegeli_p,Peter,Peter,"V{\""o}geli",Vögeli,,,,,,,false,,
690,vonplanta,Beryll,Beryll,von Planta,von Planta,,,,,,,false,,
707,vergely,Bertrand,Bertrand,Vergely,Vergely,,,,,,,false,,
796,vincenti_r,Renato,Renato,Vincenti,Vincenti,,,,,,,false,,
894,vazard,Juliette,Juliette,Vazard,Vazard,,,,,,,false,,
922,veneroni_s,Stefano,Stefano,Veneroni,Veneroni,,,,,,,false,,
955,vogel_he,Henrike,Henrike,Vogel,Vogel,,,,,,,false,,
2064,vital_h,Heidy,Heidy,Vital,Vital,,,,,,,false,,
4042,vonsiebenthal_s,Sandra,Sandra,von Siebenthal,von Siebenthal,,,,,,,false,,
4056,vogt_l,Lisa,Lisa,Vogt,Vogt,,,,,,,false,,
5391,versant_m,Michel,Michel,Versant,Versant,,,,,,,false,,
7466,vouilloz_f,Fred,Fred,Vouilloz,Vouilloz,,,,,,,false,,
24930,vondermassen,Marcel,Marcel,Vondermassen,Vondermassen,,,,,,,false,,
24946,vonwedelstaedt_ak,Almut Kristine,Almut Kristine,von Wedelstaedt,von Wedelstaedt,,,,,,,false,,
24991,vagelli_m,Matteo,Matteo,Vagelli,Vagelli,,,,,,,false,,
25034,vonderostensacken,Anabel,Anabel,von der Osten-Sacken,von der Osten-Sacken,,,,,,,false,,
25060,vonsass,Hartmut,Hartmut,von Sass,von Sass,,,,,,,false,,
25074,vonkuegelgen,Anke,Anke,"von K{\""u}gelgen",von Kügelgen,,,,,,,false,,
25242,vankerckhoven_g,Guy,Guy,van Kerckhoven,van Kerckhoven,,,,,,,false,,
25413,valsangiacomo,Chiara,Chiara,Valsangiacomo,Valsangiacomo,,,,,,,false,,
25414,vandenbrandeler,Emn{\'e}e,Emnée,van den Brandeler,van den Brandeler,,,,,,,false,,
25415,vanloon,Marie,Marie,van Loon,van Loon,,,,,,,false,,
25416,ventimiglia,Giovanni,Giovanni,Ventimiglia,Ventimiglia,,,,,,,false,,
25417,villiger_d,Daniel,Daniel,Villiger,Villiger,,,,,,,false,,
25418,voirol_o,Olivier,Olivier,Voirol,Voirol,,,,,,,false,,
25419,vojta_f,Filip,Filip,Vojta,Vojta,,,,,,,false,,
25518,vonstuckrad,Kocku,Kocku,von Stuckrad,von Stuckrad,,,,,,,false,,
25525,vieweg,Klaus,Klaus,Vieweg,Vieweg,,,,,,,false,,
25603,vogel_pa,Patrick,Patrick,Vogel,Vogel,,,,,,,false,,
25798,vucetic,Milena,Milena,Vucetic,Vucetic,,,,,,,false,,
25857,vonwerdt_c,Christophe,Christophe,von Werdt,von Werdt,,,,,,,false,,
25859,viola_p,Pasquale,Pasquale,Viola,Viola,,,,,,,false,,
26023,vuilliomenet,Jean-Philippe,Jean-Philippe,Vuilliomenet,Vuilliomenet,,,,,,,false,,
26028,vieser_a,Annica,Annica,Vieser,Vieser,,,,,,,false,,
26057,valzino_a,Alexia,Alexia,Valzino,Valzino,,,,,,,false,,
26058,vanni_m,Michel,Michel,Vanni,Vanni,,,,,,,false,,
26071,vuille_e,Antoine,Antoine,Vuille,Vuille,,,,,,,false,,
26303,vandenwildenberg,Jeroen,Jeroen,van den Wildenberg,van den Wildenberg,,,,,,,false,,
26304,vanoncini,Eric,Eric,Vanoncini,Vanoncini,,,,,,,false,,
26305,vazquez_p,Pau,Pau,Vazquez,Vazquez,,,,,,,false,,
26306,vetsch_f,Florian,Florian,Vetsch,Vetsch,,,,,,,false,,
26307,vincent_m,Maurice,Maurice,Vincent,Vincent,,,,,,,false,,
26308,volkart_m,Michael,Michael,Volkart,Volkart,,,,,,,false,,
26309,vonderwahlnyffenegger,Helen,Helen,Vonderwahl-Nyffenegger,Vonderwahl-Nyffenegger,,,,,,,false,,
26338,vicini_d,Davide,Davide,Vicini,Vicini,,,,,,,false,,
26391,veres_m,M{\'a}t{\'e},Máté,Veres,Veres,,,,,,,false,,
26466,vennmann,Stefan,Stefan,Vennmann,Vennmann,,,,,,,false,,
26468,vogel_ma,Markus,Markus,Vogel,Vogel,,,,,,,false,,
26491,villinger_r,Rahel,Rahel,Villinger,Villinger,,,,,,,false,,
26542,vegetti_ma,Matteo,Matteo,Vegetti,Vegetti,,,,,,,false,,
26596,volpi_a,Arianna,Arianna,Volpi,Volpi,,,,,,,false,,
26766,voneitzen_a,Alex,Alex,von Eitzen,von Eitzen,,,,,,,false,,
26792,verdun_a,Andreas,Andreas,Verdun,Verdun,,,,,,,false,,
26808,vieitez,Araceli,Araceli,Vieitez,Vieitez,,,,,,,false,,
26868,vaudano,Camille,Camille,Vaudano,Vaudano,,,,,,,false,,
26910,vanello,Daniel,Daniel,Vanello,Vanello,,,,,,,false,,
26990,viri_f,Federico,Federico,Viri,Viri,,,,,,,false,,
27026,ventura_g,Gr{\'e}goire,Grégoire,Ventura,Ventura,,,,,,,false,,
27113,viehoff_j,Juri,Juri,Viehoff,Viehoff,,,,,,,false,,
27238,viggiano_m,Martina,Martina,Viggiano,Viggiano,,,,,,,false,,
27248,vogel_me,Melanie,Melanie,Vogel,Vogel,,,,,,,false,,
27287,vessiere,Natacha,Natacha,Vessiere,Vessiere,,,,,,,false,,
