id,author_key,given_name_latex,given_name_unicode,family_name_latex,family_name_unicode,mononym_latex,mononym_unicode,shorthand_latex,shorthand_unicode,famous_name_latex,famous_name_unicode,famous,name_variants_latex,name_variants_unicode
59,zaugg_n,Nicola,Nicola,Zaugg,Zaugg,,,,,,,false,,
109,zueblin_a,Adrian,Adrian,"Z{\""u}blin",Züblin,,,,,,,false,,
126,zbinden_t,Thomas,Thomas,Zbinden,Zbinden,,,,,,,false,,
220,zurbuchen_s,Simone,Simone,Zurbuchen,Zurbuchen,,,,,,,false,,
307,zanarelli,Adrien,Adrien,Zanarelli,Zanarelli,,,,,,,false,,
452,zehnder_m,Matthias,Matthias,Zehnder,Zehnder,,,,,,,false,,
523,zbinden_r,Roger,Roger,Zbinden,Zbinden,,,,,,,false,,
548,zogg_f,Fabian,Fabian,Zogg,Zogg,,,,,,,false,,
700,zielinski_a,Agata,Agata,Zielinski,Zielinski,,,,,,,false,,
701,zysset_a,Alain,Alain,Zysset,Zysset,,,,,,,false,,
895,ziegler_d,Denise,Denise,Ziegler,Ziegler,,,,,,,false,,
1019,zepf,Manfred,Manfred,Zepf,Zepf,,,,,,,false,,
1471,zisman,Valerij,Valerij,Zisman,Zisman,,,,,,,false,,
1510,zach,Richard J.,Richard J.,Zach,Zach,,,,,,,false,,
1646,zumsteinburri,Ruth,Ruth,Zumstein Burri,Zumstein Burri,,,,,,,false,,
1685,zimmer_s,Stephan,Stephan,Zimmer,Zimmer,,,,,,,false,,
1804,zepik,Helmut,Helmut,Zepik,Zepik,,,,,,,false,,
1923,zihlmann,Roland,Roland,Zihlmann,Zihlmann,,,,,,,false,,
2065,zellerxenaki,Denise,Denise,Zeller Xenaki,Zeller Xenaki,,,,,,,false,,
2092,zahn_l,Lorenz,Lorenz,Zahn,Zahn,,,,,,,false,,
2147,zurbruegg,Birgit,Birgit,"Zurbr{\""u}gg",Zurbrügg,,,,,,,false,,
2172,zimmermann_fla,Fl{\'a}vio,Flávio,Zimmermann,Zimmermann,,,,,,,false,,
2224,zuercher_j,Josy,Josy,"Z{\""u}rcher",Zürcher,,,,,,,false,,
5231,zehnder_d,David,David,Zehnder,Zehnder,,,,,,,false,,
24888,zimmermann_p,Peter,Peter,Zimmermann,Zimmermann,,,,,,,false,,
24955,zimmermann_ro,Rolf,Rolf,Zimmermann,Zimmermann,,,,,,,false,,
24977,zunke_c,Christine,Christine,Zunke,Zunke,,,,,,,false,,
24998,zoglauer,Thomas,Thomas,Zoglauer,Zoglauer,,,,,,,false,,
25086,zimmermann_s,Stephan,Stephan,Zimmermann,Zimmermann,,,,,,,false,,
25131,zastrow_je,Josepha Elisabeth,Josepha Elisabeth,Zastrow,Zastrow,,,,,,,false,,
25228,zimmermann_hd,Hans Dieter,Hans Dieter,Zimmermann,Zimmermann,,,,,,,false,,
25257,zaborowski,Holger,Holger,Zaborowski,Zaborowski,,,,,,,false,,
25426,zanetti_vi,Vivana,Vivana,Zanetti,Zanetti,,,,,,,false,,
25427,zehnder_ma,Marc-Andr{\'e},Marc-André,Zehnder,Zehnder,,,,,,,false,,
25487,zimenkova,Tatiana,Tatiana,Zimenkova,Zimenkova,,,,,,,false,,
25488,zimmerli_wc,Walther Ch.,Walther Ch.,Zimmerli,Zimmerli,,,,,,,false,,
25492,zimmer_r,Robert,Robert,Zimmer,Zimmer,,,,,,,false,,
25513,zwenger_t,Thomas,Thomas,Zwenger,Zwenger,,,,,,,false,,
25533,zuercher_t,Tobias,Tobias,"Z{\""u}rcher",Zürcher,,,,,,,false,,
25545,zanchet_m,Maria Eug{\^e}nia,Maria Eugênia,Zanchet,Zanchet,,,,,,,false,,
25560,zehnpfennig_b,Barbara,Barbara,Zehnpfennig,Zehnpfennig,,,,,,,false,,
25561,zinke,Alexandra,Alexandra,Zinke,Zinke,,,,,,,false,,
25771,zimmermann_do,Dominique,Dominique,Zimmermann,Zimmermann,,,,,,,false,,
25799,ziegler_a,Aline,Aline,Ziegler,Ziegler,,,,,,,false,,
25868,zuercher_ma,Markus,Markus,Zuercher,Zuercher,,,,,,,false,,
25950,zimmermann_be,Bettina,Bettina,Zimmermann,Zimmermann,,,,,,,false,,
25971,zuber_a,Aneta,Aneta,Zuber,Zuber,,,,,,,false,,
25986,zurkic_l,Luka,Luka,{\v{Z}}urki{\'c},Žurkić,,,,,,,false,,
26029,zito_ce,Charlotte Erika,Charlotte Erika,Zito,Zito,,,,,,,false,,
26313,zahn_a,Anina,Anina,Zahn,Zahn,,,,,,,false,,
