id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
47,article,abaci:2008,,,2008,,Kant's Theses on Existence,Kant's Theses on Existence,,,,british-journal-for-the-history-of-philosophy,16,16,3,3,559--593,559,,,,,,,,,,,,,,,,,,,english,false,,,abaci,,,1:ontology;2:ontological_commitment;3:thetism
48,incollection,abaci:2013,,,2013,,Leibniz and Kant on Existence and the Syntheticity of Existential Statements,Leibniz and Kant on Existence and the Syntheticity of Existential Statements,,,,,,,,,297--308,297,,,,,,,,,,,,,,,,,,,english,false,,,abaci,,,1:ontology;2:ontological_commitment;3:thetism
49,article,abaci:2014,,,2014,,Kant's \emph{Only Possible Argument} and Chignell's Real Harmony,Kant's Only Possible Argument and Chignell's Real Harmony,,,,kantian-review,19,19,1,1,1--25,1,,,,,,,,,,,,,,,,,,,english,false,,,abaci,,,1:modality;2:grounding_of_modality
50,article,abaci:2016,,,2016,,The Coextensiveness Thesis and Kant's Modal Agnosticism in the `Postulates',The Coextensiveness Thesis and Kant's Modal Agnosticism in the ‘Postulates',,,,european-journal-of-philosophy,24,24,1,1,129--158,129,,,,,,,,,,,,,,,,,,,english,false,,,abaci,,,1:modality;2:modal_epistemology
51,article,abaci:2017,,,2017,,"Kant, the Actualist Principle, and the Fate of the Only Possible Proof","Kant, the Actualist Principle, and the Fate of the Only Possible Proof",,,,journal-of-the-history-of-philosophy,55,55,2,2,261--291,261,,,,,,,,,,,,,,,,,,,english,false,,,abaci,,,1:religion;2:arguments_for_the_existence_of_god;3:ontological_argument
52,incollection,abaci:2018,,,2018,,What does Existence Add to Possibility? Wolff and Kant on \emph{Complementum Possibilitatis},What does Existence Add to Possibility? Wolff and Kant on Complementum Possibilitatis,,,,,,,,,3169--3176,3169,,,,,,,,,,,,,,,,,,,english,false,,,abaci,,,2:essence;3:essence_existence
53,book,abaci:2019,,,2019,,Kant's Revolutionary Theory of Modality,Kant's Revolutionary Theory of Modality,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780198831556.001.0001,,english,false,,,abaci,,,1:modality;2:grounding_of_modality
54,article,abad_jv-martinezfernandez:2009,,,2009,,A Failed \emph{Cassatio}: Goldstein on the Liar [on \citet{goldstein_l:2000}],A Failed Cassatio: Goldstein on the Liar [on Goldstein (2000)],,,,proceedings-of-the-aristotelian-society,109,109,3,3,327--332,327,,,,,,,,,,,,,,,,,,,english,false,,,abad_jv;martinezfernandez_j,,,1:truth;2:semantic_paradoxes
55,article,abad_jv:2009,,,2009,,Empiricism and Experience: Two Problems [on \citet{gupta_a:2006}],Empiricism and Experience: Two Problems [on Gupta (2006)],,,,international-journal-of-philosophical-studies,17,17,2,2,323--328,323,,,,,,,,,,,,,,,,,,,english,false,,,abad_jv,,,1:metaphysics;2:empiricism
56,article,abad_m-monteiro:1984,,,1984,,On Three-Valued Moisil Algebras,On Three-Valued Moisil Algebras,,,,logique-et-analyse,27,27,108,108,407--414,407,,,,,,,,,,,,,,,,,,,english,false,,,abad_m;monteiro_l,,,1:mathematics;2:algebra
