id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
363,book,acampora_cd:2013,,,2013,,Contesting Nietzsche,Contesting Nietzsche,,,,,,,,,,"Chicago, Illinois",,,university-of-chicago-press,,,,,,,,,,,10.7208/chicago/9780226923918.001.0001,,,false,,acampora_cd,,,
364,book,acampora_rr:2014,,,2014,,Corporal Compassion.~Animal Ethics and Philosophy of Body,Corporal Compassion. Animal Ethics and Philosophy of Body,,,,,,,,,,"Pittsburgh, Pennsylvania",,,university-of-pittsburgh-press,,,,,,,,,,,,,,false,,acampora_rr,,,1:animals;2:animal_ethics
365,incollection,acar_r:2010,,,2010,,Creation: Avicenna's Metaphysical Account,Creation: Avicenna's Metaphysical Account,,,,,,,77--90,,,,,,,,,,,,,,,,,,,,false,,acar_r,,,1:religion;2:divine_creation
366,book,accame_f:2016,,,2016,,Il dispositivo estetico e la funzione politica della gerarchia in cui {\`e} evoluto,Il dispositivo estetico e la funzione politica della gerarchia in cui è evoluto,,,,,,,,,filosofie,Milano,,,mimesis-edizioni,,,,,,,,,,,,,italian,false,,accame_f,,,1:aesthetics
367,incollection,accardi:1990,,,1990,,Quantum Probability and the Foundations of Quantum Theory,Quantum Probability and the Foundations of Quantum Theory,,,,,,,229--191,,,,,,,,,,,,,,,,,,,,false,,accardi,,,1:mathematics;2:statistics
368,incollection,accardi:2014,,,2014,,Models of Time,Models of Time,,,,,,,199--232,,,,,,,,,,,,,,,,,,,,false,,accardi,,,1:time;2:direction_of_time
369,book,accarino_b:2009,,,2009,,Espressivit{\`a} e stile.~La filosofia dei sensi e dell'espressione in Helmuth Plessner,Espressività e stile. La filosofia dei sensi e dell'espressione in Helmuth Plessner,Espressivit{\`a} e stile.~La filosofia dei sensi e dell'espressione in Helmuth Plessner,Espressività e stile. La filosofia dei sensi e dell'espressione in Helmuth Plessner,,,,,,,filosofie,Milano,,,mimesis-edizioni,,,,,,,,,,,,,italian,false,,,accarino_b,,1:mind_body
370,incollection,accattino_p:1995,,,1995,,[L'arche] del \emph{Politico},[L'arche] del Politico,,,,,,,,,,,,,,,,,,,,,,,,,,italian,false,,accattino_p,,,2:priority;3:archai
371,book,accetti:2015,,,2015,,Relativism and Religion,Relativism and Religion,,,,,,,,,,New York,,,columbia-university-press,,,,,,,,,,,10.7312/columbia/9780231170789.001.0001,,,false,,accetti,,,1:religion;2:religious_pluralism
372,incollection,acemoglu-robinson:2006,,,2006,,Paths of Economic and Political Development,Paths of Economic and Political Development,,,,,,,673--692,,,,,,,,,,,,,,,,,,,,false,,acemoglu;robinson_jaa,,,1:political_philosophy
