id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
567,book,adair_s:2018,,,2018,,The Aesthetic Use of the Logical Functions in Kant's Third Critique,The Aesthetic Use of the Logical Functions in Kant's Third Critique,,,,,,202,,,kantstudien_erg_a_nzungshefte,Berlin,,,de-gruyter,,,,,,,,,,,,,,false,,adair_s,,,1:pragmatics;2:judgement
568,incollection,adairtoteff:2003,,,2003,,Neo-Kantianism: the German Idealism Movement,Neo-Kantianism: the German Idealism Movement,,,,,,,27--42,,,,,,,,,,,,,,,,,,,,false,,adairtoteff,,,1:history_of_philosophy
569,article,adali-subrahmanian:1996,,,1996,,"Amalgamating Knowledge Bases {III}: Algorithms, Data Structures, and Query Processing","Amalgamating Knowledge Bases III: Algorithms, Data Structures, and Query Processing",,,,journal-of-logic-programming,28,1,45--88,,,,,,,,,,,,,,,,,,,,false,,adali;subramanian_vs,,,1:information;2:knowledge_representation;3:knowledge_integration
570,article,adam_a-laurent:1980,,,1980,,"{LAURA}, A System to Debug Student Programs","LAURA, A System to Debug Student Programs",,,,artificial-intelligence,15,1/2,75--122,,,,,,,,,,,,,,,,,,,,false,,adam_a;laurent_jp,,,1:computation;2:computational_logic;3:program_synthesis
571,book,adam_c-tannery:1996,,,1996,,{\OE}uvres de Descartes,Œuvres de Descartes,{\OE}uvres de Descartes,Œuvres de Descartes,,,,,,,,Paris,,,librairie-philosophique-jean-vrin,,2,Tomes I -- XI,Tomes I – XI,,,,,,,,,french,false,,,adam_c;tannery_p,,1:history_of_philosophy
572,book,adam_g-etal:1981,,,1981,,Advances in Physiological Science,Advances in Physiological Science,Advances in Physiological Science,Advances in Physiological Science,,,,,,,,Oxford,,,pergamon-press,,,,,,,,,,,,,,false,,,adam_g;maszaros;banyai_ei,,1:biology
573,incollection,adam_g:1978,,,1978,,"Visceroception, Awareness, and Behaviour","Visceroception, Awareness, and Behaviour",,,,,,,199--214,,,,,,,,,,,,,,,,,,,,false,,adam_g,,,2:awareness
574,article,adam_m:1996,,,1996,,Sur la terre comme au ciel.~L'homme et Dieu selon Malebranche,Sur la terre comme au ciel. L'homme et Dieu selon Malebranche,,,,les-etudes-philosophiques,50,4,473--488,,,,,,,,,,,De Descartes {\`a} Malebranche: la question de l'homme,De Descartes à Malebranche: la question de l'homme,,,,,,,french,false,,adam_m,,vieillardbaron,1:religion
575,book,adam_m:2000,,,2000,,L'eucharistie chez les penseurs fran{\c{c}}ais du dix-septi{\`e}me si{\`e}cle,L'eucharistie chez les penseurs français du dix-septième siècle,,,,,,,,,,Hildesheim,,,georg-olms,,,,,,,,,,,,,french,false,,adam_m,,,1:religion;2:liturgy;3:eucharist
576,book,adam_ma:2003,,,2003,,"Theoriebeladenheit und Objektivit{\""a}t.~Zur Rolle von Beobachtungen in den Naturwissenschaften",Theoriebeladenheit und Objektivität. Zur Rolle von Beobachtungen in den Naturwissenschaften,,,,,,2,,,epistemische_studien_epistemic_studies,Heusenstamm b.~Frankfurt,,,ontos-verlag,,,,,,,,,,,,,ngerman,false,,adam_ma,,,1:science;2:experimentation
577,article,adamcik-wilmers:2014,,,2014,,Probabilistic Merging Operators,Probabilistic Merging Operators,,,,logique-et-analyse,57,228,563--590,,,,,,,,,,,,,,,,,,,,false,,adamcik;wilmers_g,,,1:probability
578,incollection,adamczewski:1984,,,1984,,Poetic Thinking to Be,Poetic Thinking to Be,,,,,,,99--118,,,,,,,,,,,,,,,,,,,,false,,adamczewski,,,1:aesthetics;2:fiction
579,book,adami_c:1998,,,1998,,Introduction to Artificial Life,Introduction to Artificial Life,Introduction to Artificial Life,Introduction to Artificial Life,,,,,,,,Berlin,,,springer,,,,,,,,,,,,,,false,,,adami_c,,1:biology;2:life;3:artificial_life
580,incollection,adami_e:2016,,,2016,,Multimodality,Multimodality,,,,,,,451--472,,,,,,,,,,,,,,,,,,,,false,,adami_e,,,1:linguistics;2:sociolinguistics
581,book,adamowicz_e:2004,,,2004,,Ceci n'est pas un tableau : les {\'e}crits surr{\'e}alistes sur l'art,Ceci n'est pas un tableau : les écrits surréalistes sur l'art,,,,,,,,,biblioth_e_que_m_e_lusine,Lausanne,,,editions-lage-d-homme,,,,,,,,,,,,,french,false,,adamowicz_e,,,1:aesthetics;2:painting
582,article,adamowicz_z-bigorajska:2001,,,2001,,"Existentially Closed Structures and G{\""o}del's Second Incompleteness Theorem",Existentially Closed Structures and Gödel's Second Incompleteness Theorem,,,,the-journal-of-symbolic-logic,66,1,349--356,,,,,,,,,,,,,,,,,,,,false,,adamowicz_z;bigorajska_t,,,1:logic;2:model_theory
583,incollection,adams_al:2000,,,2000,,Maternal Presumption: The Personal Politics of Reproductive Rights,Maternal Presumption: The Personal Politics of Reproductive Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,adams_al,,,1:political_philosophy;2:feminism
584,book,adams_b:2017,,,2017,,Giving a Damn,Giving a Damn,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,10.7551/mitpress/9780262035248.001.0001,,,false,,adams_b,,,1:political_philosophy;2:poverty;3:effective_altruism
585,book,adams_cj-etal:2023,,,2023,,"The Good It Promises, the Harm It Does: Critical Essays on Effective Altruism","The Good It Promises, the Harm It Does: Critical Essays on Effective Altruism","The Good It Promises, the Harm It Does: Critical Essays on Effective Altruism","The Good It Promises, the Harm It Does: Critical Essays on Effective Altruism",,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780197655696.001.0001,,,false,,,adams_cj;crary_a;gruen_l,,1:political_philosophy;2:poverty;3:effective_altruism
586,incollection,adams_cj-etal:2023a,,,2023,,Coda -- Future-Oriented Effective Altruism: What's Wrong with Longtermism?,Coda – Future-Oriented Effective Altruism: What's Wrong with Longtermism?,,,,,,,265--270,,,,,,,,,,,,,,,,,,,,false,,adams_cj;crary_a;gruen_l,,,1:political_philosophy;2:poverty;3:effective_altruism
587,incollection,adams_cj:2023,,,2023,,A Feminist Ethics of Care -- Critique of Effective Altruism,A Feminist Ethics of Care – Critique of Effective Altruism,,,,,,,127--148,,,,,,,,,,,,,,,,,,,,false,,adams_cj,,,1:political_philosophy;2:poverty;3:effective_altruism
588,article,adams_d:1992,,,1992,,The Lysis Puzzles,The Lysis Puzzles,,,,history-of-philosophy-quarterly,9,1,3--17,,,,,,,,,,,,,,,,,,,,false,,adams_d,,,1:history_of_philosophy
589,article,adams_d:2014,,,2014,,Aristophanes vs.~Socrates,Aristophanes vs. Socrates,,,,dialogue-revue-canadienne-de-philosophie-canadian-philosophical-review,53,4,691--713,,,,,,,,,,,,,,,,,,,,false,,adams_d,,,1:history_of_philosophy
590,article,adams_d:2017,,,2017,,Socratic \emph{Agap{\=e}} without Irony in the \emph{Euthydemus},Socratic Agapē without Irony in the Euthydemus,,,,american-catholic-philosophical-quarterly,91,2,273--298,,,,,,,,,,,,,,,,,,,,false,,adams_d,,,1:history_of_philosophy
591,article,adams_dan:2018,,,2018,,God and Dispositional Essentialism: An Account of the Laws of Nature,God and Dispositional Essentialism: An Account of the Laws of Nature,,,,pacific-philosophical-quarterly,99,,293--316,,,,,,,,,,,,,,,,,,,,false,,adams_dan,,,1:causation;2:laws_of_nature
