id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
1028,article,aebi:1960,,,1960,,Die Stellung von Gonseths ``offener Philosophie'' im Ganzen der \emph{Philosophia perennis},Die Stellung von Gonseths “offener Philosophie” im Ganzen der Philosophia perennis,,,,dialectica,14,54/55,127--150,127,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1960.tb00410.x,,ngerman,false,,,aebi,,,1:method;2:dialectic
1029,article,aebli:1984,,,1984,,"What is Intentionality and Who has Intentions in a Structuralist Model of Knowledge, Action and Thought","What is Intentionality and Who has Intentions in a Structuralist Model of Knowledge, Action and Thought",,,,dialectica,38,2/3,231--244,231,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1984.tb01246.x,,english,false,,,aebli,,,2:intentionality
1030,article,aeby_b:2023,,,2023,,Meine Erfahrung an der Kantonsschule Wettingen,Meine Erfahrung an der Kantonsschule Wettingen,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2023-06-23-aeby,ngerman,false,,,aeby_b,,,
1031,article,aeby_b:2023a,,,2023,,"Mein Seminarbesuch als Mittelsch{\""u}ler",Mein Seminarbesuch als Mittelschüler,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2023-06-26-aeby,ngerman,false,,,aeby_b,,,
1032,UNKNOWN,aenishaenslin_jf:2010,,,2010,,Grammaire de la ph{\'e}nom{\'e}nologie,Grammaire de la phénoménologie,,,,,,,,,,,Lausanne,,d_e_partement_de_philosophie_universit_e_de_lausanne,,Th{\`e}se de doctorat,,,,,,,,,,,https://iris.unil.ch/handle/iris/60933,french,false,,,aenishaenslin_jf,,,
1033,book,aenishaenslin_m:1978,,,1978,,"Syst{\`e}mes symboliques, science et philosophie.~Travaux du s{\'e}minaire d'{\'e}pist{\'e}mologie comparative d'Aix en Provence E.R.A.~du C.N.R.S.~650","Systèmes symboliques, science et philosophie. Travaux du séminaire d'épistémologie comparative d'Aix en Provence E.R.A. du C.N.R.S. 650","Syst{\`e}mes symboliques, science et philosophie.~Travaux du s{\'e}minaire d'{\'e}pist{\'e}mologie comparative d'Aix en Provence E.R.A.~du C.N.R.S.~650","Systèmes symboliques, science et philosophie. Travaux du séminaire d'épistémologie comparative d'Aix en Provence E.R.A. du C.N.R.S. 650",,,,,,,,,Paris,,,editions-du-centre-national-de-la-recherche-scientifique,,,,,,,,,,,,,french,false,,,,aenishaenslin_m,,1:epistemology
1034,incollection,aenishaenslin_m:2000,,,2000,,Le Discours de la m{\'e}thode et le Tractatus de Wittgenstein: Dieu dans l'une et l'autre des deux {\oe}uvres,Le Discours de la méthode et le Tractatus de Wittgenstein: Dieu dans l'une et l'autre des deux œuvres,,,,,,,455--459,455,,,,,,,,,,,,,,,,,,,french,false,,,aenishaenslin_m,,,1:religion;2:god
1035,UNKNOWN,aeppli_t:2019,,,2019,,Retentions without Referents: experience of time and the possibility of a temporally unextended appearance as of duration,Retentions without Referents: experience of time and the possibility of a temporally unextended appearance as of duration,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de MA,,,,,,,,,,,,english,false,,,aeppli_t,,,
1036,incollection,aerts:1981,,,1981,,Description of Compound Physical Systems and Logical Interaction of Physical Systems,Description of Compound Physical Systems and Logical Interaction of Physical Systems,,,,,,,381--404,381,,,,,,,,,,,,,,,,,,,english,false,,,aerts,,,1:quantum_mechanics;2:quantum_logic
1037,incollection,aerts:1998,,,1998,,The Entity and Modern Physics: The Creation-Discovery View of Reality,The Entity and Modern Physics: The Creation-Discovery View of Reality,,,,,,,223--257,223,,,,,,,,,,,,,,,,,,,english,false,,,aerts,,,1:metaphysics;2:generalism
