id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
3131,book,amable-palombarini:2005,,,2005,,L'{\'e}conomie politique n'est pas une science morale,L'économie politique n'est pas une science morale,,,,,,,,,,Paris,,,raisons-dagir-editions,,,,,,,,,,,,,french,false,,amable;palombarini,,,1:political_philosophy
3132,book,amadio-curien:1998,,,1998,,Domains and Lambda-Calculi,Domains and Lambda-Calculi,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,amadio;curien_pl,,,1:properties;2:property_designators;3:lambda_calculus
3133,incollection,amann_a-primas:1997,,,1997,,What is the Referent of a Nonpure Quantum State?,What is the Referent of a Nonpure Quantum State?,,,,,,,9--30,,,,,,,,,,,,,,,,,,,,false,,amann_a;primas,,,1:quantum_mechanics;2:entanglement;3:non_locality
3134,incollection,amann_a:1996,,,1996,,Theories of Life Conditions since Otto Neurath -- Some Fragments,Theories of Life Conditions since Otto Neurath – Some Fragments,,,,,,,215--220,,,,,,,,,,,,,,,,,,,,false,,amann_a,,,1:social_philosophy;2:sociology
3135,incollection,amar-mcilraith:2000,,,2000,,Partition-Based Logical Reasoning,Partition-Based Logical Reasoning,,,,,,,389--400,,,,,,,,,,,,,,,,,,,,false,,amar;mcilraith,,,1:logic
3136,article,amaral_fs:2008,,,2008,,Definite Descriptions are Ambiguous,Definite Descriptions are Ambiguous,,,,analysis,68,4,288--297,,,,,,,,,,,,,,,,,,,,false,,amaral_fs,,,1:reference;2:definite_descriptions
3137,article,amaral_fs:2011,,,2011,,Complex Demonstratives and Referential Descriptions as Descriptive Designators,Complex Demonstratives and Referential Descriptions as Descriptive Designators,,,,analytica-revista-de-filosofia-rio-de-janeiro,15,2,199--228,,,,,,,,,,,,,,,,,,,,false,,amaral_fs,,,1:reference;2:demonstratives;3:complex_demonstratives
3138,article,amaral_p-delprete:2010,,,2010,,Approximating the Limit: The Interaction between Quasi `Almost' and Some Temporal Connectives in Italian,Approximating the Limit: The Interaction between Quasi ‘Almost' and Some Temporal Connectives in Italian,,,,linguistics-and-philosophy,33,2,51--115,,,,,,,,,,,,,,,,,,,,false,,amaral_p;delprete_f,,,1:time;2:tense_aspect
3139,article,amaral_p-etal:2007,,,2007,,Review of \citet{potts_c:2005},Review of Potts (2005),,,,linguistics-and-philosophy,30,6,707--749,,,,,,,,,,,,,,,,,,,,false,,amaral_p;roberts_c;smith_ea,,,1:pragmatics;2:enrichment;3:implicature
3140,incollection,amaral_p:2013,,,2013,,Children's Knowledge of Scales in the Acquisition of Almost,Children's Knowledge of Scales in the Acquisition of Almost,,,,,,,91--108,,,,,,,,,,,,,,,,,,,,false,,amaral_p,,,1:linguistics;2:psycholinguistics
