id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
6521,article,avakian:2015,,,2015,,`Undecidability' or 'Anticipatory Resoluteness': Caputo in Conversation with Heidegger,‘Undecidability' or 'Anticipatory Resoluteness': Caputo in Conversation with Heidegger,,,,international-journal-for-philosophy-of-religion,77,77,2,2,123--139,123,,,,,,,,,,,,,,,,,,,english,false,,,avakian,,,1:religion;2:faith
6522,incollection,avallearce:1982,,,1982,,"Novelas ejemplares: Reality, Realism, Literary Tradition","Novelas ejemplares: Reality, Realism, Literary Tradition",,,,,,,,,191--208,191,,,,,,,,,,,,,,,,,,,english,false,,,avallearce,,,1:aesthetics;2:fiction
6523,incollection,avan_s:2015,,,2015,,Funding Science by Lottery,Funding Science by Lottery,,,,,,,,,111--127,111,,,,,,,,,,,,,,,,,,,english,false,,,avan_s,,,1:science;2:sociology_of_science
6524,book,avanessian-malik:2016,,,2016,,Genealogies of Speculation: Materialism and Subjectivity since Structuralism,Genealogies of Speculation: Materialism and Subjectivity since Structuralism,Genealogies of Speculation: Materialism and Subjectivity since Structuralism,Genealogies of Speculation: Materialism and Subjectivity since Structuralism,,,,,,,,,,,London,,,bloomsbury-academic,,,,,,,,,,,10.5040/9781474220354,,english,false,,,,avanessian;malik_s,,1:structuralism;2:post_structuralism
6525,incollection,avanessian:2016,,,2016,,Language Ontology,Language Ontology,,,,,,,,,199--216,199,,,,,,,,,,,,,,,,,,,english,false,,,avanessian,,,1:structuralism;2:post_structuralism
6526,book,avanessian:2019,,,2019,,Future Metaphysics,Future Metaphysics,,,,,,,,,,,,,"Hoboken, New Jersey",,,wiley-blackwell,,,,,,,,,,,,,english,false,,,avanessian,,,1:structuralism;2:post_structuralism
6527,incollection,avarguesweber-giurfa:2015,,,2015,,Conceptual Learning by Miniature Brains,Conceptual Learning by Miniature Brains,,,,,,,,,3--28,3,,,,,,,,,,,,,,,,,,,english,false,,,avarguesweber;giurfa_m,,,1:representation;2:concepts
6528,incollection,avelallemant:1975,,,1975,,"Die Antithese Freiburg-M{\""u}nchen in der Geschichte der Ph{\""a}nomenologie",Die Antithese Freiburg-München in der Geschichte der Phänomenologie,,,,,,,,,19--38,19,,,,,,,,,,,,,,,,,,,german,false,,,avelallemant,,,1:metaphysics;2:phenomenology
6529,incollection,avelallemant:1991,,,1991,,"Conrad-Martius, Hedwig","Conrad-Martius, Hedwig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,avelallemant,,,1:history_of_philosophy
6530,book,avempace:2010,,,2010,,\emph{La conduite de l'isol{\'e}} et deux autres {\'e}p{\^{\i}}tres,La conduite de l'isolé et deux autres épîtres,,,,,,,,,,,,textes_et_traditions,Paris,,,librairie-philosophique-jean-vrin,,,"Introduction, {\'e}dition, traduction et notes par Charles Genequand","Introduction, édition, traduction et notes par Charles Genequand",,,,,,,,,french,false,,,avempace,,,1:history_of_philosophy
6531,book,avenarius:1912,,,1912,,Der menschliche Weltbegriff,Der menschliche Weltbegriff,,,,,,,,,,,,,Leipzig,,,or-reisland,,,,,,,,,,,,,german,false,,,avenarius,,,1:epistemology
6532,incollection,avenhaus-medlener:1999,,,1999,,Inductive Theorem Proving in Hierarchical Conditional Specifications,Inductive Theorem Proving in Hierarchical Conditional Specifications,,,,,,,,,337--372,337,,,,,,,,,,,,,,,,,,,english,false,,,avenhaus;madlener,,,1:mathematics;2:arithmetic;3:mathematical_induction
6533,incollection,avenhaus:1998,,,1998,,Introduction (To Part IV: Comparison and Cooperation of Theorem Provers),Introduction (To Part IV: Comparison and Cooperation of Theorem Provers),,,,,,,,,325--330,325,,,,,,,,,,,,,,,,,,,english,false,,,avenhaus,,,1:logic;2:proof_theory;3:theorem_proving
6534,incollection,averchi:2015,,,2015,,Husserl and Geiger on Feelings and Intentionality,Husserl and Geiger on Feelings and Intentionality,,,,,,,,,71--92,71,,,,,,,,,,,,,,,,,,,english,false,,,averchi,,,1:feeling
6535,article,averill_ew-keating:1981,,,1981,,Does Interactionism Violate a Law of Classical Physics?,Does Interactionism Violate a Law of Classical Physics?,,,,mind,90,90,,,102--107,102,,,,,,,,,,,,,,,,,,,english,false,,,averill_ew;keating_b,,,
6536,article,averill_ew:1982,,,1982,,The Primary-Secondary Quality Distinction,The Primary-Secondary Quality Distinction,,,,the-philosophical-review,91,91,3,3,343--362,343,,,,,,,,,,,,,,,,,,,english,false,,,averill_ew,,,1:properties;2:primary_secondary_qualities
6537,article,averill_ew:1985,,,1985,,Color and the Anthropocentric Problem,Color and the Anthropocentric Problem,,,,the-journal-of-philosophy,82,82,,,281--303,281,,,,,,,,,,,,,,,,,,,english,false,,,averill_ew,,,1:perception;2:colours
6538,article,averill_ew:1990,,,1990,,"Functionalism, the Absent Qualia Objection, and Eliminativism","Functionalism, the Absent Qualia Objection, and Eliminativism",,,,the-southern-journal-of-philosophy,28,28,,,449--467,449,,,,,,,,,,,,,,,,,,,english,false,,,averill_ew,,,2:functionalism;3:functionalism_in_the_philosophy_of_mind
