id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
6845,article,azadegan:2014,,,2014,,Divine Love and the Argument from Divine Hiddenness,Divine Love and the Argument from Divine Hiddenness,,,,european-journal-for-philosophy-of-religion,6,6,2,2,101--116,101,,,,,,,,,,,,,,,,,,,english,false,,,azadegan,,,1:religion;2:divine_attributes;3:divine_hiddenness
6846,book,azam:2005,,,2005,,"Hypnotisme, double conscience et alt{\'e}rations de la personnalit{\'e} : le cas F{\'e}lida X (1887)","Hypnotisme, double conscience et altérations de la personnalité : le cas Félida X (1887)",,,,,,,,,,,,encyclop_e_die_psychologique,Paris,,,l-harmattan,,,R{\'e}{\'e}dition,Réédition,,,,,,,,,french,false,,,azam,,,1:psychology;2:psi
6847,article,azamayon_p:1943,,,1943,,De ``Metaphysica entis partialis'',De “Metaphysica entis partialis”,,,,collectanea-franciscana,13,13,2,2,195--199,195,,,,,,,,,,,,,,,,,,,latin,false,,,azamayon_p,,,1:exemplification;2:qua_objects
6848,article,azar_l:1963,,,1963,,Esse in the Philosophy of Whitehead,Esse in the Philosophy of Whitehead,,,,the-new-scholasticism,37,37,4,4,462--471,462,,,,,,,,,,,,,,,,,,,english,false,,,azar_l,,,1:ontology;2:being;3:to_be
6849,incollection,azarewicz-etal:1986,,,1986,,Plan Recognition for Airbourne Tactical Decision Making,Plan Recognition for Airbourne Tactical Decision Making,,,,,,,,,805--811,805,,,,,,,,,,,,,,,,,,,english,false,,,azarewicz;fala_g;heithecker,,,1:action;2:planning
6850,incollection,azhar_f-butterfield:2017,,,2017,,Scientific Realism and Primordial Cosmology,Scientific Realism and Primordial Cosmology,,,,,,,,,304--320,304,,,,,,,,,,,,,,,,,,,english,false,,,azhar_f;butterfield_j,,,1:space_spacetime;2:cosmology
6851,incollection,azhar_f:2017,,,2017,,Three Aspects of Typicality in Multiverse Cosmology,Three Aspects of Typicality in Multiverse Cosmology,,,,,,,,,125--136,125,,,,,,,,,,,,,,,,,,,english,false,,,azhar_f,,,1:quantum_mechanics;2:many_worlds_interpretation
6852,book,azmanova-chamberlain:2022,,,2022,,"Capitalism, Democracy, Socialism: Critical Debates","Capitalism, Democracy, Socialism: Critical Debates",,,,,,,,,,,,philosophy_and_politics_critical_explorations,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-031-08407-2,,english,false,,,azmanova;chamberlain_j,,,1:political_philosophy;2:capitalism
6853,article,azoulaschwartz-kraus:2004,,,2004,,Stable Repeated Strategies for Information Exchange between Two Autonomous Agents,Stable Repeated Strategies for Information Exchange between Two Autonomous Agents,,,,artificial-intelligence,154,154,1/2,1,43--93,43,,,,,,,,,,,,,,,,,,,english,false,,,azoulaschwartz;kraus_s,,,1:computation;2:distributed_systems;3:multi_agent_systems
6854,incollection,azoulay_a:2012,,,2012,,Photography without Borders,Photography without Borders,,,,,,,,,669--682,669,,,,,,,,,,,,,,,,,,,english,false,,,azoulay_a,,,1:aesthetics;2:photography
6855,book,azoulay_v:2004,,,2004,,X{\'e}nophon et les gr{\^a}ces du pouvoir : de la charis au charisme,Xénophon et les grâces du pouvoir : de la charis au charisme,,,,,,,,,,,,histoire_ancienne_et_m_e_di_e_vale,Paris,,,publications-de-la-sorbonne,,,,,,,,,,,,,french,false,,,azoulay_v,,,1:history_of_philosophy
6856,book,azouvi_f:1992,,,1992,,L'institution de la raison.~La r{\'e}volution culturelle de Thermidor,L'institution de la raison. La révolution culturelle de Thermidor,L'institution de la raison.~La r{\'e}volution culturelle de Thermidor,L'institution de la raison. La révolution culturelle de Thermidor,,,,,,,,,,annales_de_l_institut_de_philosophie_de_l_universit_e_de_bruxelles,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,,azouvi_f,,1:history_of_philosophy
