id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
15546,incollection,bjalobok:2018,,,2018,,Our Moral Duties to Ill and Aging Companion Animals,Our Moral Duties to Ill and Aging Companion Animals,,,,,,,95--108,,,,,,,,,,,,,,,,,,,,false,,bjalobok,,,1:animals;2:animal_ethics
15547,book,bjarkman-raskin:1986,,,1986,,The Real-World Linguist: Linguistic Applications in the 1980s,The Real-World Linguist: Linguistic Applications in the 1980s,The Real-World Linguist: Linguistic Applications in the 1980s,The Real-World Linguist: Linguistic Applications in the 1980s,,,,,,,,"Norwood, New Jersey",,,ablex-publishing-co,,,,,,,,,,,,,,false,,,bjarkman;raskin_v,,1:linguistics
15548,incollection,bjarup:1991,,,1991,,"Phenomenology, the Moral Sense, and the Meaning of Life: Some Comments of the Philosophy of Edmund Husserl and A-T.~Tymieniecka","Phenomenology, the Moral Sense, and the Meaning of Life: Some Comments of the Philosophy of Edmund Husserl and A-T. Tymieniecka",,,,,,,169--192,,,,,,,,,,,,,,,,,,,,false,,bjarup,,,1:ethics;2:meaning_of_life
15549,incollection,bjarup:2005,,,2005,,Continental Perspectives on Natural Law Theory and Legal Positivism,Continental Perspectives on Natural Law Theory and Legal Positivism,,,,,,,287--299,,,,,,,,,,,,,,,,,,,,false,,bjarup,,,1:law;2:natural_law
15550,article,bjelde:2020,,,2020,,"All Swamping, No Problem","All Swamping, No Problem",,,,analysis,80,2,205--211,,,,,,,,,,,,,,,,,,,,false,,bjelde,,,2:epistemic_value;3:swamping_problem
15551,article,bjelke:1964,,,1964,,Der Ausgangspunkt der Erkenntnistheorie.~Eine Auseinandersetzung mit Husserl,Der Ausgangspunkt der Erkenntnistheorie. Eine Auseinandersetzung mit Husserl,,,,kant-studien,55,1,3--19,,,,,,,,,,,,,,,,,,,ngerman,false,,bjelke,,,1:epistemology
15552,incollection,bjerring_ak-hooker:1981,,,1981,,"Lehrer, Consensus and Science: The Empiricist Watershed","Lehrer, Consensus and Science: The Empiricist Watershed",,,,,,,181--204,,,,,,,,,,,,,,,,,,,,false,,bjerring_ak;hooker_ca,,,1:science
15553,incollection,bjerring_ak:1978,,,1978,,The `Tracing Procedure' and a Theory of Rational Interaction,The ‘Tracing Procedure' and a Theory of Rational Interaction,,,,,,,1--54,,,,,,,,,,,,,,,,,,,,false,,bjerring_ak,,,1:decision_theory
15554,article,bjerring_jc-etal:2014,,,2014,,On the Rationality of Pluralistic Ignorance,On the Rationality of Pluralistic Ignorance,,,,synthese,191,11,2445--2470,,,,,,,,,,,,,,,,,,,,false,,bjerring_jc;hansen_ju;pedersen_nj,,,1:epistemology;2:ignorance
15555,article,bjerring_jc-gundersen:2020,,,2020,,Higher-Order Knowledge and Sensitivity,Higher-Order Knowledge and Sensitivity,,,,canadian-journal-of-philosophy,50,3,339--349,,,,,,,,,,,,,,,,,10.1017/can.2019.36,,,false,,bjerring_jc;gundersen_lb,,,1:knowledge;2:sensitivity
15556,incollection,bjerring_jc-pedersen:2014,,,2014,,"All the (Many, Many) Things We Know: Extended Knowledge","All the (Many, Many) Things We Know: Extended Knowledge",,,,,,,24--38,,,,,,,,,,,,,,,,,,,,false,,bjerring_jc;pedersen_nj,,,2:cognition;3:extended_mind
15557,article,bjerring_jc-schwarz:2017,,,2017,,Granularity Problems,Granularity Problems,,,,the-philosophical-quarterly,67,266,22--37,,,,,,,,,,,,,,,,,10.1093/pq/pqw028,,,false,,bjerring_jc;schwarz_w,,,1:representation
15558,article,bjerring_jc:2013,,,2013,,Impossible Worlds and Logical Omniscience: An Impossibility Result,Impossible Worlds and Logical Omniscience: An Impossibility Result,,,,synthese,190,13,2505--2524,,,,,,,,,,,,,,,,,,,,false,,bjerring_jc,,,1:epistemology;2:epistemic_logic;3:logical_omniscience
15559,article,bjerring_jc:2014,,,2014,,On Counterpossibles,On Counterpossibles,,,,philosophical-studies,168,2,327--353,,,,,,,,,,,,,,,,,10.1007/s11098-013-0133-7,,,false,,bjerring_jc,,,1:modality;2:impossibility;3:impossible_worlds
15560,article,bjerring_jc:2014a,,,2014,,Problems in Epistemic Space,Problems in Epistemic Space,,,,journal-of-philosophical-logic,43,1,153--170,,,,,,,,,,,,,,,,,,,,false,,bjerring_jc,,,1:epistemology;2:epistemic_logic
15561,article,bjoerklund-etal:2012,,,2012,,Recent Work on Motivational Internalism,Recent Work on Motivational Internalism,,,,analysis,72,1,124--137,,,,,,,,,Published under the name ``Ragnar Franc{\'e}n Olinder'',Published under the name “Ragnar Francén Olinder”,,,,,,,,,,false,,bjoerklund;bjoernsson;eriksson_j;francen;strandberg_c,,,
15562,article,bjoernsson-bave:2007,,,2007,,Meaning as a Normative Concept: An Interview with Allan Gibbard,Meaning as a Normative Concept: An Interview with Allan Gibbard,,,,theoria,73,3,190--206,,,,,,,,,,,,,,,,,,,,false,,bjoernsson;bave,,,1:language;2:semantic_normativity;3:normativity_of_content
15563,book,bjoernsson-etal:2015,,,2015,,Motivational Internalism,Motivational Internalism,Motivational Internalism,Motivational Internalism,,,,,,,,Oxford,,,oxford-university-press,,,Published under the name ``Ragnar Franc{\'e}n Olinder'',Published under the name “Ragnar Francén Olinder”,,,,,,,10.1093/acprof:oso/9780199367955.001.0001,,,false,,,bjoernsson;strandberg_c;francen;eriksson_j;bjoerklund,,1:action;2:motivation;3:motivational_internalism
15564,incollection,bjoernsson-etal:2015a,,,2015,,Motivational Internalism: Contemporary Debates,Motivational Internalism: Contemporary Debates,,,,,,,1--25,,,,,,,,,Published under the name ``Ragnar Franc{\'e}n Olinder'',Published under the name “Ragnar Francén Olinder”,,,,,,,,,,false,,bjoernsson;strandberg_c;francen;eriksson_j;bjoerklund,,,1:action;2:motivation;3:motivational_internalism
15565,article,bjoernsson-finlay:2010,,,2010,,Defending Metaethical Contextualism,Defending Metaethical Contextualism,,,,ethics,121,1,7--36,,,,,,,,,,,,,,,,,,,,false,,bjoernsson;finlay_s,,,1:ethics;2:metaethics;3:ethical_constructivism
15566,article,bjoernsson-francen:2013,,,2013,,Internalists Beware -- we might all be Amoralists!,Internalists Beware – we might all be Amoralists!,,,,australasian-journal-of-philosophy,91,1,1--14,,,,,,,,,Published under the name ``Ragnar Franc{\'e}n Olinder'',Published under the name “Ragnar Francén Olinder”,,,,,,,,,,false,,bjoernsson;francen,,,1:ethics
15567,article,bjoernsson-hess:2017,,,2017,,Corporate Crocodile Tears? On the Reactive Attitudes of Corporate Agents,Corporate Crocodile Tears? On the Reactive Attitudes of Corporate Agents,,,,philosophy-and-phenomenological-research,94,2,273--298,,,,,,,,,,,,,,,,,10.1111/phpr.12260,,,false,,bjoernsson;hess_km,,,1:ontology;2:social_ontology
15568,article,bjoernsson-mcpherson:2014,,,2014,,Moral Attitudes for Expressivists and Relativists: Solving the Specification Problem,Moral Attitudes for Expressivists and Relativists: Solving the Specification Problem,,,,mind,123,489,1--38,,,,,,,,,,,,,,,,,,,,false,,bjoernsson;mcpherson_tr,,,1:ethics;2:metaethics;3:moral_relativism
15569,article,bjoernsson-persson:2012,,,2012,,The Explanatory Component of Moral Responsibility,The Explanatory Component of Moral Responsibility,,,,nous,46,2,326--354,,,,,,,,,,,,,,,,,,,,false,,bjoernsson;persson_k,,,1:ethics
15570,article,bjoernsson:2001,,,2001,,Why Emotivists Love Inconsistency,Why Emotivists Love Inconsistency,,,,philosophical-studies,104,1,81--108,,,,,,,,,,,,,,,,,10.1023/a:1010378517850,,,false,,bjoernsson,,,2:expressivism;3:ethical_emotivism
15571,incollection,bjoernsson:2007,,,2007,,"If You Believe in Positive Facts, You should Believe in Negative Facts","If You Believe in Positive Facts, You should Believe in Negative Facts",,,,,,,,,,,,,,,,,,,,,,,,,,,false,,bjoernsson,,,1:exemplification;2:facts
15572,article,bjoernsson:2007a,,,2007,,"How Effects Depend on Their Causes, Why Causal Transitivity Fails, and Why We Care about Causation","How Effects Depend on Their Causes, Why Causal Transitivity Fails, and Why We Care about Causation",,,,philosophical-studies,133,3,349--390,,,,,,,,,,,,,,,,,10.1007/s11098-005-4539-8,,,false,,bjoernsson,,,1:causation;2:metaphysics_of_causality
