id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
23236,article,bub_dn:2000,,,2000,,Methodological Issues Confronting PET and fMRI Studies of Cognitive Function,Methodological Issues Confronting PET and fMRI Studies of Cognitive Function,,,,cognitive-neuropsychology,17,17,5,5,467--484,467,,,,,,,,,,,,,,,,,10.1080/026432900410793,,english,false,,,bub_dn,,,1:psychology;2:neuroscience
23237,incollection,bub_j-demopoulos:1973,,,1973,,The Interpretation of Quantum Mechanics,The Interpretation of Quantum Mechanics,,,,,,,,,92--122,92,,,,,,,,,,,,,,,,,,,english,false,,,bub_j;demopoulos_w,,,1:quantum_mechanics
23238,incollection,bub_j-etal:1998,,,1998,,The Bare Theory has no Clothes,The Bare Theory has no Clothes,,,,,,,,,32--51,32,,,,,,,,,,,,,,,,,,,english,false,,,bub_j;clifton_r;monton,,,1:quantum_mechanics
23239,incollection,bub_j-pitowsky:2010,,,2010,,Two Dogmas About Quantum Mechanics,Two Dogmas About Quantum Mechanics,,,,,,,,,433--459,433,,,,,,,,,,,,,,,,,,,english,false,,,bub_j;pitwosky_i,,,1:quantum_mechanics;2:many_worlds_interpretation
23240,incollection,bub_j-shiva:1978,,,1978,,Non-Local Hidden Variable Theories and Bell's Inequality,Non-Local Hidden Variable Theories and Bell's Inequality,,,,,,,,,45--53,45,,,,,,,,,,,,,,,,,,,english,false,,,bub_j;shiva_v,,,1:quantum_mechanics
23241,incollection,bub_j:1973,,,1973,,On the Completeness of Quantum Mechanics,On the Completeness of Quantum Mechanics,,,,,,,,,1--65,1,,,,,,,,,,,,,,,,,,,english,false,,,bub_j,,,1:quantum_mechanics
23242,book,bub_j:1974,,,1974,,The Interpretation of Quantum Mechanics,The Interpretation of Quantum Mechanics,,,,,,,3,3,,,,the_university_of_western_ontario_series_in_philosophy_of_science,Dordrecht,,,d-reidel-publishing-co,,,,,,,,,,,,,english,false,,,bub_j,,,1:quantum_mechanics
23243,incollection,bub_j:1974a,,,1974,,Reply to \citet{causey_rl:1974},Reply to Causey (1974),,,,,,,,,402--408,402,,,,,,,,,,,,,,,,,,,english,false,,,bub_j,,,1:quantum_mechanics
23244,incollection,bub_j:1976,,,1976,,The Statistics of Non-Boolean Event Structures,The Statistics of Non-Boolean Event Structures,,,,,,,,,1--16,1,,,,,,,,,,,,,,,,,,,english,false,,,bub_j,,,1:probability
23245,incollection,bub_j:1976a,,,1976,,Randomness and Locality in Quantum Mechanics,Randomness and Locality in Quantum Mechanics,,,,,,,,,397--420,397,,,,,,,,,,,,,,,,,,,english,false,,,bub_j,,,1:quantum_mechanics
