id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
25312,article,caamanoalegre:2013,,,2013,,Pragmatic Norms in Science: Making Them Explicit,Pragmatic Norms in Science: Making Them Explicit,,,,synthese,190,190,15,15,3227--3246,3227,,,,,,,,,,,,,,,,,,,english,false,,,caamanoalegre,,,1:science
25313,article,cabaco:2002,,,2002,,Convencionalidad y Significado Sin Uso,Convencionalidad y Significado Sin Uso,,,,theoria-san-sebastian-secunda-epoca,17,17,3,3,417--434,417,,,,,,,,,,,,,,,,,,,spanish,false,,,cabaco,,,1:representation;2:meaning_theories;3:use_theories_of_meaning
25314,incollection,cabalar:2002,,,2002,,A Three-Valued Characterization for Strong Equivalence of Logic Programs,A Three-Valued Characterization for Strong Equivalence of Logic Programs,,,,,,,,,106--111,106,,,,,,,,,,,,,,,,,,,english,false,,,cabalar,,,1:ai
25315,incollection,cabalar:2003,,,2003,,A Preliminary Study on Reasoning about Causes,A Preliminary Study on Reasoning about Causes,,,,,,,,,43--50,43,,,,,,,,,,,,,,,,,,,english,false,,,cabalar,,,1:causation;2:causal_reasoning
25316,article,cabalzar_d:2016,,,2016,,Was verstehen wir unter einem ``Kontext''?,Was verstehen wir unter einem “Kontext”?,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2016-12-28-cabalzar,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,cabalzar_d,,,
25317,article,cabanac:1996,,,1996,,"On the Origin of Consciousness, a Postulate, and Its Corollary","On the Origin of Consciousness, a Postulate, and Its Corollary",,,,neuroscience-and-biobehavioral-reviews,20,20,,,33--40,33,,,,,,,,,,,,,,,,,,,english,false,,,cabanac,,,2:consciousness
25318,UNKNOWN,cabanne_ma:1976,,,1976,,Approches sur la signification de la connaissance de soi chez Plotin : de la connaissance de soi {\`a} l'inconnaissance en l'un-bien,Approches sur la signification de la connaissance de soi chez Plotin : de la connaissance de soi à l'inconnaissance en l'un-bien,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,cabanne_ma,,,
25319,article,cabbolet-deswart:2014,,,2014,,Set Matrix Theory as a Physically Motivated Generalization of Zermelo-Fraenkel Set Theory,Set Matrix Theory as a Physically Motivated Generalization of Zermelo-Fraenkel Set Theory,,,,logique-et-analyse,57,57,225,225,59--82,59,,,,,,,,,,,,,,,,,,,english,false,,,cabbolet;deswart_ha,,,1:mathematics;2:set_theory
25320,article,cabbolet:2015,,,2015,,The Importance of Developing a Foundation for Naive Category Theory,The Importance of Developing a Foundation for Naive Category Theory,,,,thought,4,4,4,4,237--242,237,,,,,,,,,,,,,,,,,,,english,false,,,cabbolet,,,1:mathematics;2:category_theory
25321,book,cabestan-dastur:2011,,,2011,,Daseinsanalyse,Daseinsanalyse,,,,,,,,,,,,biblioth_e_que_des_philosophies,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,cabestan;dastur,,,1:psychology;2:psychoanalysis
25322,book,cabestan:2004,,,2004,,La conscience,La conscience,,,,,,,,,,,,philo_notions,Paris,,,ellipses,,,,,,,,,,,,,french,false,,,cabestan,,,2:consciousness
25323,book,cabestan:2005,,,2005,,Le d{\'e}sir,Le désir,,,,,,,,,,,,,Paris,,,ellipses,,,,,,,,,,,,,french,false,,,cabestan,,,2:desire
25324,book,cabestan:2005a,,,2005,,L'{\^e}tre et la conscience : recherches sur la psychologie et l'onto-ph{\'e}nom{\'e}nologie sartriennes,L'être et la conscience : recherches sur la psychologie et l'onto-phénoménologie sartriennes,,,,,,,,,,,,,Bruxelles,,,editions-ousia,,,,,,,,,,,,,french,false,,,cabestan,,,1:metaphysics
25325,incollection,cabestan:2015,,,2015,,Hermeneutics and Psychoanalysis,Hermeneutics and Psychoanalysis,,,,,,,,,623--633,623,,,,,,,,,,,,,,,,,,,english,false,,,cabestan,,,1:psychology;2:psychoanalysis
25326,book,cabestan:2019,,,2019,,"La philosophie de Sartre, Rep{\`e}res","La philosophie de Sartre, Repères",,,,,,,,,,,,,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,cabestan,,,
25327,incollection,caboaseguinolaza:1991,,,1991,,Phenomenology and the Reception of Literary Texts: The Implied Reader as an Element of a Genre,Phenomenology and the Reception of Literary Texts: The Implied Reader as an Element of a Genre,,,,,,,,,261--274,261,,,,,,,,,,,,,,,,,,,english,false,,,caboaseguinolaza,,,1:aesthetics;2:literary_criticism
