id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
28936,incollection,chabas_j:2006,,,2006,,The University of Salamanca and the Renaissance of Astronomy During the Second Half of the 15th Century,The University of Salamanca and the Renaissance of Astronomy During the Second Half of the 15th Century,,,,,,,,,29--36,29,,,,,,,,,,,,,,,,,,,english,false,,,chabas_j,,,1:science;2:history_of_science
28937,book,chabaud:2004,,,2004,,"Po{\'e}sie pure, peinture pure : deux lettres {\`a} M.~Henri Br{\'e}mond de l'Acad{\'e}mie Fran{\c{c}}aise, pr{\'e}c{\'e}d{\'e}es de propos, suivies de commentaires et cl{\^o}tur{\'e}es de d{\'e}ductions","Poésie pure, peinture pure : deux lettres à M. Henri Brémond de l'Académie Française, précédées de propos, suivies de commentaires et clôturées de déductions",,,,,,,,,,,,actifs,Paris,,,fage-edition,,,,,,,,,,,,,french,false,,,chabaud,,,1:history_of_philosophy
28938,book,chaberlot:2003,,,2003,,La voie lact{\'e}e : histoire des conceptions et des mod{\`e}les de notre galaxie des temps anciens aux ann{\'e}es 1930,La voie lactée : histoire des conceptions et des modèles de notre galaxie des temps anciens aux années 1930,,,,,,,,,,,,cnrs_histoire_des_sciences,Paris,,,editions-du-centre-national-de-la-recherche-scientifique,,,,,,,,,,,,,french,false,,,chaberlot,,,1:science
28939,book,chabert:2004,,,2004,,Un nouveau pouvoir spirituel : Auguste Comte et la religion scientifique au XIXe si{\`e}cle,Un nouveau pouvoir spirituel : Auguste Comte et la religion scientifique au XIXe siècle,,,,,,,,,,,,,Caen,,,presses-universitaires-de-caen,,,,,,,,,,,,,french,false,,,chabert,,,1:religion
28940,book,chabot:2005,,,2005,,Giambattista Vico : la raison du mythe,Giambattista Vico : la raison du mythe,,,,,,,,,,,,,Aix-en-Provence,,,edisud,,,,,,,,,,,,,french,false,,,chabot,,,1:history_of_philosophy
28941,article,chadha-nichols:2019,,,2019,,Self-Conscious Emotions Without a Self,Self-Conscious Emotions Without a Self,,,,philosophers-imprint,19,19,38,38,,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0019.038,,http://hdl.handle.net/2027/spo.3521354.0019.038,english,false,,,chadha;nichols_s,,,1:persons;2:self
28942,article,chadha:2009,,,2009,,"An Independent, Empirical Route to Nonconceptual Content","An Independent, Empirical Route to Nonconceptual Content",,,,consciousness-and-cognition,18,18,,,439--448,439,,,,,,,,,,,,,,,,,,,english,false,,,chadha,,,1:perception;2:perceptual_content
28943,incollection,chadha:2015,,,2015,,Hindu Models of Divinity,Hindu Models of Divinity,,,,,,,,,127--137,127,,,,,,,,,,,,,,,,,,,english,false,,,chadha,,,1:religion;2:god
28944,incollection,chadha:2017,,,2017,,Indian Buddhist Philosophy,Indian Buddhist Philosophy,,,,,,,,,416--427,416,,,,,,,,,,,,,,,,,,,english,false,,,chadha,,,1:religion;2:buddhism
28945,incollection,chadha:2017a,,,2017,,Religion and Neuroscience,Religion and Neuroscience,,,,,,,,,567--582,567,,,,,,,,,,,,,,,,,,,english,false,,,chadha,,,1:religion
28946,article,chadha:2018,,,2018,,No-Self and the Phenomenology of Ownership,No-Self and the Phenomenology of Ownership,,,,australasian-journal-of-philosophy,96,96,1,1,14--27,14,,,,,,,,,,,,,,,,,,,english,false,,,chadha,,,1:persons;2:self
28947,incollection,chadha:2020,,,2020,,Abidharma Pantprotopsychist Metaphysics of Consciousness,Abidharma Pantprotopsychist Metaphysics of Consciousness,,,,,,,,,25--35,25,,,,,,,,,,,,,,,,,,,english,false,,,chadha,,,1:mind_body;2:panpsychism
28948,book,chadha:2023,,,2023,,Selfless Minds: A Contemporary Perspective on Vasubandhu's Metaphysics,Selfless Minds: A Contemporary Perspective on Vasubandhu's Metaphysics,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780192844095.001.0001,,english,false,,,chadha,,,1:persons;2:self
28949,incollection,chadwick_h:1999,,,1999,,Philosophical Tradition and the Self,Philosophical Tradition and the Self,,,,,,,,,60--81,60,,,,,,,,,,,,,,,,,,,english,false,,,chadwick_h,,,1:persons;2:self
