id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
31181,article,ci:1998,,,1998,,Schopenhauer on Voluntary Justice,Schopenhauer on Voluntary Justice,,,,history-of-philosophy-quarterly,15,2,227--244,227,,,,,,,,,,,,,,,,,,,english,false,,,ci,,,1:political_philosophy
31182,article,ci:2011,,,2011,,Evaluating Agency: A Fundamental Question for Social and Political Philosophy,Evaluating Agency: A Fundamental Question for Social and Political Philosophy,,,,metaphilosophy,42,3,261--281,261,,,,,,,,,,,,,,,,,,,english,false,,,ci,,,1:action
31183,incollection,ci:2015,,,2015,,Liberty Rights and the Limits of Liberal Democracy,Liberty Rights and the Limits of Liberal Democracy,,,,,,,588--607,588,,,,,,,,,,,,,,,,,,,english,false,,,ci,,,1:political_philosophy;2:democracy
31184,book,ciabattoni-etal:2022,useprefix=true,,2022,,"Logic, Language, Information, and Computation.~Proceedings of the 28th International Workshop WoLLIC 2022, Iasi, Romania, September 20-23","Logic, Language, Information, and Computation. Proceedings of the 28th International Workshop WoLLIC 2022, Iasi, Romania, September 20-23","Logic, Language, Information, and Computation.~Proceedings of the 28th International Workshop WoLLIC 2022, Iasi, Romania, September 20-23","Logic, Language, Information, and Computation. Proceedings of the 28th International Workshop WoLLIC 2022, Iasi, Romania, September 20-23",,,,13468,,,,lecture_notes_in_computer_science,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-031-15298-6,,english,false,,,,ciabattoni;pimentel_e;dequeiroz_r,,1:logic
31185,incollection,ciabattoni-genco:2016,,,2016,,Embedding Formalisms: Hypersequents and Two-Level Systems of Rule,Embedding Formalisms: Hypersequents and Two-Level Systems of Rule,,,,,,,197--216,197,,,,,,,,,,,,,,,,,,,english,false,,,ciabattoni;genco_f,,,1:logic;2:natural_deduction;3:sequent_calculus
31186,article,ciafardone:1982,,,1982,,"{\""U}ber das Primat der praktischen Vernunft vor der theoretischen bei Thomasius und Crusius mit Beziehung auf Kant",Über das Primat der praktischen Vernunft vor der theoretischen bei Thomasius und Crusius mit Beziehung auf Kant,,,,studia-leibnitiana,14,1,127--135,127,,,,,,,,,,,,,,,,,,,ngerman,false,,,ciafardone,,,1:rationality;2:practical_rationality
31187,incollection,ciancio-nocentini:1999,,,1999,,The New Silviculture: Epistemological Considerations,The New Silviculture: Epistemological Considerations,,,,,,,343--360,343,,,,,,,,,,,,,,,,,,,english,false,,,ciancio;nocentini_s,,,1:epistemology
31188,incollection,ciapessoni-etal:1994,,,1994,,Checking Satisfiability of Trio$_\neq$ Specifications,Checking Satisfiability of Trio_≠ Specifications,,,,,,,110--115,110,,,,,,,,,,,,,,,,,,,english,false,,,ciapessoni;corsetti_e;crivelli_e;migliorati_m,,,1:time;2:tense_logic
31189,incollection,ciappara:2010,,,2010,,The Maltese Catholic Enlightenment,The Maltese Catholic Enlightenment,,,,,,,251--296,251,,,,,,,,,,,,,,,,,,,english,false,,,ciappara,,,1:history_of_philosophy
31190,incollection,ciaramelli:1998,,,1998,,Castoriadis,Castoriadis,,,,,,,492--506,492,,,,,,,,,,,,,,,,,,,english,false,,,ciaramelli,,,1:history_of_philosophy
31191,article,ciardelli-etal:2015,,,2015,,On the Semantics and Logic of Declaratives and Interrogatives,On the Semantics and Logic of Declaratives and Interrogatives,,,,synthese,192,6,1689--1728,1689,,,,,,,,,,,,,,,,,,,english,false,,,ciardelli;groenendijk;roelofsen_f,,,1:semantics;2:interrogatives
31192,article,ciardelli-roelofsen:2015,,,2015,,Inquisitive Dynamic Epistemic Logic,Inquisitive Dynamic Epistemic Logic,,,,synthese,192,6,1643--1687,1643,,,,,,,,,,,,,,,,,,,english,false,,,ciardelli;roelofsen_f,,,1:epistemology;2:epistemic_logic
31193,incollection,ciardelli:2010,,,2010,,A First-Order Inquisitive Semantics,A First-Order Inquisitive Semantics,,,,,,,234--243,234,,,,,,,,,,,,,,,,,,,english,false,,,ciardelli,,,1:semantics;2:interrogatives;3:erotetic_logic
31194,incollection,ciardelli:2014,,,2014,,Modalities in the Realm of Questions: Axiomatizing Inquisitive Epistemic Logic,Modalities in the Realm of Questions: Axiomatizing Inquisitive Epistemic Logic,,,,,,,94--113,94,,,,,,,,,,,,,,,,,,,english,false,,,ciardelli,,,1:epistemology;2:epistemic_logic
31195,article,ciardelli:2018,,,2018,,Questions as Information Types,Questions as Information Types,,,,synthese,195,1,321--365,321,,,,,,,,,,,,,,,,,,,english,false,,,ciardelli,,,1:information
31196,article,ciardelli:2021,,,2021,,Restriction without Quantification: Embedding and Probability for Indicative Conditionals,Restriction without Quantification: Embedding and Probability for Indicative Conditionals,,,,ergo,8,21,598--636,598,,,,,,,,,,,,,,,,,10.3998/ergo.1158,,english,false,,,ciardelli,,,1:conditionals;2:indicative_conditionals
31197,book,ciardelli:2022,,,2022,,Inquisitive Logic,Inquisitive Logic,,,,,,,,,,trends_in_logic,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-031-09706-5,,english,false,,,ciardelli,,,1:semantics;2:interrogatives;3:erotetic_logic
31198,book,ciaunica_a:2017,,,2017,,Qu'est-ce que la conscience?,Qu'est-ce que la conscience?,,,,,,,,,,chemins_philosophiques,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,ciaunica_a,,,1:ethics;2:conscience
31199,article,ciavatta_d:2007,,,2007,,Hegel on Desire's Knowledge,Hegel on Desire's Knowledge,,,,the-review-of-metaphysics,61,3,527--554,527,,,,,,,,,,,,,,,,,,,english,false,,,ciavatta_d,,,2:desire
31200,incollection,cibulka:1996,,,1996,,"Das Entwerfen in der Auffassung von Schutz und Heidegger, und Ricoeur's Synthesis von Hermeneutik und Dialektik","Das Entwerfen in der Auffassung von Schutz und Heidegger, und Ricoeur's Synthesis von Hermeneutik und Dialektik",,,,,,,427--432,427,,,,,,,,,,,,,,,,,,,ngerman,false,,,cibulka,,,1:metaphysics
31201,incollection,cibulka:1999,,,1999,,"Die Zirkelstruktur und der Zeitaspekt der Erfahrung: {\""U}ber die Gegenseitige Angewiesenheit der Husserl'schen und der Heidegger'schen Ph{\""a}nomenologie",Die Zirkelstruktur und der Zeitaspekt der Erfahrung: Über die Gegenseitige Angewiesenheit der Husserl'schen und der Heidegger'schen Phänomenologie,,,,,,,433--440,433,,,,,,,,,,,,,,,,,,,ngerman,false,,,cibulka,,,1:aesthetics;2:literary_criticism
31202,incollection,cicalese-mundici:2011,,,2011,,Recent Developments of Feedback Coding and Its Relations with Many-Valued Logic,Recent Developments of Feedback Coding and Its Relations with Many-Valued Logic,,,,,,,115--132,115,,,,,,,,,,,,,,,,,,,english,false,,,cicalese;mundici,,,1:logic;2:many_valued_logic
31203,incollection,cicatello:2018,,,2018,,Der seltsame Fall der ``gegebenen Begriffe'' bei Kant,Der seltsame Fall der “gegebenen Begriffe” bei Kant,,,,,,,1183--1190,1183,,,,,,,,,,,,,,,,,,,ngerman,false,,,cicatello,,,1:representation;2:concepts
31204,incollection,cicekli-korkmaz:1998,,,1998,,Generation of Simple Turkish Sentences with Systemic-Functional Grammar,Generation of Simple Turkish Sentences with Systemic-Functional Grammar,,,,,,,165--173,165,,,,,,,,,,,,,,,,,,,english,false,,,cicekli;korkmaz_t,,,1:linguistics;2:logic_for_natural_language;3:natural_language_programming
31205,book,cicero:1995,,,1995,,Akademische Abhandlungen.~Lucullus,Akademische Abhandlungen. Lucullus,,,,,,,,,,,Hamburg,,,felix-meiner-verlag,,,,,,,,,,,,,ngerman,false,,,cicero,,,1:history_of_philosophy
31206,book,cichetti_a:2019,,,2019,,Ripensare la bellezza.~Oltre Bateson,Ripensare la bellezza. Oltre Bateson,,,,,,,,,,filosofie,Milano,,,mimesis-edizioni,,,,,,,,,,,,,italian,false,,,cichetti_a,,,2:aesthetic_value;3:beauty
31207,article,cichosz:1995,,,1995,,Truncating Temporal Differences: On the Efficient Implementation of TD($\lambda$) for Reinforcement Learning,Truncating Temporal Differences: On the Efficient Implementation of TD(λ) for Reinforcement Learning,,,,journal-of-artificial-intelligence-research,2,,287--318,287,,,,,,,,,,,,,,,,,,,english,false,,,cichosz,,,1:ai;2:machine_learning
31208,article,cicovacki:1990,,,1990,,Locke on Mathematical Knowledge,Locke on Mathematical Knowledge,,,,journal-of-the-history-of-philosophy,28,4,511--524,511,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:mathematics;2:epistemology_of_mathematics
31209,article,cicovacki:1994,,,1994,,Commentary on \citet{gentzler:1994},Commentary on Gentzler (1994),,,,proceedings-of-the-boston-area-colloquium-in-ancient-philosophy,10,,296--311,296,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:method;2:elenchos
31210,incollection,cicovacki:1995,,,1995,,Kant on the Nature of Truth,Kant on the Nature of Truth,,,,,,,199--206,199,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:truth
31211,incollection,cicovacki:1999,,,1999,,Rethinking the Concept of Truth: A Critique of Deflationism,Rethinking the Concept of Truth: A Critique of Deflationism,,,,,,,203--221,203,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:truth;2:deflationism_about_truth
31212,book,cicovacki:2000,,,2000,,Kant's Legacy: Essays in Honor of L.W.~Beck,Kant's Legacy: Essays in Honor of L.W. Beck,Kant's Legacy: Essays in Honor of L.W.~Beck,Kant's Legacy: Essays in Honor of L.W. Beck,,,,2,,,,rochester_studies_in_philosophy,"Rochester, New York",,,university-of-rochester-press,,,,,,,,,,,,,english,false,,,,cicovacki,,1:history_of_philosophy
31213,incollection,cicovacki:2000a,,,2000,,Paths Traced through Reality: Kant on Commonsense Truths,Paths Traced through Reality: Kant on Commonsense Truths,,,,,,,47--70,47,,,,,,,,,,,,,,,,,,,english,false,,,cicovacki,,,1:method
