id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
31313,book,claassen_a:2007,,,2007,,An Inquiry into the Philosophical Foundations of the Human Sciences,An Inquiry into the Philosophical Foundations of the Human Sciences,,,,,,,14,14,,,,san_francisco_state_university_series_in_philosophy,Frankfurt a.M.,,,peter-lang,,,,,,,,,,,,,english,false,,,claassen_a,,,1:social_sciences
31314,book,claassen_em:1967,,,1967,,Les fondements philosophiques des syst{\`e}mes {\'e}conomiques: hommage {\`a} Jacques Rueff,Les fondements philosophiques des systèmes économiques: hommage à Jacques Rueff,Les fondements philosophiques des syst{\`e}mes {\'e}conomiques: hommage {\`a} Jacques Rueff,Les fondements philosophiques des systèmes économiques: hommage à Jacques Rueff,,,,,,,,,,,Paris,,,payot,,,,,,,,,,,,,french,false,,,,claassen_em,,1:economics
31315,article,claassen_r:2012,,,2012,,Temporal Autonomy in a Laboring Society,Temporal Autonomy in a Laboring Society,,,,inquiry,55,55,5,5,543--562,543,,,,,,,,,,,,,,,,,,,english,false,,,claassen_r,,,1:political_philosophy
31316,article,claassen_r:2014,,,2014,,Capability Paternalism,Capability Paternalism,,,,economics-and-philosophy,30,30,1,1,57--73,57,,,,,,,,,,,,,,,,,,,english,false,,,claassen_r,,,1:economics
31317,incollection,claassen_r:2017,,,2017,,A Capability Framework for Financial Market Regulation,A Capability Framework for Financial Market Regulation,,,,,,,,,56--77,56,,,,,,,,,,,,,,,,,,,english,false,,,claassen_r,,,1:economics;2:finance
31318,book,claassen_r:2018,,,2018,,Capabilities in a Just Society: A Theory of Navigational Agency,Capabilities in a Just Society: A Theory of Navigational Agency,,,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108561853,,english,false,,,claassen_r,,,1:social_philosophy;2:well_being
31319,article,claassen_r:2023,,,2023,,Political Theories of the Business Corporation,Political Theories of the Business Corporation,,,,philosophy-compass,18,18,1,1,e12892,,e12892,,,,,,,,,,,,,,,,10.1111/phc3.12892,,english,false,,,claassen_r,,,
31320,book,clack_be-clack:2019,,,2019,,The Philosophy of Religion: A Critical Introduction,The Philosophy of Religion: A Critical Introduction,,,,,,,,,,,,,"Hoboken, New Jersey",,,wiley-blackwell,,3,,,,,,,,,,,english,false,,,clack_be;clack_br,,,
31321,book,clack_be:1999,,,1999,,Misogyny in the Western Philosophical Tradition.~A Reader,Misogyny in the Western Philosophical Tradition. A Reader,Misogyny in the Western Philosophical Tradition.~A Reader,Misogyny in the Western Philosophical Tradition. A Reader,,,,,,,,,,,London,,,mac-millan-publishing-co,,,,,,,,,,,,,english,false,,,clack_be,,,1:political_philosophy;2:feminism
31322,article,clack_be:2008,,,2008,,After Freud: Phantasy and Imagination in the Philosophy of Religion,After Freud: Phantasy and Imagination in the Philosophy of Religion,,,,philosophy-compass,3,3,1,1,203--221,203,,,,,,,,,,,,,,,,,,,english,false,,,clack_be,,,1:religion
31323,incollection,clack_be:2012,,,2012,,Being Human: Religion and Superstition in a Psychoanalytic Philosophy of Religion,Being Human: Religion and Superstition in a Psychoanalytic Philosophy of Religion,,,,,,,,,255--279,255,,,,,,,,,,,,,,,,,,,english,false,,,clack_be,,,1:psychology;2:psychoanalysis
31324,incollection,clack_be:2013,,,2013,,Psychology,Psychology,,,,,,,,,308--320,308,,,,,,,,,,,,,,,,,,,english,false,,,clack_be,,,1:religion;2:theism
31325,incollection,clack_be:2015,,,2015,,Feminist Approaches to Religion,Feminist Approaches to Religion,,,,,,,,,7--19,7,,,,,,,,,,,,,,,,,,,english,false,,,clack_be,,,1:reference
31326,incollection,clack_be:2017,,,2017,,Feminist Engagement with Judeo-Christian Religious Traditions,Feminist Engagement with Judeo-Christian Religious Traditions,,,,,,,,,60--70,60,,,,,,,,,,,,,,,,,,,english,false,,,clack_be,,,1:political_philosophy;2:feminism
31327,incollection,cladis:2005,,,2005,,Beyond solidarity? Durkheim and twenty-first century democracy in a global age,Beyond solidarity? Durkheim and twenty-first century democracy in a global age,,,,,,,,,383--409,383,,,,,,,,,,,,,,,,,,,english,false,,,cladis,,,1:social_sciences;2:sociology
