id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
32181,book,coady_cajt-etal:2018,,,2018,,Challenges for Humanitarian Intervention,Challenges for Humanitarian Intervention,Challenges for Humanitarian Intervention,Challenges for Humanitarian Intervention,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780198812852.001.0001,,,false,,,coady_cajt;dobos_n;sanyal_sa,,1:social_philosophy;2:war;3:humanitarian_intervention
32182,article,coady_cajt-ross:2000,,,2000,,St.~Augustine and the Ideal of Peace,St. Augustine and the Ideal of Peace,,,,american-catholic-philosophical-quarterly,74,1,153--162,,,,,,,,,,,,,,,,,,,,false,,coady_cajt;ross_je,,,1:social_philosophy;2:war
32183,article,coady_cajt:1974,,,1974,,The Senses of Martians,The Senses of Martians,,,,the-philosophical-review,83,1,107--125,,,,,,,,,Reprinted in \citet[120--135]{macpherson_f:2012},Reprinted in Macpherson (2012),,,,,,,,,,false,,coady_cajt,,,1:perception;2:the_senses
32184,article,coady_cajt:1983,,,1983,,Descartes' Other Myth,Descartes' Other Myth,,,,proceedings-of-the-aristotelian-society,83,,121--141,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,
32185,incollection,coady_cajt:1989,,,1989,,Reid on Testimony,Reid on Testimony,,,,,,,225--248,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:epistemology;2:testimony
32186,incollection,coady_cajt:1991,,,1991,,Politics and the Problem of Dirty Hands,Politics and the Problem of Dirty Hands,,,,,,,373--383,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:political_philosophy
32187,book,coady_cajt:1992,,,1992,,Testimony: A Philosophical Study,Testimony: A Philosophical Study,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/0198235518.001.0001,,,false,,coady_cajt,,,1:epistemology;2:testimony
32188,incollection,coady_cajt:1993,,,1993,,"Testimony, Observation and ``Autonomous Knowledge''","Testimony, Observation and “Autonomous Knowledge”",,,,,,,225--250,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:epistemology;2:testimony
32189,incollection,coady_cajt:1997,,,1997,,Probabilism,Probabilism,,,,,,,16--33,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:religion;2:god
32190,article,coady_cajt:2000,,,2000,,"Contract, Justice and Self Interest: Reid and Modern Feminism","Contract, Justice and Self Interest: Reid and Modern Feminism",,,,american-catholic-philosophical-quarterly,74,3,519--538,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:political_philosophy;2:feminism
32191,article,coady_cajt:2002,,,2002,,Testimony and Intellectual Autonomy,Testimony and Intellectual Autonomy,,,,studies-in-history-and-philosophy-of-science,33,2,355--372,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:epistemology;2:testimony
32192,incollection,coady_cajt:2003,,,2003,,Was ist Terrorismus?,Was ist Terrorismus?,,,,,,,71--88,,,,,,,,,,,,,,,,,,,ngerman,false,,coady_cajt,,,1:social_philosophy;2:war;3:terrorism
32193,incollection,coady_cajt:2004,,,2004,,Defining Terrorism,Defining Terrorism,,,,,,,3--14,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:social_philosophy;2:war;3:terrorism
32194,incollection,coady_cajt:2004a,,,2004,,"Terrorism, Morality, and Supreme Emergency","Terrorism, Morality, and Supreme Emergency",,,,,,,80--96,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:social_philosophy;2:war;3:terrorism
32195,incollection,coady_cajt:2005,,,2005,,War and Terrorism,War and Terrorism,,,,,,,254--266,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:social_philosophy;2:war;3:terrorism
32196,incollection,coady_cajt:2006,,,2006,,Reid and the Social Operations of Mind,Reid and the Social Operations of Mind,,,,,,,180--203,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,
32197,incollection,coady_cajt:2006a,,,2006,,Pathologies of Testimony,Pathologies of Testimony,,,,,,,253--271,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:epistemology;2:testimony
32198,article,coady_cajt:2007,,,2007,,William Joseph (Bill) Ginnane,William Joseph (Bill) Ginnane,,,,australasian-journal-of-philosophy,85,3,513--514,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:history_of_philosophy
32199,incollection,coady_cajt:2007a,,,2007,,Dirty Hands,Dirty Hands,,,,,,,532--540,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:political_philosophy
32200,incollection,coady_cajt:2007b,,,2007,,Moore's Common Sense,Moore's Common Sense,,,,,,,100--118,,,,,,,,,,,,,,,,,,,,true,,coady_cajt,,,1:method;2:method_in_of_philosophy;3:common_sense
32201,incollection,coady_cajt:2013,,,2013,,Terrorism,Terrorism,,,,,,,777--787,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:social_philosophy;2:war;3:terrorism
32202,article,coady_cajt:2014,,,2014,,Communal and Institutional Trust: Authority in Religion and Politics [on \citet{zagzebski:2012}],Communal and Institutional Trust: Authority in Religion and Politics [on Zagzebski (2012)],,,,european-journal-for-philosophy-of-religion,6,4,1--23,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:epistemology;2:testimony;3:epistemic_authority
32203,incollection,coady_cajt:2016,,,2016,,Catholic Identity and Strong Dissent -- How Compatible?,Catholic Identity and Strong Dissent – How Compatible?,,,,,,,79--83,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:rationality;2:disagreement
32204,incollection,coady_cajt:2017,,,2017,,Applied Philosophy of Religion,Applied Philosophy of Religion,,,,,,,541--554,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:religion
32205,incollection,coady_cajt:2018,,,2018,,The Hazards of Rescue,The Hazards of Rescue,,,,,,,409--428,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:political_philosophy;2:rights;3:human_rights
32206,incollection,coady_cajt:2019,,,2019,,Religion and Moral Knowledge,Religion and Moral Knowledge,,,,,,,537--551,,,,,,,,,,,,,,,,,,,,false,,coady_cajt,,,1:ethics;2:epistemology_of_morality
32207,book,coady_cajt:2021,,,2021,,The Meaning of Terrorism,The Meaning of Terrorism,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780199603961.001.0001,,,false,,coady_cajt,,,1:social_philosophy;2:war;3:terrorism
32208,book,coady_d-chase:2019,,,2019,,The Routledge Handbook of Applied Epistemology,The Routledge Handbook of Applied Epistemology,The Routledge Handbook of Applied Epistemology,The Routledge Handbook of Applied Epistemology,,,,,,,routledge_handbooks_in_philosophy,London,,,routledge,,,,,,,,,,,,,,false,,,coady_d;chase_jk,,1:epistemology
32209,incollection,coady_d-chase:2019a,,,2019,,The Return of Applied Epistemology,The Return of Applied Epistemology,,,,,,,3--12,,,,,,,,,,,,,,,,,,,,false,,coady_d;chase_jk,,,1:epistemology
32210,incollection,coady_d:2004,,,2004,,Preempting Preemption,Preempting Preemption,,,,,,,325--340,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:causation
32211,article,coady_d:2006,,,2006,,When Experts Disagree,When Experts Disagree,,,,episteme,3,1/2,68--79,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:rationality;2:disagreement
32212,article,coady_d:2007,,,2007,,Are Conspiracy Theorists Irrational?,Are Conspiracy Theorists Irrational?,,,,episteme,4,2,193--204,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:epistemology;2:justification;3:conspiracy_theories
32213,article,coady_d:2008,,,2008,,Review of \citet{carruthers:2006},Review of Carruthers (2006),,,,australasian-journal-of-philosophy,86,3,521--524,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,
32214,article,coady_d:2010,,,2010,,Two Concepts of Epistemic Injustice,Two Concepts of Epistemic Injustice,,,,episteme,7,2,101--113,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:epistemology;2:bias;3:epistemic_injustice
32215,incollection,coady_d:2017,,,2017,,Epistemic Injustice as Distributive Injustice,Epistemic Injustice as Distributive Injustice,,,,,,,61--68,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:epistemology;2:bias;3:epistemic_injustice
32216,incollection,coady_d:2017a,,,2017,,Applied Epistemology,Applied Epistemology,,,,,,,51--60,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:epistemology
32217,incollection,coady_d:2019,,,2019,,Psychology and Conspiracy Theories,Psychology and Conspiracy Theories,,,,,,,166--176,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:epistemology;2:justification;3:conspiracy_theories
32218,incollection,coady_d:2020,,,2020,,Epistemology and Climate Change,Epistemology and Climate Change,,,,,,,466--473,,,,,,,,,,,,,,,,,,,,false,,coady_d,,,1:political_philosophy;2:climate_change
32219,incollection,coakley:1992,,,1992,,Visions of the Self in Late Medieval Christianity: Some Cross-Disciplinary Reflections,Visions of the Self in Late Medieval Christianity: Some Cross-Disciplinary Reflections,,,,,,,89--104,,,,,,,,,,,,,,,,,,,,false,,coakley,,,1:religion
