id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
37190,book,czajka_a-isyar:2014,,,2014,,Europe after Derrida: Crisis and Potentiality,Europe after Derrida: Crisis and Potentiality,Europe after Derrida: Crisis and Potentiality,Europe after Derrida: Crisis and Potentiality,,,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,10.3366/edinburgh/9780748683369.001.0001,,english,false,,,,czajka_a;isyar_b,,
37191,incollection,czaniera:1995,,,1995,,"Kurt Baier: \emph{The Rational and the Moral Order.~The Social Roots of Reason and Morality}, Chicago 1995.","Kurt Baier: The Rational and the Moral Order. The Social Roots of Reason and Morality, Chicago 1995.",,,,,,,306--309,306,,,,,,,,,,,,,,,,,,,english,false,,,czaniera,,,1:complexity
37192,book,czaniera:2001,,,2001,,Gibt es moralisches Wissen? Die Kognitivismusdebatte in der analytischen Moralphilosophie,Gibt es moralisches Wissen? Die Kognitivismusdebatte in der analytischen Moralphilosophie,,,,,,,,,,,Paderborn,,,mentis-verlag,,,,,,,,,,,,,ngerman,false,,,czaniera,,,1:ethics;2:epistemology_of_morality;3:ethical_cognitivism
37193,incollection,czaniera:2003,,,2003,,The Neutrality of Meta-Ethics Revisited -- How to Draw on Einstein and the Vienna Circle in Developing an Adequate Account of Morals,The Neutrality of Meta-Ethics Revisited – How to Draw on Einstein and the Vienna Circle in Developing an Adequate Account of Morals,,,,,,,313--322,313,,,,,,,,,,,,,,,,,,,english,false,,,czaniera,,,1:ethics
37194,incollection,czarnawska:1995,,,1995,,The Way from Concept to Thought.~Does it Exist in Ajdukiewicz's Semantical Theory?,The Way from Concept to Thought. Does it Exist in Ajdukiewicz's Semantical Theory?,,,,,,,75--82,75,,,,,,,,,,,,,,,,,,,english,false,,,czarnawska,,,1:representation;2:concepts
37195,book,czarnecki_t-etal:2010,,,2010,,The Analytical Way: Proceedings of the 6th European Congress of Analytic Philosophy,The Analytical Way: Proceedings of the 6th European Congress of Analytic Philosophy,The Analytical Way: Proceedings of the 6th European Congress of Analytic Philosophy,The Analytical Way: Proceedings of the 6th European Congress of Analytic Philosophy,,,,25,,,,studies_in_logic,London,,,college-publications,,,,,,,,,,,,,english,false,,,,czarnecki_t;kijaniaplacek;poller_o;wolenski,,1:logic
37196,incollection,czarnecki_t:1998,,,1998,,On Ajdukiewicz's Empirical Meaning-Rule and Wittgenstein's Defining Criterion,On Ajdukiewicz's Empirical Meaning-Rule and Wittgenstein's Defining Criterion,,,,,,,35--42,35,,,,,,,,,,,,,,,,,,,english,false,,,czarnecki_t,,,1:representation;2:meaningfulness;3:verificationist_criterion_of_meaningfulness
37197,article,czarnecki_t:2002,,,2002,,G.E.~Moore on Logical Possibility,G.E. Moore on Logical Possibility,,,,logic-and-logical-philosophy,10,,7--19,7,,,,,,,,,,,,,,,,,,,english,false,,,czarnecki_t,,,1:modality;2:types_of_necessity;3:logical_necessity
37198,incollection,czarnecki_t:2003,,,2003,,Adjukiewicz on Language Change and Truth,Adjukiewicz on Language Change and Truth,,,,,,,131--149,131,,,,,,,,,,,,,,,,,,,english,false,,,czarnecki_t,,,1:time;2:change
37199,incollection,czarnecki_t:2005,,,2005,,The Closure Principle and the Ignoring of Possibilities,The Closure Principle and the Ignoring of Possibilities,,,,,,,69--82,69,,,,,,,,,,,,,,,,,,,english,false,,,czarnecki_t,,,1:epistemology;2:epistemic_closure
