id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
37230,incollection,daanen-young:2013,,,2013,,Others as Objects: The Possibilities and Limitations of Intersubjective Relationships,Others as Objects: The Possibilities and Limitations of Intersubjective Relationships,,,,,,,,,129--140,129,,,,,,,,,,,,,,,,,,,english,false,,,daanen;young_sa,,,1:persons;2:self
37231,book,dabin-gregory:1974,,,1974,,Encyclopedia Universalis,Encyclopedia Universalis,Encyclopedia Universalis,Encyclopedia Universalis,,,,,,,,,,,Paris,,,encyclopedia-universalis,,,,,,,,,,,,,french,false,,,,dabin;gregory_c,,1:encyclopedia
37232,book,dabrock_p-ried:2005,,,2005,,"Therapeutisches Klonen als Herausforderung f{\""u}r die Statusbestimmung des menschlichen Embryos",Therapeutisches Klonen als Herausforderung für die Statusbestimmung des menschlichen Embryos,"Therapeutisches Klonen als Herausforderung f{\""u}r die Statusbestimmung des menschlichen Embryos",Therapeutisches Klonen als Herausforderung für die Statusbestimmung des menschlichen Embryos,,,,,,,,,,,Paderborn,,,mentis-verlag,,,,,,,,,,,,,german,false,,,,dabrock_p;ried_j,,1:ethics;2:bioethics
37233,article,dabrowski-etal:1996,,,1996,,Topological Reasoning and the Logic of Knowledge,Topological Reasoning and the Logic of Knowledge,,,,annals-of-pure-and-applied-logic,78,78,,,73--110,73,,,,,,,,,,,,,,,,,,,english,false,,,dabrowski;moss_ls;parikh_r,,,1:space_spacetime;2:logic_of_space;3:topology
37234,incollection,dacaro_m-grasso:2017,,,2017,,Three Views on Mental Downward Causation,Three Views on Mental Downward Causation,,,,,,,,,313--327,313,,,,,,,,,,,,,,,,,,,english,false,,,decaro_m;grasso_ma,,,
37235,article,daccaiero-desouza:1997,useprefix=true,,1997,,A New Paraconsistent Set Theory: \emph{ML}1,A New Paraconsistent Set Theory: ML1,,,,logique-et-analyse,40,40,157,157,115--141,115,,,,,,,,,,,,,,,,,,,english,false,,,daccaiero;desouza_eg,,,1:mathematics;2:set_theory
37236,article,dacey_m:2015,,,2015,,Associationism without Associative Links: Thomas Brown and the Associationist Project,Associationism without Associative Links: Thomas Brown and the Associationist Project,,,,studies-in-history-and-philosophy-of-science,54,54,,,31--40,31,,,,,,,,,,,,,,,,,,,english,false,,,dacey_m,,,1:psychology
37237,article,dacey_m:2016,,,2016,,Rethinking Associations in Psychology,Rethinking Associations in Psychology,,,,synthese,193,193,12,12,3763--3786,3763,,,,,,,,,,,,,,,,,,,english,false,,,dacey_m,,,1:psychology
37238,article,dacey_m:2018,,,2018,,"The Paper Topic Machine: Creativity, Credit and the Unconscious","The Paper Topic Machine: Creativity, Credit and the Unconscious",,,,analysis,78,78,4,4,614--622,614,,,,,,,,,,,,,,,,,,,english,false,,,dacey_m,,,1:metaphilosophy;2:philosophy_as_a_discipline
37239,incollection,dacey_m:2018a,,,2018,,A New View of Association and Associative Models,A New View of Association and Associative Models,,,,,,,,,419--426,419,,,,,,,,,,,,,,,,,,,english,false,,,dacey_m,,,1:animals;2:animal_cognition
37240,incollection,dacey_r:1981,,,1981,,Some Implications of `Theory Absorption' for Economic Theory and the Economics of Information,Some Implications of ‘Theory Absorption' for Economic Theory and the Economics of Information,,,,,,,,,111--136,111,,,,,,,,,,,,,,,,,,,english,false,,,dacey_r,,,1:economics
37241,incollection,dacey_r:1994,,,1994,,Epistemic Honesty,Epistemic Honesty,,,,,,,,,333--344,333,,,,,,,,,,,,,,,,,,,english,false,,,dacey_r,,,1:rationality
37242,incollection,dacey_r:2003,,,2003,,Inferential Traps in an Escalation Process,Inferential Traps in an Escalation Process,,,,,,,,,373--390,373,,,,,,,,,,,,,,,,,,,english,false,,,dacey_r,,,1:logic;2:entailment;3:inference
37243,incollection,dacey_r:2004,,,2004,,Interrogative Logic and the Economic Theory of Information,Interrogative Logic and the Economic Theory of Information,,,,,,,,,61--74,61,,,,,,,,,,,,,,,,,,,english,false,,,dacey_r,,,1:semantics;2:interrogatives;3:erotetic_logic
