id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
46552,book,eades-zhang:1996,,,1996,,Software Visualisation,Software Visualisation,Software Visualisation,Software Visualisation,,,,,,,,Singapore,,,world-scientific-publishing-co,,,,,,,,,,,,,,false,,,eades;zhang_k,,1:computation;2:computer_science;3:software_engineering
46553,incollection,eads_g:1985,,,1985,,The Confusion of Goals and Instruments: The Explicit Consideration of Cost in Setting National Ambient Air Quality Standards,The Confusion of Goals and Instruments: The Explicit Consideration of Cost in Setting National Ambient Air Quality Standards,,,,,,,222--232,,,,,,,,,,,,,,,,,,,,false,,eads_g,,,1:biology;2:ecology
46554,incollection,eagan_jl:2006,,,2006,,"Unfreedom, Suffering, and the Culture Industry: What Adorno Can Contribute to a Feminist Ethics","Unfreedom, Suffering, and the Culture Industry: What Adorno Can Contribute to a Feminist Ethics",,,,,,,277--300,,,,,,,,,,,,,,,,,,,,false,,eagan_jl,,,1:political_philosophy;2:feminism
46555,book,eagan_sm-messelken:2023,,,2023,,Resource Scarcity in Austere Environments: An Ethical Examination of Triage and Medical Rules of Eligibility,Resource Scarcity in Austere Environments: An Ethical Examination of Triage and Medical Rules of Eligibility,,,,,,,,,military_and_humanitarian_health_ethics,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-031-29059-6,,,false,,eagan_sm;messelken_d,,,
46556,article,eagle_a:2004,,,2004,,Twenty-One Arguments against Propensity Analyses of Probability,Twenty-One Arguments against Propensity Analyses of Probability,,,,erkenntnis,60,3,371--416,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:probability
46557,article,eagle_a:2004a,,,2004,,A Causal Theory of Chance?,A Causal Theory of Chance?,,,,studies-in-history-and-philosophy-of-science,35,4,883--890,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:probability
46558,article,eagle_a:2005,,,2005,,Randomness Is Unpredictability,Randomness Is Unpredictability,,,,the-british-journal-for-the-philosophy-of-science,56,4,749--790,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:probability;2:chance
46559,article,eagle_a:2005a,,,2005,,A Note on Dolby and Gull on Radar Time and the Twin `Paradox',A Note on Dolby and Gull on Radar Time and the Twin ‘Paradox',,,,american-journal-of-physics,73,10,976--979,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time;2:time_travel
46560,article,eagle_a:2006,,,2006,,Review of \citet{mellor_dh:2005a},Review of Mellor (2005),,,,mind,115,459,773--?,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,
46561,article,eagle_a:2007,,,2007,,Reply to \citet{stone_j:2007} on Counterpart Theory and Four-Dimensionalism,Reply to Stone (2007) on Counterpart Theory and Four-Dimensionalism,,,,analysis,67,2,159--162,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time;2:persistence
46562,incollection,eagle_a:2007a,,,2007,,Pragmatic Causation,Pragmatic Causation,,,,,,,156--190,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:causation
46563,article,eagle_a:2007b,,,2007,,Telling Tales,Telling Tales,,,,proceedings-of-the-aristotelian-society,107,,125--147,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:aesthetics;2:make_believe
46564,article,eagle_a:2008,,,2008,,Mathematics and Conceptual Analysis,Mathematics and Conceptual Analysis,,,,synthese,161,1,67--88,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:mathematics
46565,incollection,eagle_a:2009,,,2009,,Causal Structuralism and Conditionals,Causal Structuralism and Conditionals,,,,,,,65--99,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
46566,incollection,eagle_a:2009a,,,2009,,"Causal Structuralism, Dispositional Actualism, and Counterfactual Conditionals","Causal Structuralism, Dispositional Actualism, and Counterfactual Conditionals",,,,,,,65--99,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
46567,misc,eagle_a:2010,,,2010,,Elements of Deductive Logic,Elements of Deductive Logic,,,,,,,,,,,,,,,,"Lecture Notes and Problems.~University of Oxford, Hilary Term 2010.~Latest version 2017: \url{https://github.com/antonyeagle/edl}","Lecture Notes and Problems. University of Oxford, Hilary Term 2010. Latest version 2017: <https://github.com/antonyeagle/edl>",,,,,,,,,,false,,eagle_a,,,1:logic;2:logic_course
46568,incollection,eagle_a:2010a,,,2010,,Location and Perdurance,Location and Perdurance,,,,,,,53--94,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time;2:persistence
46569,incollection,eagle_a:2010b,,,2010,,Duration in Relativistic Spacetime,Duration in Relativistic Spacetime,,,,,,,113--118,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time;2:persistence
46570,book,eagle_a:2011,,,2011,,Philosophy of Probability: Contemporary Readings,Philosophy of Probability: Contemporary Readings,Philosophy of Probability: Contemporary Readings,Philosophy of Probability: Contemporary Readings,,,,,,,contemporary_readings_in_philosophy,London,,,routledge,,,,,,,,,,,,,,false,,,eagle_a,,1:probability
46571,article,eagle_a:2011a,,,2011,,Deterministic Chance,Deterministic Chance,,,,nous,45,2,269--299,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:probability
46572,incollection,eagle_a:2014,,,2014,,Is the Past a Matter of Chance?,Is the Past a Matter of Chance?,,,,,,,126--158,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time;2:the_past
46573,unpublished,eagle_a:2016,,,2016,,Supendurantism,Supendurantism,,,,,,,,,,,,,,,,Unpublished manuscript,Unpublished manuscript,,,,,,,,,,false,,eagle_a,,,1:time;2:persistence
46574,incollection,eagle_a:2016a,,,2016,,Probability and Randomness,Probability and Randomness,,,,,,,440--459,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:probability;2:nature_of_probability
46575,article,eagle_a:2016b,,,2016,,"Persistence, Vagueness, and Location","Persistence, Vagueness, and Location",,,,the-journal-of-philosophy,113,10,507--532,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time;2:persistence
46576,article,eagle_a:2016c,,,2016,,Review of \citet{cotnoir-baxter:2014},Review of Cotnoir and Baxter (2014),,,,australasian-journal-of-philosophy,94,1,190--193,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:complexity;2:composition;3:composition_as_identity
46577,article,eagle_a:2016d,,,2016,,Multiple Location Defended,Multiple Location Defended,,,,philosophical-studies,173,8,2215--2231,,,,,,,,,,,,,,,,,10.1007/s11098-015-0605-z,,,false,,eagle_a,,,1:time;2:persistence
46578,article,eagle_a:2019,,,2019,,Weak Location,Weak Location,,,,dialectica,73,1/2,149--182,,,,,,,,,,,,,,,,,10.1111/1746-8361.12264,,,false,,eagle_a,,,1:properties;2:locational_properties
46579,incollection,eagle_a:2021,,,2021,,Relativity and the A-Theory,Relativity and the A-Theory,,,,,,,86--98,,,,,,,,,,,,,,,,,,,,false,,eagle_a,,,1:time
46580,article,eagle_mn:1959,,,1959,,The Effects of Subliminal Stimuli of Aggressive Content upon Conscious Cognition,The Effects of Subliminal Stimuli of Aggressive Content upon Conscious Cognition,,,,journal-of-personality,27,,578--600,,,,,,,,,,,,,,,,,,,,false,,eagle_mn,,,1:perception;2:unconscious_perception;3:blindsight
46581,article,eagle_mn:1982,,,1982,,Privileged Access and the Status of Self-Knowledge in Cartesian and Freudian Conceptions of the Mental,Privileged Access and the Status of Self-Knowledge in Cartesian and Freudian Conceptions of the Mental,,,,philosophy-of-the-social-sciences,12,,349--373,,,,,,,,,,,,,,,,,,,,false,,eagle_mn,,,1:knowledge;2:self_knowledge;3:iem
46582,incollection,eagle_mn:1983,,,1983,,The Epistemological Status of Recent Developments in Psychoanalytic Theory,The Epistemological Status of Recent Developments in Psychoanalytic Theory,,,,,,,31--56,,,,,,,,,,,,,,,,,,,,false,,eagle_mn,,,1:psychology;2:psychoanalysis
46583,incollection,eagle_mn:1983a,,,1983,,Anatomy of the Self in Psychoanalytic Theory,Anatomy of the Self in Psychoanalytic Theory,,,,,,,133--162,,,,,,,,,,,,,,,,,,,,false,,eagle_mn,,,1:persons;2:self
46584,incollection,eagle_mn:1987,,,1987,,The Psychoanalytic and the Cognitive Unconscious,The Psychoanalytic and the Cognitive Unconscious,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,eagle_mn,,,1:psychology;2:the_unconscious
46585,incollection,eagle_mn:1993,,,1993,,The Dynamics of Theory Change in Psychoanalysis,The Dynamics of Theory Change in Psychoanalysis,,,,,,,373--408,,,,,,,,,,,,,,,,,,,,false,,eagle_mn,,,1:psychology;2:psychoanalysis
46586,book,eagleton_ma:2003,,,2003,,A Concise Companion to Feminist Theory,A Concise Companion to Feminist Theory,,,,,,,,,,Oxford,,,blackwell-publishers,,,,,,,,,,,,,,false,,eagleton_ma,,,1:political_philosophy;2:feminism
46587,incollection,eagleton_t:1982,,,1982,,Macherey and Marxist Literary Theory,Macherey and Marxist Literary Theory,,,,,,,145--156,,,,,,,,,,,,,,,,,,,,false,,eagleton_t,,,1:aesthetics;2:fiction
