id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
46941,book,eccles:1966,,,1966,,Brain and Conscious Experience,Brain and Conscious Experience,Brain and Conscious Experience,Brain and Conscious Experience,,,,,,,,,Berlin,,,springer,,,,,,,,,,,,,english,false,,,,eccles_jc,,2:consciousness
46942,article,eccles:1972,,,1972,,Unconscious Actions Emanating From the Human Cerebral Cortex [on \citet{weitz:1972}],Unconscious Actions Emanating From the Human Cerebral Cortex [on Weitz (1972)],,,,philosophic-exchange,3,,249--252,249,,,,,,,,,,,,,,,,http://hdl.handle.net/20.500.12648/3190,,http://hdl.handle.net/20.500.12648/3190,english,false,,,eccles_jc,,,1:action
46943,incollection,eccles:1976,,,1976,,Brain and Free Will,Brain and Free Will,,,,,,,101--122,101,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:mind_body;2:physicalism
46944,incollection,eccles:1976a,,,1976,,How Dogmatic Can Materialism Be? [response to \citet{savage_cw:1976}],How Dogmatic Can Materialism Be? [response to Savage (1976)],,,,,,,155--160,155,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:mind_body;2:physicalism
46945,book,eccles:1979,,,1979,,"The Human Mystery.~The Gifford Lectures 1977-78, University of Edinburgh","The Human Mystery. The Gifford Lectures 1977-78, University of Edinburgh",,,,,,,,,,,Berlin,,,springer,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:psychology;2:neuroscience
46946,book,eccles:1982,,,1982,,Mind and Brain.~Selected Readings from the Proceedings of the International Conference on the Unity of the Sciences,Mind and Brain. Selected Readings from the Proceedings of the International Conference on the Unity of the Sciences,Mind and Brain.~Selected Readings from the Proceedings of the International Conference on the Unity of the Sciences,Mind and Brain. Selected Readings from the Proceedings of the International Conference on the Unity of the Sciences,,,,,,,,,"Washington, D.C.",,,paragon-house,,,,,,,,,,,,,english,false,,,,eccles_jc,,1:mind_body
46947,book,eccles:1982a,,,1982,,"Das R{\""a}tsel Mensch",Das Rätsel Mensch,,,,,,,,,,,"M{\""u}nchen",,,piper-verlag,,,"{\""U}bersetzung von \citet{eccles:1979} durch Karin Ferreira",Übersetzung von Eccles (1979) durch Karin Ferreira,,,,,,,,,ngerman,true,,,eccles_jc,,,1:psychology;2:neuroscience
46948,article,eccles:1982b,,,1982,,Animal Consciousness and Human Self-Consciousness,Animal Consciousness and Human Self-Consciousness,,,,experientia,38,,1384--1391,1384,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:animals;2:animal_cognition
46949,incollection,eccles:1982c,,,1982,,Introduction,Introduction,,,,,,,xi,11,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:mind_body
46950,incollection,eccles:1982d,,,1982,,Critical Appraisal of Mind-Brain Theories,Critical Appraisal of Mind-Brain Theories,,,,,,,51--58,51,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:mind_body
46951,incollection,eccles:1982e,,,1982,,Human Brain and the Human Person,Human Brain and the Human Person,,,,,,,85--102,85,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:persons
46952,incollection,eccles:1982f,,,1982,,Cerebral Activity and the Freedom of the Will,Cerebral Activity and the Freedom of the Will,,,,,,,159--184,159,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:determinism
46953,incollection,eccles:1982g,,,1982,,Culture: the Creation of Man and the Creator of Man,Culture: the Creation of Man and the Creator of Man,,,,,,,257--270,257,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:social_philosophy
46954,incollection,eccles:1982h,,,1982,,Natural Theological Speculations of Death and the Meaning of Life,Natural Theological Speculations of Death and the Meaning of Life,,,,,,,335--338,335,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:time;2:death
46955,book,eccles:1985,,,1985,,The Brain and the Unity of Conscious Experience,The Brain and the Unity of Conscious Experience,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:psychology;2:neuroscience
46956,article,eccles:1986,,,1986,,Do Mental Events Cause Neural Events Analogously to the Probability Fields of Quantum Mechanics?,Do Mental Events Cause Neural Events Analogously to the Probability Fields of Quantum Mechanics?,,,,proceedings-of-the-royal-society-of-london-series-b-biological-sciences,227,,411--428,411,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:mind_body;2:mental_causation
46957,incollection,eccles:1987,,,1987,,The Effect of Silent Thinking on the Cerebral Cortex,The Effect of Silent Thinking on the Cerebral Cortex,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,1:psychology;2:neuroscience
46958,article,eccles:1992,,,1992,,Evolution of Consciousness,Evolution of Consciousness,,,,proceedings-of-the-national-academy-of-sciences-of-the-usa,89,,7320--7324,7320,,,,,,,,,,,,,,,,,,,english,false,,,eccles_jc,,,2:consciousness
46959,article,echarri:1952,,,1952,,Exp{\'e}rience et th{\'e}orie.~Niveaux d'exp{\'e}rience,Expérience et théorie. Niveaux d'expérience,,,,dialectica,6,24,291--304,291,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1952.tb01089.x,,french,false,,,echarri,,,1:science;2:experimentation
46960,article,echarri:1970,,,1970,,Metodolog{\'{\i}}a abierta y fenomenolog{\'{\i}}a abierta,Metodología abierta y fenomenología abierta,,,,dialectica,24,1--3,41--52,41,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1970.tb01202.x,,spanish,false,,,echarri,,,1:method;2:dialectic
46961,article,echelbarger:1981,,,1981,,An Alleged Legend,An Alleged Legend,,,,philosophical-studies,39,3,227--245,227,,,,,,,,,,,,,,,,,10.1007/bf00354355,,english,false,,,echelbarger,,,
46962,incollection,echelbarger:1997,,,1997,,Hume and the Logicians,Hume and the Logicians,,,,,,,137--152,137,,,,,,,,,,,,,,,,,,,english,false,,,echelbarger,,,1:history_of_philosophy
46963,book,echeverri_m-soriano:2023,,,2023,,The Cambridge Companion to Latin American Independence,The Cambridge Companion to Latin American Independence,The Cambridge Companion to Latin American Independence,The Cambridge Companion to Latin American Independence,,,,,,,,cambridge_companions_to_history,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108679336,,english,false,,,,echeverri_m;soriano,,
46964,article,echeverri_s:2011,,,2011,,McDowell's Conceptualist Therapy for Skepticism,McDowell's Conceptualist Therapy for Skepticism,,,,european-journal-of-philosophy,19,3,357--386,357,,,,,,,,,,,,,,,,,,,english,false,,,echeverri_s,,,1:skepticism
46965,article,echeverri_s:2013,,,2013,,Is Perception a Source of Reasons?,Is Perception a Source of Reasons?,,,,theoria,79,1,22--56,22,,,,,,,,,,,,,,,,,,,english,false,,,echeverri_s,,,1:perception;2:perceptual_judgement
46966,article,echeverri_s:2017,,,2017,,How to Undercut Radical Skepticism,How to Undercut Radical Skepticism,,,,philosophical-studies,174,5,1299--1321,1299,,,,,,,,,,,,,,,,,10.1007/s11098-016-0761-9,,english,false,,,echeverri_s,,,1:skepticism
46967,article,echeverri_s:2017a,,,2017,,"Illusion of Optimal Motion, Relationism, and Perceptual Content","Illusion of Optimal Motion, Relationism, and Perceptual Content",,,,pacific-philosophical-quarterly,98,s1,146--173,146,,,,,,,,,,,,,,,,,,,english,false,,,echeverri_s,,,1:perception;2:direct_realism;3:relationism_about_perception
46968,article,echeverri_s:2019,,,2019,,Emotional Justification,Emotional Justification,,,,philosophy-and-phenomenological-research,98,3,541--566,541,,,,,,,,,,,,,,,,,,,english,false,,,echeverri_s,,,1:feeling;2:emotions;3:emotional_justification
46969,incollection,echeverria_j:1996,,,1996,,Empirical Methods in Mathematics.~A Case Study: Goldbach's Conjecture,Empirical Methods in Mathematics. A Case Study: Goldbach's Conjecture,,,,,,,19--56,19,,,,,,,,,,,,,,,,,,,english,false,,,echeverria_j,,,1:mathematics
46970,incollection,echols-correll:2012,,,2012,,It's More than Skin Deep: Empathy and Helping Behavior across Social Groups,It's More than Skin Deep: Empathy and Helping Behavior across Social Groups,,,,,,,55--72,55,,,,,,,,,,,,,,,,,,,english,false,,,echols;correll_j,,,1:feeling;2:empathy
46971,incollection,eck_d-turner:2017,,,2017,,Cognitive Science,Cognitive Science,,,,,,,340--350,340,,,,,,,,,,,,,,,,,,,english,false,,,eck_d;turner_sp,,,1:social_sciences
