id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
47371,incollection,egan_a-elga:2005,,,2005,,I Can't Believe I'm Stupid,I Can't Believe I'm Stupid,,,,,,,,,77--93,77,,,,,,,,,,,,,,,,,,,english,false,,,egan_a;elga,,,1:epistemology
47372,incollection,egan_a-etal:2005,,,2005,,Epistemic Modals in Context,Epistemic Modals in Context,,,,,,,,,131--170,131,,,,,,,,,,,,,,,,,,,english,false,,,egan_a;hawthorne_a;weatherson,,,1:epistemology;2:epistemic_contextualism
47373,incollection,egan_a-kindermann:2020,,,2020,,\emph{De Se} Relativism,De Se Relativism,,,,,,,,,518--527,518,,,,,,,,,,,,,,,,,,,english,false,,,egan_a;kindermann_d,,,1:metaphysics;2:perspectivalism
47374,incollection,egan_a-weatherson:2004,,,2004,,Prankster's Ethics,Prankster's Ethics,,,,,,,,,45--52,45,,,,,,,,,,,,,,,,,,,english,false,,,egan_a;weatherson,,,1:ethics
47375,book,egan_a-weatherson:2011,,,2011,,Epistemic Modality,Epistemic Modality,Epistemic Modality,Epistemic Modality,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199591596.001.0001,,english,false,,,,egan_a;weatherson,,1:epistemology;2:epistemic_modals
47376,incollection,egan_a-weatherson:2011a,,,2011,,Introduction: Epistemic Modals and Epistemic Modality,Introduction: Epistemic Modals and Epistemic Modality,,,,,,,,,1--18,1,,,,,,,,,,,,,,,,,,,english,false,,,egan_a;weatherson,,,1:epistemology;2:epistemic_modals
47377,article,egan_a:2004,,,2004,,Second-Order Predication and the Metaphysics of Properties,Second-Order Predication and the Metaphysics of Properties,,,,australasian-journal-of-philosophy,82,82,1,1,48--66,48,,,,,,,,,Reprinted in \citet[49--67]{jackson_f-priest:2004},Reprinted in Jackson and Priest (2004),,,,,,,,,english,false,,,egan_a,,,1:properties;2:higher_order_properties
47378,article,egan_a:2006,,,2006,,Appearance Properties?,Appearance Properties?,,,,nous,40,40,3,3,495--521,495,,,,,,,,,,,,,,,,,,,english,false,,,egan_a,,,1:properties;2:primary_secondary_qualities
47379,article,egan_a:2006a,,,2006,,Secondary Qualities and Self-Location,Secondary Qualities and Self-Location,,,,philosophy-and-phenomenological-research,72,72,1,1,97--119,97,,,,,,,,,,,,,,,,,,,english,false,,,egan_a,,,1:properties;2:primary_secondary_qualities
47380,article,egan_a:2007,,,2007,,Some Counterexamples to Causal Decision Theory,Some Counterexamples to Causal Decision Theory,,,,the-philosophical-review,116,116,1,1,93--114,93,,,,,,,,,,,,,,,,,,,english,false,,,egan_a,,,1:decision_theory
47381,article,egan_a:2007a,,,2007,,Review of \citet{baghramian:2004},Review of Baghramian (2004),,,,mind,116,116,462,462,387--390,387,,,,,,,,,,,,,,,,,,,english,false,,,egan_a,,,1:truth;2:relative_truth
47382,article,egan_a:2007b,,,2007,,"Epistemic Modals, Relativism, and Assertion","Epistemic Modals, Relativism, and Assertion",,,,philosophical-studies,133,133,1,1,1--22,1,,,,,,,,,,,,,,,,,10.1007/s11098-006-9003-x,,english,false,,,egan_a,,,1:epistemology;2:epistemic_modals
47383,article,egan_a:2007c,,,2007,,Quasi-Realism and Fundamental Moral Error,Quasi-Realism and Fundamental Moral Error,,,,australasian-journal-of-philosophy,85,85,2,2,205--219,205,,,,,,,,,,,,,,,,,,,english,false,,,egan_a,,,1:ethics
47384,article,egan_a:2008,,,2008,,Pretense for the Complete Idiom,Pretense for the Complete Idiom,,,,nous,42,42,3,3,381--409,381,,,,,,,,,,,,,,,,,,,english,false,,,egan_a,,,1:modality;2:modal_realism;3:modal_fictionalism
