id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
47521,incollection,ehlers_j-etal:2003,,,2003,,Gravitational Lensing from a Space-Time Perspective,Gravitational Lensing from a Space-Time Perspective,,,,,,,281--304,281,,,,,,,,,,,,,,,,,,,english,false,,,ehlers_j;frittelli_s;newman_et,,,1:science;2:experimentation
47522,incollection,ehlers_j:1973,,,1973,,The Nature and Structure of Spacetime,The Nature and Structure of Spacetime,,,,,,,71--91,71,,,,,,,,,,,,,,,,,10.1007/978-94-010-2602-4_6,,english,false,,,ehlers_j,,,1:space_spacetime
47523,incollection,ehlers_j:1983,,,1983,,Relations between the Galileo-Invariant and the Lorentz-Invariant Theories of Collisions,Relations between the Galileo-Invariant and the Lorentz-Invariant Theories of Collisions,,,,,,,21--38,21,,,,,,,,,,,,,,,,,,,english,false,,,ehlers_j,,,1:space_spacetime;2:nature_of_spacetime;3:space
47524,incollection,ehlers_j:1986,,,1986,,"On Limit Relations between and Approximate Explanations of, Physical Theories","On Limit Relations between and Approximate Explanations of, Physical Theories",,,,,,,387--403,387,,,,,,,,,,,,,,,,,,,english,false,,,ehlers_j,,,1:science;2:theory_change
47525,incollection,ehlers_n:2016,,,2016,,Identities,Identities,,,,,,,346--366,346,,,,,,,,,,,,,,,,,,,english,false,,,ehlers_n,,,1:persons;2:gender
47526,article,ehli:2018,,,2018,,Rationalizing Socrates' \emph{daimonion},Rationalizing Socrates' daimonion,,,,british-journal-for-the-history-of-philosophy,26,2,225--240,225,,,,,,,,,,,,,,,,,,,english,false,,,ehli,,,1:ethics;2:conscience
47527,article,ehmer:1925,,,1925,,Kants Abstammung,Kants Abstammung,,,,kant-studien,30,2,464--467,464,,,,,,,,,,,,,,,,,,,ngerman,false,,,ehmer,,,1:history_of_philosophy
47528,book,ehnes:2018,,,2018,,Victorian Poetry and the Poetics of the Literary Periodical,Victorian Poetry and the Poetics of the Literary Periodical,,,,,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,,,english,false,,,ehnes,,,
47529,article,ehrenberg:2011,,,2011,,Critical Reception of Raz's Theory of Authority,Critical Reception of Raz's Theory of Authority,,,,philosophy-compass,6,11,777--785,777,,,,,,,,,,,,,,,,,,,english,false,,,ehrenberg,,,1:political_philosophy;2:authority
47530,article,ehrenberg:2011a,,,2011,,Joseph Raz's Theory of Authority,Joseph Raz's Theory of Authority,,,,philosophy-compass,6,12,884--894,884,,,,,,,,,,,,,,,,,,,english,false,,,ehrenberg,,,1:political_philosophy;2:authority
47531,article,ehrenberg:2013,,,2013,,Functions in Jurisprudential Methodology,Functions in Jurisprudential Methodology,,,,philosophy-compass,8,5,447--456,447,,,,,,,,,,,,,,,,,,,english,false,,,ehrenberg,,,1:law
47532,book,ehrenberg:2016,,,2016,,The Functions of Law,The Functions of Law,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,ehrenberg,,,1:law
47533,article,ehrenfeld_c:2020,,,2020,,Bedingte und unbedingte Gastfreundschaft bei Jacques Derrida,Bedingte und unbedingte Gastfreundschaft bei Jacques Derrida,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2020-03-16-ehrenfeld,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,ehrenfeld_c,,,
47534,book,ehrenfeucht-etal:2008,,,2008,,Andrzej Mostowski and Foundational Studies,Andrzej Mostowski and Foundational Studies,Andrzej Mostowski and Foundational Studies,Andrzej Mostowski and Foundational Studies,,,,,,,,,Amsterdam,,,ios-press,,,,,,,,,,,,,english,false,,,,ehrenfeucht;marek_ww;srebrny_m,,1:logic
47535,incollection,ehrenfeucht-mycielsky:1977,,,1977,,Learnable Functions,Learnable Functions,,,,,,,251--256,251,,,,,,,,,,,,,,,,,,,english,false,,,ehrenfeucht;mycielski,,,1:psychology
47536,incollection,ehrenfeucht:1965,,,1965,,Elementary Theories with Models without Automorphisms,Elementary Theories with Models without Automorphisms,,,,,,,70--77,70,,,,,,,,,,,,,,,,,,,english,false,,,ehrenfeucht,,,1:ontology;2:ontological_relativity;3:proxy_functions
47537,incollection,ehrenfeucht:1974,,,1974,,Logic without Iterations,Logic without Iterations,,,,,,,265--268,265,,,,,,,,,,,,,,,,,,,english,false,,,ehrenfeucht,,,
47538,incollection,ehrenpreis_l:1968,,,1968,,Special Functions and Representations of Lie Groups,Special Functions and Representations of Lie Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,ehrenpreis_l,,,1:mathematics;2:algebra
47539,book,ehrenstein_k:2022,,,2022,,Causal Pluralism in the Life Sciences,Causal Pluralism in the Life Sciences,,,,,,,,,,history_philosophy_and_theory_of_the_life_sciences,Dordrecht,,,springer,,,,,,,,,,,10.1007/978-3-030-87942-6,,english,false,,,ehrenstein_k,,,
47540,incollection,ehrenzweig_a:1964,,,1964,,Toward a Psychoanalysis of Law and Justice,Toward a Psychoanalysis of Law and Justice,,,,,,,148--165,148,,,,,,,,,,,,,,,,,,,english,false,,,ehrenzweig_a,,,2:ought
47541,incollection,ehresmann:2017,,,2017,,Applications of Categories to Biology and Cognition,Applications of Categories to Biology and Cognition,,,,,,,358--380,358,,,,,,,,,,,,,,,,,,,english,false,,,ehresmann,,,1:mathematics;2:category_theory
