id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
47584,incollection,eich_e:1989,,,1989,,Theoretical Issues in State Dependent Memory,Theoretical Issues in State Dependent Memory,,,,,,,331--354,331,,,,,,,,,,,,,,,,,,,english,false,,,eich_e,,,2:memory
47585,book,eich_s:2022,,,2022,,The Currency of Politics: The Political Theory of Money from Aristotle to Keynes,The Currency of Politics: The Political Theory of Money from Aristotle to Keynes,,,,,,,,,,,"Princeton, New Jersey",,,princeton-university-press,,,,,,,,,,,10.23943/princeton/9780691191072.001.0001,,english,false,,,eich_s,,,1:economics;2:money
47586,incollection,eichberger:1995,,,1995,,Die Architektur der Vernunft,Die Architektur der Vernunft,,,,,,,927--?,927,,,,,,,,,,,,,,,,,,,ngerman,false,,,eichberger,,,1:metaphysics;2:transcendental_idealism
47587,article,eichenberger:1996,,,1996,,"Ein politisch-{\""o}konomischer Blick auf Diskurse.~Kooperativ beim Aperitif -- mit Interessen zum Essen",Ein politisch-ökonomischer Blick auf Diskurse. Kooperativ beim Aperitif – mit Interessen zum Essen,,,,analyse-kritik,18,2,225--244,225,,,,,,,,,,,,,,,,,,,ngerman,false,,,eichenberger,,,1:pragmatics;2:discourse
47588,article,eichenberger:2001,,,2001,,Bessere Politik dank Deregulierung des politischen Prozesses,Bessere Politik dank Deregulierung des politischen Prozesses,,,,analyse-kritik,23,1,43--60,43,,,,,,,,,,,,,,,,,,,ngerman,false,,,eichenberger,,,1:political_philosophy
47589,incollection,eichengreen:2006,,,2006,,European Integration,European Integration,,,,,,,799--813,799,,,,,,,,,,,,,,,,,,,english,false,,,eichengreen,,,1:political_philosophy;2:nation_state
47590,incollection,eichenhofer_j:2020,,,2020,,Migrationsrecht und Integration -- eine Problemskizze,Migrationsrecht und Integration – eine Problemskizze,,,,,,,345--368,345,,,,,,,,,,,,,,,,,,,ngerman,false,,,eichenhofer_j,,,1:political_philosophy;2:immigration
47591,UNKNOWN,eicher_c:1996,,,1996,,La r{\'e}forme x{\'e}nophanienne de la mythologie : X{\'e}nophane et la probl{\'e}matique du discours sur le divin,La réforme xénophanienne de la mythologie : Xénophane et la problématique du discours sur le divin,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,eicher_c,,,
47592,UNKNOWN,eicher_j:2002,,,2002,,"Fonction sch{\'e}matique de la ``phantasia"" \& [et] dimension anagogique de l'""eikōn"" dans la philosophie proclienne des math{\'e}matiques : d'apr{\`e}s le ``Commentaire sur le premier livre des ``El{\'e}ments"" d'Euclide""","Fonction schématique de la “phantasia"" & [et] dimension anagogique de l'""eikōn"" dans la philosophie proclienne des mathématiques : d'après le “Commentaire sur le premier livre des “Eléments"" d'Euclide""",,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,eicher_j,,,
47593,UNKNOWN,eicher_p:1969,,,1969,,Die anthropologische Wende: Karl Rahners philosophischer Weg vom Wesen des Menschen zur personalen Existenz,Die anthropologische Wende: Karl Rahners philosophischer Weg vom Wesen des Menschen zur personalen Existenz,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Th{\`e}se de doctorat,,,,,,,,,,,,ngerman,false,,,eicher_p,,,
47594,article,eichhorn_re:2014,,,2014,,Review of \citet{zerba_m:2012},Review of Zerba (2012),,,,british-journal-for-the-history-of-philosophy,22,2,387--389,387,,,,,,,,,,,,,,,,,,,english,false,,,eichhorn_re,,,1:skepticism;2:history_of_skepticism
47595,article,eichhorn_w-krtscha:2007,,,2007,,Multivariate Lorenz Majorization and Heterogeneity Measures: An Axiomatic Approach,Multivariate Lorenz Majorization and Heterogeneity Measures: An Axiomatic Approach,,,,analyse-kritik,29,2,206--225,206,,,,,,,,,,,,,,,,,,,english,false,,,eichhorn_w;krtscha,,,1:economics
47596,article,eichinger_t:2020,,,2020,,"Die Gemeinschaft der vern{\""u}nftigen Tiere",Die Gemeinschaft der vernünftigen Tiere,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2020-03-09-eichinger,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,eichinger_t,,,
47597,incollection,eichner_h:2016,,,2016,,Handbooks in the Tradition of Later Eastern Ash'arism,Handbooks in the Tradition of Later Eastern Ash'arism,,,,,,,494--514,494,,,,,,,,,,,,,,,,,,,english,false,,,eichner_h,,,1:religion
47598,article,eichner_k:1975,,,1975,,"Die L{\""o}sung des Goodman-Paradoxons: Goodmans Fehlschluss",Die Lösung des Goodman-Paradoxons: Goodmans Fehlschluss,,,,kant-studien,66,4,500--509,500,,,,,,,,,,,,,,,,,,,ngerman,false,,,eichner_k,,,1:method;2:induction;3:grue
47599,article,eichorn:2016,,,2016,,Review of \citet{maianeto:2014},Review of Maia Neto (2014),,,,british-journal-for-the-history-of-philosophy,24,1,174--178,174,,,,,,,,,,,,,,,,,,,english,false,,,eichorn,,,1:skepticism;2:ancient_skepticism
47600,incollection,eickelman_df:2003,,,2003,,Islam and Ethical Pluralism,Islam and Ethical Pluralism,,,,,,,161--179,161,,,,,,,,,,,,,,,,,,,english,false,,,eickelman_df,,,1:ethics;2:metaethics;3:moral_relativism
47601,incollection,eickers-prinz:2021,,,2021,,Emotion Recognition as a Social Skill,Emotion Recognition as a Social Skill,,,,,,,347--362,347,,,,,,,,,,,,,,,,,,,english,false,,,eickers;prinz_jj,,,1:knowledge;2:knowing_how
47602,incollection,eickers:2022,,,2022,,"Being Trans, Being Loved: Clashing Identities and the Limits of Love","Being Trans, Being Loved: Clashing Identities and the Limits of Love",,,,,,,171--190,171,,,,,,,,,,,,,,,,,,,english,false,,,eickers,,,1:persons;2:gender;3:transsexualism
47603,article,eickers:2024,,,2024,,Scripts and Social Cognition,Scripts and Social Cognition,,,,ergo,10,54,1565--1587,1565,,,,,,,,,,,,,,,,,10.3998/ergo.5191,,english,false,,,eickers,,,
47604,incollection,eickmann_b:2010,,,2010,,"Kennzeichnungstheorien und die Rede {\""u}ber Gegenst{\""a}nde",Kennzeichnungstheorien und die Rede über Gegenstände,,,,,,,125--134,125,,,,,,,,,,,,,,,,,,,ngerman,false,,,eickmann_b,,,1:reference;2:definite_descriptions
47605,UNKNOWN,eid_l:1975,,,1975,,"Hayy Ben Yaqdhan ``Philosophus autodidactus"" : essai d'explication doctrinale","Hayy Ben Yaqdhan “Philosophus autodidactus"" : essai d'explication doctrinale",,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,eid_l,,,
47606,incollection,eid_m:2001,,,2001,,Advanced Statistical Methods for the Study of Appraisal and Emotional Reaction,Advanced Statistical Methods for the Study of Appraisal and Emotional Reaction,,,,,,,319--330,319,,,,,,,,,,,,,,,,,,,english,false,,,eid_m,,,1:feeling;2:emotions
47607,UNKNOWN,eid_ma:1960,,,1960,,La philosophie de l'histoire selon Ibn-Khaldun,La philosophie de l'histoire selon Ibn-Khaldun,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,eid_ma,,,
47608,book,eidam_h:2000,,,2000,,Dasein und Bestimmung.~Kants Grund-Problem,Dasein und Bestimmung. Kants Grund-Problem,,,,,,138,,,,kantstudien_erg_a_nzungshefte,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,,eidam_h,,,1:ontology;2:being;3:dasein
47609,book,eidelson:2015,,,2015,,Discrimination and Disrespect,Discrimination and Disrespect,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780198732877.001.0001,,english,false,,,eidelson,,,1:political_philosophy;2:discrimination
47610,book,eidinow_e-kindt:2015,,,2015,,The Oxford Handbook of Ancient Greek Religion,The Oxford Handbook of Ancient Greek Religion,The Oxford Handbook of Ancient Greek Religion,The Oxford Handbook of Ancient Greek Religion,,,,,,,,oxford_handbooks,New York,,,oxford-university-press,,,,,,,,,,,,,english,false,,,,eidinow_e;kindt_j,,1:religion
47611,incollection,eidlin_f-eidlin:2017,,,2017,,The Pitfall of Hypostatization and the Reality of Social Things,The Pitfall of Hypostatization and the Reality of Social Things,,,,,,,417--428,417,,,,,,,,,,,,,,,,,,,english,false,,,eidlin_f;eidlin_b,,,1:ontology;2:social_ontology
47612,incollection,eidlin_f:2007,,,2007,,"Call to Destiny or Call to Action: Marx, Popper, and History","Call to Destiny or Call to Action: Marx, Popper, and History",,,,,,,31--54,31,,,,,,,,,,,,,,,,,,,english,false,,,eidlin_f,,,1:history
47613,article,eifler:2016,,,2016,,Social Mechanisms in Norm-relevant Situations:Explanations for Theft by Finding in High-cost and Low-cost Situations,Social Mechanisms in Norm-relevant Situations:Explanations for Theft by Finding in High-cost and Low-cost Situations,,,,analyse-kritik,38,1,91--120,91,,,,,,,,,,,,,,,,,,,english,false,,,eifler,,,1:economics;2:property
