id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
47851,book,elamranijamal:1983,,,1983,,Logique aristot{\'e}licienne et grammaire arabe,Logique aristotélicienne et grammaire arabe,,,,,,,,,,e_tudes_musulmanes,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,elamranijamal,,,1:logic;2:history_of_logic
47852,book,elazar_m:2011,,,2011,,Honor{\'e} Fabri and the Concept of Impetus: A Bridge between Conceptual Frameworks,Honoré Fabri and the Concept of Impetus: A Bridge between Conceptual Frameworks,,,,,,288,,,,boston_studies_in_the_philosophy_of_science,Dordrecht,,,springer,,,,,,,,,,,,,english,false,,,elazar_m,,,1:science;2:history_of_science
47853,book,elazar_y-rousseliere:2019,,,2019,,Republicanism and the Future of Democracy,Republicanism and the Future of Democracy,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108630153,,english,false,,,elazar_y;rousseliare,,,1:political_philosophy
47854,incollection,elberdorozko-shagrir:2019,,,2019,,Computation and Levels in the Cognitive and Neural Sciences,Computation and Levels in the Cognitive and Neural Sciences,,,,,,,205--222,205,,,,,,,,,,,,,,,,,,,english,false,,,elberdorozko;shagrir,,,2:cognition;3:thinking
47855,book,elberfeld_r:2017,,,2017,,Philosophiegeschichtsschreibung in globaler Perspektive,Philosophiegeschichtsschreibung in globaler Perspektive,Philosophiegeschichtsschreibung in globaler Perspektive,Philosophiegeschichtsschreibung in globaler Perspektive,,,,9,,,,deutsches_jahrbuch_philosophie,Hamburg,,,felix-meiner-verlag,,,,,,,,,,,,,ngerman,false,,,,elberfeld_r,,1:history_of_philosophy;2:why_history_of_philosophy
47856,article,elbert_fj:2022,,,2022,,God and the Problem of Blameless Moral Ignorance,God and the Problem of Blameless Moral Ignorance,,,,ergo,8,32,246--263,246,,,,,,,,,,,,,,,,,10.3998/ergo.2233,,english,false,,,elbert_fj,,,1:religion;2:problem_of_evil;3:theodicy
47857,book,elbez-clavien:2007,,,2007,,Morale et {\'e}volution biologique,Morale et évolution biologique,Morale et {\'e}volution biologique,Morale et évolution biologique,,,,,,,,,Lausanne,,,presses-polytechniques-et-universitaires-romandes,,,,,,,,,,,,,french,false,,,,elbez;clavien,,1:biology;2:evolution
47858,incollection,elbizri:2004,,,2004,,``Ontopoiesis'' and the Interpretation of Plato's ``Kh{\^o}ra'',“Ontopoiesis” and the Interpretation of Plato's “Khôra”,,,,,,,25--46,25,,,,,,,,,,,,,,,,,,,english,false,,,elbizri,,,1:space_spacetime;2:nature_of_spacetime;3:chora
47859,incollection,elbizri:2008,,,2008,,God: Essence and Attributes,God: Essence and Attributes,,,,,,,121--140,121,,,,,,,,,,,,,,,,,,,english,false,,,elbizri,,,1:religion;2:divine_attributes
47860,incollection,elbizri:2019,,,2019,,Death,Death,,,,,,,67--71,67,,,,,,,,,,,,,,,,,,,english,false,,,elbizri,,,1:time;2:death
47861,incollection,elbizri:2020,,,2020,,Relativism in the Islamic Traditions,Relativism in the Islamic Traditions,,,,,,,20--28,20,,,,,,,,,,,,,,,,,,,english,false,,,elbizri,,,1:metaphysics;2:relativism
47862,incollection,elbl:2016,,,2016,,A Cut-Free Sequent Calculus for the Logic of Subset Spaces,A Cut-Free Sequent Calculus for the Logic of Subset Spaces,,,,,,,268--287,268,,,,,,,,,,,,,,,,,,,english,false,,,elbl,,,1:space_spacetime;2:logic_of_space
47863,book,elbourne:2005,,,2005,,Situations and Individuals,Situations and Individuals,,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,english,false,,,elbourne,,,1:logic;2:situation_theory
47864,incollection,elbourne:2008,,,2008,,The Argument from Binding,The Argument from Binding,,,,,,,89--110,89,,,,,,,,,,,,,,,,,,,english,false,,,elbourne,,,1:language
47865,article,elbourne:2008a,,,2008,,Demonstratives as Individual Concepts,Demonstratives as Individual Concepts,,,,linguistics-and-philosophy,31,4,409--466,409,,,,,,,,,,,,,,,,,,,english,false,,,elbourne,,,1:reference;2:demonstratives
47866,article,elbourne:2010,,,2010,,Why Propositions Might be Sets of Truth-supporting Circumstances,Why Propositions Might be Sets of Truth-supporting Circumstances,,,,journal-of-philosophical-logic,39,1,101--111,101,,,,,,,,,,,,,,,,,,,english,false,,,elbourne,,,1:representation;2:objects_of_propositional_attitudes;3:propositions
47867,article,elbourne:2010a,,,2010,,On Bishop Sentences,On Bishop Sentences,,,,natural-language-semantics,18,1,65--78,65,,,,,,,,,,,,,,,,,,,english,false,,,elbourne,,,1:reference;2:anaphora;3:donkey_anaphora
47868,article,elbourne:2010b,,,2010,,The Existence Entailments of Definite Descriptions,The Existence Entailments of Definite Descriptions,,,,linguistics-and-philosophy,33,1,1--10,1,,,,,,,,,,,,,,,,,,,english,false,,,elbourne,,,1:reference;2:definite_descriptions
47869,book,elbourne:2011,,,2011,,Meaning: A Slim Guide to Semantics,Meaning: A Slim Guide to Semantics,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,elbourne,,,1:representation;2:meaning
47870,book,elbourne:2013,,,2013,,Definite Descriptions,Definite Descriptions,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,elbourne,,,1:reference;2:definite_descriptions
47871,incollection,elby:1994,,,1994,,The `Decoherence' Approach to the Measurement Problem in Quantum Mechanics,The ‘Decoherence' Approach to the Measurement Problem in Quantum Mechanics,,,,,,,355--365,355,,,,,,,,,,,,,,,,,,,english,false,,,elby,,,1:quantum_mechanics
47872,incollection,elby:1998,,,1998,,Interpreting the Existential Interpretation,Interpreting the Existential Interpretation,,,,,,,87--94,87,,,,,,,,,,,,,,,,,,,english,false,,,elby,,,1:quantum_mechanics
47873,book,elcock-michie:1977,,,1977,,Machine Intelligence 8,Machine Intelligence 8,Machine Intelligence 8,Machine Intelligence 8,,,,,,,,,"Chichester, West Sussex",,,ellis-horwood-ltd,,,,,,,,,,,,,english,false,,,,elcock;michie_d,,1:ai;2:machine_learning
47874,incollection,elcock:1987,,,1987,,First Order Logic and Knowledge Representation: Some Problems of Incomplete Systems,First Order Logic and Knowledge Representation: Some Problems of Incomplete Systems,,,,,,,161--173,161,,,,,,,,,,,,,,,,,,,english,false,,,elcock,,,1:information;2:knowledge_representation
47875,book,elden_s:2005,,,2005,,"Speaking Against Number: Heidegger, Language and the Politics of Calculation","Speaking Against Number: Heidegger, Language and the Politics of Calculation",,,,,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,10.3366/edinburgh/9780748619818.001.0001,,english,false,,,elden_s,,,
47876,book,elden_s:2019,,,2019,,Canguilhem,Canguilhem,,,,,,,,,,,"Hoboken, New Jersey",,,wiley-blackwell,,,,,,,,,,,,,english,false,,,elden_s,,,
47877,article,elder_c:1980,,,1980,,Kant and the Unity of Experience,Kant and the Unity of Experience,,,,kant-studien,71,3,299--307,299,,,,,,,,,,,,,,,,,,,english,false,,,elder_c,,,1:perception;2:experience
47878,incollection,elder_c:1985,,,1985,,J.N.~Findlay: Ethics and Objectivity,J.N. Findlay: Ethics and Objectivity,,,,,,,159--191,159,,,,,,,,,,,,,,,,,,,english,false,,,elder_c,,,1:ethics
