id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
48563,incollection,enaudeau:2013,,,2013,,Politics in-between Nihilism and History,Politics in-between Nihilism and History,,,,,,,,,429--444,429,,,,,,,,,,,,,,,,,,,english,false,,,enaudeau,,,1:structuralism;2:post_structuralism
48564,incollection,enayat-visser:2015,,,2015,,New Constructions of Satisfaction Classes,New Constructions of Satisfaction Classes,,,,,,,,,321--337,321,,,,,,,,,,,,,,,,,,,english,false,,,enayat;visser_a,,,1:truth
48565,incollection,enayat:1999,,,1999,,Analogues of the MacDowell-Specker Theorem for Set Theory,Analogues of the MacDowell-Specker Theorem for Set Theory,,,,,,,,,25--50,25,,,,,,,,,,,,,,,,,,,english,false,,,enayat,,,1:mathematics;2:set_theory
48566,article,enc_b:1982,,,1982,,Intentional States of Mechanical Devices,Intentional States of Mechanical Devices,,,,mind,91,91,362,362,161--183,161,,,,,,,,,,,,,,,,,10.1093/mind/xci.362.161,,english,false,,,enc_b,,,
48567,article,enc_b:1983,,,1983,,In Defense of the Identity Theory,In Defense of the Identity Theory,,,,the-journal-of-philosophy,80,80,,,279--298,279,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,1:mind_body;2:physicalism
48568,article,enc_b:1985,,,1985,,Hume on Causal Necessity: A Study from the Perspective of Hume's Theory of Passions,Hume on Causal Necessity: A Study from the Perspective of Hume's Theory of Passions,,,,history-of-philosophy-quarterly,2,2,3,3,235--256,235,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,1:causation;2:regularity_theories_of_causation
48569,incollection,enc_b:1986,,,1986,,"Essentialism without Individual Essences: Causation, Kinds, Supervenience, and Restricted Identities","Essentialism without Individual Essences: Causation, Kinds, Supervenience, and Restricted Identities",,,,,,,,,403--426,403,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,2:essence
48570,article,enc_b:1990,,,1990,,Is Realism Really the Best Hypothesis?,Is Realism Really the Best Hypothesis?,,,,the-journal-of-philosophy,87,87,,,667--668,667,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,1:science;2:scientific_realism
48571,incollection,enc_b:1995,,,1995,,Nonreducible Supervenient Causation,Nonreducible Supervenient Causation,,,,,,,,,169--186,169,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,1:causation
48572,article,enc_b:1996,,,1996,,Hume's Unreasonable Desires,Hume's Unreasonable Desires,,,,history-of-philosophy-quarterly,13,13,2,2,239--254,239,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,2:desire
48573,incollection,enc_b:2002,,,2002,,Indeterminacy of Function Attributions,Indeterminacy of Function Attributions,,,,,,,,,291--313,291,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,1:properties;2:functions
48574,book,enc_b:2003,,,2003,,"How We Act: Causes, Reasons, and Intentions","How We Act: Causes, Reasons, and Intentions",,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/0199256020.001.0001,,english,false,,,enc_b,,,1:action
48575,incollection,enc_b:2005,,,2005,,How Causes can Rationalize: Belief-Desire Explanations of Action,How Causes can Rationalize: Belief-Desire Explanations of Action,,,,,,,,,231--250,231,,,,,,,,,,,,,,,,,,,english,false,,,enc_b,,,1:action;2:reasons_for_action;3:causalism_about_action
48576,article,enc_m:1986,,,1986,,Towards a Referential Analysis of Temporal Expressions,Towards a Referential Analysis of Temporal Expressions,,,,linguistics-and-philosophy,9,9,4,4,405--426,405,,,,,,,,,,,,,,,,,,,english,false,,,enc_m,,,1:time;2:tense_aspect
48577,incollection,enc_m:1988,,,1988,,The Syntax-Semantics Interface,The Syntax-Semantics Interface,,,,,,,,,239--254,239,,,,,,,,,,,,,,,,,,,english,false,,,enc_m,,,1:linguistics;2:syntax;3:syntax_vs_semantics
48578,incollection,enc_m:1996,,,1996,,Tense and Modality,Tense and Modality,,,,,,,,,345--358,345,,,,,,,,,,,,,,,,,,,english,false,,,enc_m,,,1:time;2:tense_aspect
48579,incollection,enc_m:2004,,,2004,,Rethinking Past Tense,Rethinking Past Tense,,,,,,,,,203--216,203,,,,,,,,,,,,,,,,,,,english,false,,,enc_m,,,1:time;2:tense_aspect
48580,incollection,endean_p:2005,,,2005,,Has Rahnerian Theology a Future?,Has Rahnerian Theology a Future?,,,,,,,,,281--296,281,,,,,,,,,,,,,,,,,,,english,false,,,endean_p,,,1:religion;2:theology
48581,incollection,endean_p:2008,,,2008,,The Spiritual Exercises,The Spiritual Exercises,,,,,,,,,52--70,52,,,,,,,,,,,,,,,,,,,english,false,,,endean_p,,,1:religion
48582,UNKNOWN,ender_uc:1989,,,1989,,Der Dichter Platon und die Folgen: Formen und Funktionen des philosophischen Dialogs in der Neuzeit,Der Dichter Platon und die Folgen: Formen und Funktionen des philosophischen Dialogs in der Neuzeit,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,german,false,,,ender_uc,,,
48583,incollection,enderle_g:1998,,,1998,,Business Ethics as a Goal-Rights-System,Business Ethics as a Goal-Rights-System,,,,,,,,,151--166,151,,,,,,,,,,,,,,,,,,,english,false,,,enderle_g,,,1:ethics;2:business_ethics
48584,incollection,enderle_g:2003,,,2003,,Business Ethics,Business Ethics,,,,,,,,,531--551,531,,,,,,,,,,,,,,,,,,,english,false,,,enderle_g,,,1:ethics;2:business_ethics
48585,article,enderlein:1985,,,1985,,"Die Begr{\""u}ndung der Strafe bei Kant",Die Begründung der Strafe bei Kant,,,,kant-studien,76,76,3,3,303--327,303,,,,,,,,,,,,,,,,,,,german,false,,,enderlein,,,1:law;3:punishment
48586,book,enders_ch-etal:2018,,,2018,,Europa nach Napol{\'e}on,Europa nach Napoléon,Europa nach Napol{\'e}on,Europa nach Napoléon,,,,,14,14,,,,fundamenta_iuris,Paderborn,,,mentis-verlag,,,,,,,,,,,,,german,false,,,,enders_ch;kahlo_m;mosbacher_a,,1:history_of_philosophy
48587,book,enders_ch-kahlo:2005,,,2005,,"Fundamenta Iuris.~Vortr{\""a}ge zur Feierlichen Er{\""o}ffnung des Leipziger Instituts f{\""u}r Grundlagen des Rechts",Fundamenta Iuris. Vorträge zur Feierlichen Eröffnung des Leipziger Instituts für Grundlagen des Rechts,"Fundamenta Iuris.~Vortr{\""a}ge zur Feierlichen Er{\""o}ffnung des Leipziger Instituts f{\""u}r Grundlagen des Rechts",Fundamenta Iuris. Vorträge zur Feierlichen Eröffnung des Leipziger Instituts für Grundlagen des Rechts,,,,,1,1,,,,fundamenta_iuris,Paderborn,,,mentis-verlag,,,,,,,,,,,,,german,false,,,,enders_ch;kahlo_m,,1:political_philosophy;2:political_tolerance
48588,book,enders_ch-kahlo:2007,,,2007,,"Toleranz als Ordnungsprinzip? Die moderne B{\""u}rgergesellschaft zwischen Offenheit und Selbstaufgabe",Toleranz als Ordnungsprinzip? Die moderne Bürgergesellschaft zwischen Offenheit und Selbstaufgabe,"Toleranz als Ordnungsprinzip? Die moderne B{\""u}rgergesellschaft zwischen Offenheit und Selbstaufgabe",Toleranz als Ordnungsprinzip? Die moderne Bürgergesellschaft zwischen Offenheit und Selbstaufgabe,,,,,6,6,,,,fundamenta_iuris,Paderborn,,,mentis-verlag,,,,,,,,,,,,,german,false,,,,enders_ch;kahlo_m,,1:political_philosophy;2:political_tolerance
48589,book,enders_ch-kahlo:2010,,,2010,,"Diversit{\""a}t und Toleranz.~Toleranz als Ordnungsprinzip?",Diversität und Toleranz. Toleranz als Ordnungsprinzip?,"Diversit{\""a}t und Toleranz.~Toleranz als Ordnungsprinzip?",Diversität und Toleranz. Toleranz als Ordnungsprinzip?,,,,,9,9,,,,fundamenta_iuris,Paderborn,,,mentis-verlag,,,,,,,,,,,,,german,false,,,,enders_ch;kahlo_m,,1:political_philosophy;2:political_tolerance
48590,article,enders_hw:1994,,,1994,,"Individuation und Pr{\""a}dikation",Individuation und Prädikation,,,,acta-analytica,9,9,13,13,,,,,,,,,,,,,,,,,,,,,german,false,,,enders_hw,,,1:exemplification;2:predication
48591,article,enders_hw:1994a,,,1994,,Epistemische Notationen.~Resultate einer Antinomientheorie?,Epistemische Notationen. Resultate einer Antinomientheorie?,,,,grazer-philosophische-studien,48,48,,,123--164,123,,,,,,,,,,,,,,,,,,,german,false,,,enders_hw,,,1:epistemology;2:epistemic_logic
48592,incollection,enders_m:1997,,,1997,,Zur Begriffsgeschichte der Allgegenwart und Unendlichkeit Gottes im hochmittelalterlichen Denken,Zur Begriffsgeschichte der Allgegenwart und Unendlichkeit Gottes im hochmittelalterlichen Denken,,,,,,,,,335--347,335,,,,,,,,,,,,,,,,,,,german,false,,,enders_m,,,1:religion;2:divine_attributes;3:divine_omnipresence
48593,book,enders_m:1998,,,1998,,Wahrheit und Notwendigkeit,Wahrheit und Notwendigkeit,,,,,,,64,64,,,,studien_und_texte_zur_geistesgeschichte_des_mittelalters,Leiden,,,ej-brill,,,,,,,,,,,,,german,false,,,enders_m,,,1:modality
48594,article,enders_m:1998a,,,1998,,Augustins Theorie der Ewigkeit und der Zeit in \emph{Confessiones} XI im Spiegel neuerer Monographien,Augustins Theorie der Ewigkeit und der Zeit in Confessiones XI im Spiegel neuerer Monographien,,,,allgemeine-zeitschrift-fur-philosophie,23,23,,,181,181,,,,,,,,,,,,,,,,,,,german,false,,,enders_m,,,1:time;2:ontology_of_time
48595,incollection,enders_m:1998b,,,1998,,"Zum Philosophie-Verst{\""a}ndnis des Boethius ausserhalb der ``Consolatio philosophiae''",Zum Philosophie-Verständnis des Boethius ausserhalb der “Consolatio philosophiae”,,,,,,,,,444--451,444,,,,,,,,,,,,,,,,,,,german,false,,,enders_m,,,1:metaphilosophy
