id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
49161,incollection,epel_e-etal:2016,,,2016,,"Eat, Drink, and Be Sedentary: A Review of Health Behaviors' Effects on Emotions and Affective States, and Implications for Interventions","Eat, Drink, and Be Sedentary: A Review of Health Behaviors' Effects on Emotions and Affective States, and Implications for Interventions",,,,,,,,,685--706,685,,,,,,,,,,,,,,,,,,,english,false,,,epel_e;prather_aa;puterman_e;tomiyama_aj,,,1:feeling
49162,incollection,ephrati-etal:1995,,,1995,,Deriving Multi-Agent Coordination Through Filtering Strategies,Deriving Multi-Agent Coordination Through Filtering Strategies,,,,,,,,,679--685,679,,,,,,,,,,,,,,,,,,,english,false,,,ephrati;pollack_me;ur_s,,,1:computation;2:distributed_systems
49163,article,ephrati-rosenschein:1996,,,1996,,Deriving Consensus in Multiagent Systems,Deriving Consensus in Multiagent Systems,,,,artificial-intelligence,87,87,1/2,1,21--74,21,,,,,,,,,,,,,,,,,,,english,false,,,ephrati;rosenschein_js,,,1:computation;2:distributed_systems
49164,book,epicurus:1991,,,1991,,"Von der {\""U}berwindung der Furcht",Von der Überwindung der Furcht,,,,,,,,,,,,,"M{\""u}nchen",,,artemis-verlag,,,"{\""U}bersetzung von Olof Gigon",Übersetzung von Olof Gigon,,,,,,,,,english,false,,,epicurus,,,1:history_of_philosophy
49165,incollection,epp_v:1994,,,1994,,\emph{Ars} und \emph{scientia} in der Geschichtsschreibung des 12.~Jahrhunderts,Ars und scientia in der Geschichtsschreibung des 12. Jahrhunderts,,,,,,,,,829--845,829,,,,,,,,,,,,,,,,,,,ngerman,false,,,epp_v,,,1:history
49166,incollection,epp_v:1997,,,1997,,"Zur Kategorie des Raumes in fr{\""u}hmittelalterlichen Rechtstexten",Zur Kategorie des Raumes in frühmittelalterlichen Rechtstexten,,,,,,,,,575--590,575,,,,,,,,,,,,,,,,,,,ngerman,false,,,epp_v,,,1:space_spacetime;2:place
49167,book,epperson_m-zafiris:2013,,,2013,,Foundations of Relational Realism: A Topological Approach to Quantum Mechanics and the Philosophy of Nature,Foundations of Relational Realism: A Topological Approach to Quantum Mechanics and the Philosophy of Nature,,,,,,,2,2,,,,contemporary_whitehead_studies,"Lanham, Maryland",,,lexington-books,,,,,,,,,,,,,english,false,,,epperson_m;zafiris_e,,,1:quantum_mechanics
49168,book,epperson_m:2004,,,2004,,Quantum Mechanics and the Philosophy of Alfred North Whitehead,Quantum Mechanics and the Philosophy of Alfred North Whitehead,,,,,,,,,,,,,New York,,,fordham-university-press,,,,,,,,,,,10.5422/fso/9780823223190.001.0001,,english,false,,,epperson_m,,,1:quantum_mechanics
49169,incollection,epple_j:2018,,,2018,,Kants Skizze einer geistreichen Kunst und die Inversion des Erhabenen,Kants Skizze einer geistreichen Kunst und die Inversion des Erhabenen,,,,,,,,,2987--2996,2987,,,,,,,,,,,,,,,,,,,ngerman,false,,,epple_j,,,1:aesthetics;2:aesthetic_experience;3:the_sublime
49170,incollection,epple_m:1997,,,1997,,Syle of Argumentation in Late 19th Century,Syle of Argumentation in Late 19th Century,,,,,,,,,177--199,177,,,,,,,,,,,,,,,,,,,english,false,,,epple_m,,,1:method;2:analytic_synthetic_method
49171,article,epple_r:2025,,,2025,,Faszination Wildnis: Natur oder Narrativ?,Faszination Wildnis: Natur oder Narrativ?,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2025-08-27-epple,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,epple_r,,,
49172,incollection,eppley_d:2008,,,2008,,Royal Supremacy,Royal Supremacy,,,,,,,,,503--534,503,,,,,,,,,,,,,,,,,,,english,false,,,eppley_d,,,
49173,article,eppley_k-hannah:1977,,,1977,,The Necessity of Quantizing the Gravitational Field,The Necessity of Quantizing the Gravitational Field,,,,foundations-of-physics,7,7,,,51--68,51,,,,,,,,,,,,,,,,,,,english,false,,,eppley_k;hannah_e,,,1:quantum_mechanics;2:quantum_gravity
49174,article,epsen:2010,,,2010,,"Eternity is a Present, Time is Its Unwrapping","Eternity is a Present, Time is Its Unwrapping",,,,the-heythrop-journal,51,51,,,417--429,417,,,,,,,,,,,,,,,,,,,english,false,,,epsen,,,1:time;2:eternity
49175,article,epsen:2016,,,2016,,Why God Had to Have an Immaculate Mother,Why God Had to Have an Immaculate Mother,,,,new-blackfriars,97,97,1071,1071,560--574,560,,,,,,,,,,,,,,,,,,,english,false,,,epsen,,,1:religion;2:saints;3:immaculate_conception
49176,article,epstein_b-forber:2013,,,2013,,The Perils of Tweaking: How to Use Macrodata to Set Parameters in Complex Simulation Models,The Perils of Tweaking: How to Use Macrodata to Set Parameters in Complex Simulation Models,,,,synthese,190,190,2,2,203--218,203,,,,,,,,,,,,,,,,,,,english,false,,,epstein_b;forber,,,1:explanation
49177,article,epstein_b:2008,,,2008,,The Realpolitik of Reference,The Realpolitik of Reference,,,,pacific-philosophical-quarterly,89,89,,,1--20,1,,,,,,,,,,,,,,,,,,,english,false,,,epstein_b,,,1:reference
