id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
49412,article,esakia-meshki:1977,,,1977,,Five Critical Modal Systems,Five Critical Modal Systems,,,,theoria,43,1,52--60,52,,,,,,,,,,,,,,,,,,,english,false,,,esakia;meshki,,,1:logic;2:modal_logic
49413,incollection,esanu:2015,,,2015,,Issues in Modeling Open-Ended Evolution,Issues in Modeling Open-Ended Evolution,,,,,,,87--104,87,,,,,,,,,,,,,,,,,,,english,false,,,esanu,,,1:biology;2:evolution
49414,article,esau:2018,,,2018,,Capturing Citizens' Values: On the Role of Narratives and Emotions in Digital Participation,Capturing Citizens' Values: On the Role of Narratives and Emotions in Digital Participation,,,,analyse-kritik,40,1,55--72,55,,,,,,,,,,,,,,,,,,,english,false,,,esau,,,1:feeling;2:emotions
49415,incollection,esbjoernhargens-wilber:2006,,,2006,,Toward a Comprehensive Integration of Science and Religion: A Post-Metaphysical Approach,Toward a Comprehensive Integration of Science and Religion: A Post-Metaphysical Approach,,,,,,,523--546,523,,,,,,,,,,,,,,,,,,,english,false,,,esbjoernhargens;wilber,,,1:religion;2:science_and_religion
49416,book,escajedosanepifanio-rebatoochoa:2022,,,2022,,Ethics of Charitable Food: Dilemmas for Policy and Practice,Ethics of Charitable Food: Dilemmas for Policy and Practice,Ethics of Charitable Food: Dilemmas for Policy and Practice,Ethics of Charitable Food: Dilemmas for Policy and Practice,,,,,,,,,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-030-93600-6,,english,false,,,,escajedosanepifanio;rebatoochoa,,
49417,article,escaladaimaz-ghallab:1988,,,1988,,A Practically Efficient and Almost Linear Unification Algorithm,A Practically Efficient and Almost Linear Unification Algorithm,,,,artificial-intelligence,36,2,249--263,249,,,,,,,,,,,,,,,,,,,english,false,,,escaladaimaz;ghallab,,,1:linguistics;2:linguistics_as_a_science;3:unification_in_linguistics
49418,article,escat:1967,,,1967,,Sur quelques aspects philosophiques du concret en physique,Sur quelques aspects philosophiques du concret en physique,,,,les-etudes-philosophiques,22,1,3--16,3,,,,,,,,,,,,,,,,,,,french,false,,,escat,,,1:ontology;2:matter
49419,book,eschbach-trabant:1983,,,1983,,History of Semiotics,History of Semiotics,History of Semiotics,History of Semiotics,,,,7,,,,foundations_of_semiotics,Amsterdam,,,john-benjamins-publishing-co,,,,,,,,,,,,,english,false,,,,eschbach;trabant,,1:language
49420,incollection,eschbach:1983,,,1983,,Prolegomena of a Possible Historiography of Semiotics.~The Development of a Semiotical Fact,Prolegomena of a Possible Historiography of Semiotics. The Development of a Semiotical Fact,,,,,,,25--39,25,,,,,,,,,,,,,,,,,,,english,false,,,eschbach,,,1:representation
49421,article,eschebach_e:2018,,,2018,,Gedanken zur ostpreussischen Heimat,Gedanken zur ostpreussischen Heimat,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2018-02-11-eschebach,ngerman,false,,,eschebach_e,,,
49422,incollection,eschenbach-heydrich:1993,,,1993,,Classical Mereology and Restricted Domains,Classical Mereology and Restricted Domains,,,,,,,205--217,205,,,,,,,,,,,,,,,,,,,english,false,,,eschenbach;heydrich,,,1:complexity;2:mereology
49423,article,eschenbach:1993,,,1993,,Semantics of Number,Semantics of Number,,,,journal-of-semantics,10,1,1--31,1,,,,,,,,,,,,,,,,,,,english,false,,,eschenbach,,,1:semantics;2:plurals
49424,incollection,eschenbach:1995,,,1995,,An Algebraic Approach to Granularity in Qualitative Space and Time Representation,An Algebraic Approach to Granularity in Qualitative Space and Time Representation,,,,,,,894--900,894,,,,,,,,,,,,,,,,,,,english,false,,,eschenbach,,,1:logic;2:algebraic_logic
49425,incollection,escher_e:2008,,,2008,,The Image in the History of Thought,The Image in the History of Thought,,,,,,,253--264,253,,,,,,,,,,,,,,,,,,,english,false,,,escher_e,,,
49426,incollection,escherdistefano:1991,,,1991,,Is there a Dichotomy in Husserl's Thought?,Is there a Dichotomy in Husserl's Thought?,,,,,,,399--407,399,,,,,,,,,,,,,,,,,,,english,false,,,escherdistefano,,,1:history_of_philosophy
49427,incollection,eschle:2011,,,2011,,(Anti-)Globalization and Resistance Identities,(Anti-)Globalization and Resistance Identities,,,,,,,364--379,364,,,,,,,,,,,,,,,,,,,english,false,,,eschle,,,1:persons;2:self;3:narrative_self
49428,article,eschler_e:1969,,,1969,,Aristoteles und die Abstammungslehre,Aristoteles und die Abstammungslehre,,,,deutsche-zeitschrift-fur-philosophie,17,8,1003--1005,1003,,,,,,,,,,,,,,,,,,,ngerman,false,,,eschler_e,,,1:biology;2:evolution
49429,incollection,eschraghi:2008,,,2008,,``I was a Hidden Treasure''.~Some Notes on a Commentary Ascribed to Mull{\={a}} Sadr{\={a}} Sh{\={i}}r{\={a}}z{\={i}}: Sharh had{\={i}}th: ``Kuntu kanzan makhfiyyan...'',“I was a Hidden Treasure”. Some Notes on a Commentary Ascribed to Mullā Sadrā Shīrāzī: Sharh hadīth: “Kuntu kanzan makhfiyyan...”,,,,,,,91--100,91,,,,,,,,,,,,,,,,,,,english,false,,,eschraghi,,,
49430,article,escobar:2012,,,2012,,Autopoiesis and Darwinism,Autopoiesis and Darwinism,,,,synthese,185,1,53--72,53,,,,,,,,,,,,,,,,,,,english,false,,,escobar,,,1:biology;2:life;3:ontopoiesis
49431,incollection,escoubas:1993,,,1993,,Kant or the Simplicity of the Sublime,Kant or the Simplicity of the Sublime,,,,,,,55--70,55,,,,,,,,,,,,,,,,,,,english,true,,,escoubas,,,1:aesthetics;2:aesthetic_experience;3:the_sublime
49432,book,escoubas:2004,,,2004,,L'esth{\'e}tique,L'esthétique,,,,,,,,,,philo,Paris,,,ellipses,,,,,,,,,,,,,french,false,,,escoubas,,,1:aesthetics
49433,article,escriba:1989,,,1989,,A Modal Embedding for Partial Information Semantics,A Modal Embedding for Partial Information Semantics,,,,logique-et-analyse,32,125/126,131--137,131,,,,,,,,,,,,,,,,,,,english,false,,,escriba,,,1:information;2:logic_of_information
49434,article,escriba:1989a,,,1989,,A Representation of Intuitionistic Logic in Partial Information Language,A Representation of Intuitionistic Logic in Partial Information Language,,,,logique-et-analyse,32,127/128,211--214,211,,,,,,,,,,,,,,,,,,,english,false,,,escriba,,,1:logic;2:intuitionistic_logic
49435,article,escriba:1991,,,1991,,A Multidimensional Modal Translation for a Formal System Motivated by Situation Semantics,A Multidimensional Modal Translation for a Formal System Motivated by Situation Semantics,,,,notre-dame-journal-of-formal-logic,32,,598--608,598,,,,,,,,,,,,,,,,,,,english,false,,,escriba,,,1:logic
49436,incollection,escudero_g-etal:2000,,,2000,,A Comparison between Supervised Learning Algorithms for Word Sense Disambiguation,A Comparison between Supervised Learning Algorithms for Word Sense Disambiguation,,,,,,,31--36,31,,,,,,,,,,,,,,,,,,,english,false,,,escudero_g;marquez_l;rigau,,,1:ai;2:machine_learning;3:machine_language_learning
49437,incollection,escudero_ja:2005,,,2005,,"Hermeneutische versus reflexive Ph{\""a}nomenologie",Hermeneutische versus reflexive Phänomenologie,,,,,,,157--174,157,,,,,,,,,,,,,,,,,,,ngerman,false,,,escudero_ja,,,
49438,incollection,escuderochauvel:2017,,,2017,,"Cultural Studies, Ideology, and Media Texts","Cultural Studies, Ideology, and Media Texts",,,,,,,657--677,657,,,,,,,,,,,,,,,,,,,english,false,,,escuderochauvel,,,1:aesthetics
49439,book,esfeld-deckert:2018,,,2018,,A Minimalist Ontology of the Natural World,A Minimalist Ontology of the Natural World,,,,,,,,,,routledge_studies_in_the_philosophy_of_mathematics_and_physics,New York,,,routledge,,,,,,,,,,,10.4324/9781315142272,,english,false,,,esfeld;deckert_da,,,1:ontology;2:particulars
