id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
49706,article,eva_b-etal:2022,,,2022,,Four Approaches to Supposition,Four Approaches to Supposition,,,,ergo,8,26,58--98,,,,,,,,,,,,,,,,,10.3998/ergo.2227,,,false,,eva_b;shear_t;fitelson,,,1:rationality;2:supposition
49707,article,eva_b-hartmann:2018,,,2018,,When No Reason for is a Reason Against,When No Reason for is a Reason Against,,,,analysis,78,3,426--431,,,,,,,,,,,,,,,,,,,,false,,eva_b;hartmann_s,,,1:action;2:reasons_for_action
49708,article,eva_b-hartmann:2020,,,2020,,On the Origins of Old Evidence,On the Origins of Old Evidence,,,,australasian-journal-of-philosophy,98,3,481--494,,,,,,,,,,,,,,,,,,,,false,,eva_b;hartmann_s,,,1:epistemology;2:justification
49709,article,eva_b:2018,,,2018,,Emerging (In)Determinacy,Emerging (In)Determinacy,,,,thought,7,1,31--39,,,,,,,,,,,,,,,,,,,,false,,eva_b,,,1:vagueness;2:vagueness_and_indeterminacy
49710,article,eva_l:2001,,,2001,,Sobre o argumento cartesiano do sonho e o ceticismo moderno,Sobre o argumento cartesiano do sonho e o ceticismo moderno,,,,revista-latinoamericana-de-filosofia,27,2,199--225,,,,,,,,,Also published as \citet{eva_l:2002},Also published as Eva (2002),,,,,,,,,portuguese,false,,eva_l,,,1:skepticism;2:dream_argument
49711,article,eva_l:2002,,,2002,,Sobre o argumento cartesiano do sonho e o ceticismo moderno,Sobre o argumento cartesiano do sonho e o ceticismo moderno,,,,cadernos-de-historia-e-filosofia-da-ciencia,12,1/2,285--313,,,,,,,,,Also published as \citet{eva_l:2001},Also published as Eva (2001),,,,,,,,,portuguese,false,,eva_l,,,1:skepticism;2:dream_argument
49712,incollection,eva_l:2009,,,2009,,Montaigne's Radical Skepticism,Montaigne's Radical Skepticism,,,,,,,83--106,,,,,,,,,,,,,,,,,,,,false,,eva_l,,,1:skepticism
49713,article,evangeliou:1985,,,1985,,Aristotle's Doctrine of Predicables and Porphyry's Isagoge,Aristotle's Doctrine of Predicables and Porphyry's Isagoge,,,,journal-of-the-history-of-philosophy,23,1,15--34,,,,,,,,,,,,,,,,,,,,false,,evangeliou,,,1:exemplification;2:predication
49714,book,evangeliou:1988,,,1988,,Aristotle's \emph{Categories} and Porphyry,Aristotle's Categories and Porphyry,,,,,,48,,,philosophia_antiqua,Leiden,,,ej-brill,,1,Second edition: \citet{evangeliou:1996},Second edition: Evangeliou (1996),,,,,,,,,,false,,evangeliou,,,1:exemplification;2:particular_universal
49715,incollection,evangeliou:1991,,,1991,,Socratic Intellectualism and Aristotelian Criticism,Socratic Intellectualism and Aristotelian Criticism,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,evangeliou,,,1:ethics;2:metaethics;3:ethical_intellectualism
