id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
49970,article,ey:1951,,,1951,,L'{\'e}volution de la m{\'e}decine et la philosophie,L'évolution de la médecine et la philosophie,,,,dialectica,5,17,59--83,59,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1951.tb01039.x,,french,false,,,ey,,,1:medicine
49971,incollection,ey:1978,,,1978,,The Subject of Action -- Phenomenology and Psychotherapy,The Subject of Action – Phenomenology and Psychotherapy,,,,,,,99--106,99,,,,,,,,,,,,,,,,,,,english,false,,,ey,,,1:action;2:agency
49972,book,eyal_n-etal:2013,,,2013,,"Inequalities in Health: Concepts, Measures, and Ethics","Inequalities in Health: Concepts, Measures, and Ethics","Inequalities in Health: Concepts, Measures, and Ethics","Inequalities in Health: Concepts, Measures, and Ethics",,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199931392.001.0001,,english,false,,,,eyal_n;hurstmajno;norheim_of;wikler,,
49973,book,eyal_n-etal:2020,,,2020,,Measuring the Global Burden of Disease: Philosophical Dimensions,Measuring the Global Burden of Disease: Philosophical Dimensions,Measuring the Global Burden of Disease: Philosophical Dimensions,Measuring the Global Burden of Disease: Philosophical Dimensions,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,,eyal_n;hurstmajno;murray_cj;schroeder_sa;wikler,,1:medicine;2:medical_ethics
49974,incollection,eyal_n-hurst:2015,,,2015,,Do Health Workers Have a Duty to Work in Underserved Areas?,Do Health Workers Have a Duty to Work in Underserved Areas?,,,,,,,114--132,114,,,,,,,,,Published under the name ``Samia A. Hurst'',Published under the name “Samia A. Hurst”,,,,,,,,,english,false,,,eyal_n;hurstmajno,,,1:ethics;2:medical_ethics
49975,incollection,eyal_n:2017,,,2017,,"Luck Egalitarianism, Harshness, and the Rule of Rescue","Luck Egalitarianism, Harshness, and the Rule of Rescue",,,,,,,160--173,160,,,,,,,,,,,,,,,,,,,english,false,,,eyal_n,,,1:political_philosophy;2:justice;3:luck_egalitarianism
49976,incollection,eyal_n:2018,,,2018,,Informed Consent,Informed Consent,,,,,,,272--284,272,,,,,,,,,,,,,,,,,,,english,false,,,eyal_n,,,1:political_philosophy;2:authority;3:consent
49977,article,eyers:2014,,,2014,,Paul de Man's Philosophical Poetics,Paul de Man's Philosophical Poetics,,,,philosophy-compass,9,1,1--10,1,,,,,,,,,,,,,,,,,,,english,false,,,eyers,,,1:aesthetics
49978,incollection,eykman:1982,,,1982,,``Souvenir'' and ``Imagination'' in the Works of Rousseau and Nerval,“Souvenir” and “Imagination” in the Works of Rousseau and Nerval,,,,,,,415--428,415,,,,,,,,,,,,,,,,,,,english,false,,,eykman,,,2:imagination
49979,incollection,eykman:1982a,,,1982,,Eidetic Conception and the Analysis of Meaning in Literature,Eidetic Conception and the Analysis of Meaning in Literature,,,,,,,443--454,443,,,,,,,,,,,,,,,,,,,english,false,,,eykman,,,1:aesthetics;2:fiction
49980,incollection,eykman:1984,,,1984,,What Can the Poem Do Today? The Self-Evaluation of Western Poets after 1945,What Can the Poem Do Today? The Self-Evaluation of Western Poets after 1945,,,,,,,141--156,141,,,,,,,,,,,,,,,,,,,english,false,,,eykman,,,1:aesthetics;2:literary_criticism
49981,incollection,eykman:1984a,,,1984,,"The Literary Diary as a Witness of Man's Historicity: Heinrich B{\""o}ll, Karl Krolow, G{\""u}nter Grass, and Peter Handke","The Literary Diary as a Witness of Man's Historicity: Heinrich Böll, Karl Krolow, Günter Grass, and Peter Handke",,,,,,,249--260,249,,,,,,,,,,,,,,,,,,,english,false,,,eykman,,,1:aesthetics;2:literary_criticism
49982,incollection,eykman:1985,,,1985,,Thalassic Regression: The Cipher of the Ocean in Gottfried Benn's Poetry,Thalassic Regression: The Cipher of the Ocean in Gottfried Benn's Poetry,,,,,,,353--366,353,,,,,,,,,,,,,,,,,,,english,false,,,eykman,,,1:aesthetics;2:literary_criticism
49983,incollection,eykman:1988,,,1988,,"Man against Fire: Alfred D{\""o}blin's Utopian Novel \emph{Mountains, Oceans and Giants}","Man against Fire: Alfred Döblin's Utopian Novel Mountains, Oceans and Giants",,,,,,,191--202,191,,,,,,,,,,,,,,,,,,,english,false,,,eykman,,,1:aesthetics;2:literary_criticism
