id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
49993,book,ezcurdia-hansberg:2003,,,2003,,La naturaleza de la experiencia.~Volumen I: Sensaciones,La naturaleza de la experiencia. Volumen I: Sensaciones,La naturaleza de la experiencia.~Volumen I: Sensaciones,La naturaleza de la experiencia. Volumen I: Sensaciones,,,,,,,,,"M{\'e}xico, D.F.",,,instituto-de-investigaciones-filosoficas-universidad-nacional-autonoma-de-mexico,,,,,,,,,,,,,spanish,false,,,,ezcurdia;hansberg,,1:perception;2:experience
49994,book,ezcurdia-stainton:2013,,,2013,,The Semantics-Pragmatics Boundary in Philosophy,The Semantics-Pragmatics Boundary in Philosophy,The Semantics-Pragmatics Boundary in Philosophy,The Semantics-Pragmatics Boundary in Philosophy,,,,,,,,,"Peterborough, Ontario",,,broadview-press,,,,,,,,,,,,,english,false,,,,ezcurdia;stainton_r,,1:language
49995,article,ezcurdia:1995,,,1995,,Modos de presentaci{\'o}n y modos de determinaci{\'o}n,Modos de presentación y modos de determinación,,,,critica-revista-hispanoamericana-de-filosofia,27,80,57--96,57,,,,,,,,,,,,,,,,,,,spanish,false,,,ezcurdia,,,1:representation;2:fregean_sense
49996,incollection,ezcurdia:1996,,,1996,,Dynamic and Coherent Thoughts,Dynamic and Coherent Thoughts,,,,,,,105--140,105,,,,,,,,,,,,,,,,,,,english,false,,,ezcurdia,,,
49997,article,ezcurdia:1996a,,,1996,,Nota Cr{\'{\i}}tica sobre \citet{neale:1990},Nota Crítica sobre Neale (1990),,,,critica-revista-hispanoamericana-de-filosofia,28,83,97--129,97,,,,,,,,,,,,,,,,,,,spanish,false,,,ezcurdia,,,1:reference;2:definite_descriptions
49998,incollection,ezcurdia:1998,,,1998,,The Concept-Conception Distinction [on \citet{higginbotham:1998b}],The Concept-Conception Distinction [on Higginbotham (1998)],,,,,,,187--192,187,,,,,,,,,,,,,,,,,,,english,false,,,ezcurdia,,,1:representation;2:concepts
49999,article,ezcurdia:2000,,,2000,,Review of \citet{garciacarpintero:1996},Review of García-Carpintero (1996),,,,dialectica,54,3,225--226,225,,,,,,,,,,,,,,,,,10.48106/dial.v54.i3.04,,english,false,,,ezcurdia,,,1:language
50000,incollection,ezcurdia:2001,,,2001,,Thinking about Myself,Thinking about Myself,,,,,,,179--204,179,,,,,,,,,,,,,,,,,,,english,false,,,ezcurdia,,,1:representation;2:de_se;3:egocentric_beliefs
50001,article,ezcurdia:2004,,,2004,,Pragmatic Attitudes and Semantic Competence [on \citet{soames:2002}],Pragmatic Attitudes and Semantic Competence [on Soames (2002)],,,,critica-revista-hispanoamericana-de-filosofia,36,108,55--82,55,,,,,,,,,,,,,,,,,,,english,false,,,ezcurdia,,,1:belief;2:belief_reports
50002,article,ezcurdia:2004a,,,2004,,Nota Cr{\'{\i}}tica sobre \citet{soames:2002},Nota Crítica sobre Soames (2002),,,,critica-revista-hispanoamericana-de-filosofia,36,108,115--142,115,,,,,,,,,,,,,,,,,,,spanish,false,,,ezcurdia,,,1:reference;2:rigidity
