id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
50017,incollection,fabb_n:2014,,,2014,,"The Verse-Line as a Whole Unit in Working Memory, Ease of Processing, and the Aesthetic Effects of Form","The Verse-Line as a Whole Unit in Working Memory, Ease of Processing, and the Aesthetic Effects of Form",,,,,,,29--50,,,,,,,,,,,,,,,,,,,,false,,fabb_n,,,1:aesthetics;2:fiction;3:poetry
50018,book,fabbianelli-etal:2011,,,2011,,"Wolffiana IV.~Zwischen Grunds{\""a}tzen und Gegenst{\""a}nden.~Untersuchungen zur Ontologie Christian Wolffs",Wolffiana IV. Zwischen Grundsätzen und Gegenständen. Untersuchungen zur Ontologie Christian Wolffs,"Wolffiana IV.~Zwischen Grunds{\""a}tzen und Gegenst{\""a}nden.~Untersuchungen zur Ontologie Christian Wolffs",Wolffiana IV. Zwischen Grundsätzen und Gegenständen. Untersuchungen zur Ontologie Christian Wolffs,,,,133,,,christian_wolff_gesammelte_werke_materialien_dokumente,Hildesheim,,,georg-olms,,,,,,,,,,,,,ngerman,false,,,fabbianelli;goubet;rudolph_op,,1:history_of_philosophy
50019,book,fabbianelli-luft:2014,,,2014,,Husserl und die klassische deutsche Philosophie,Husserl und die klassische deutsche Philosophie,Husserl und die klassische deutsche Philosophie,Husserl und die klassische deutsche Philosophie,,,,212,,,phaenomenologica,Dordrecht,,,springer,,,,,,,,,,,,,ngerman,false,,,fabbianelli;luft,,1:history_of_philosophy
50020,incollection,fabbianelli-luft:2014a,,,2014,,Husserl und die klassische deutsche Philosophie.~Eine Bestandsaufnahme,Husserl und die klassische deutsche Philosophie. Eine Bestandsaufnahme,,,,,,,1--12,,,,,,,,,,,,,,,,,,,ngerman,false,,fabbianelli;luft,,,1:history_of_philosophy
50021,article,fabbianelli:2000,,,2000,,"Descartes, Fichte e la Filosofia","Descartes, Fichte e la Filosofia",,,,teoria,20,2,47--68,,,,,,,,,,,,,,,,,,,italian,false,,fabbianelli,,,1:history_of_philosophy
50022,incollection,fabbianelli:2008,,,2008,,Ein unbekanntes Gutachten von Schelling aus dem Jahre 1804,Ein unbekanntes Gutachten von Schelling aus dem Jahre 1804,,,,,,,301--310,,,,,,,,,,,,,,,,,,,ngerman,false,,fabbianelli,,,1:history_of_philosophy
50023,incollection,fabbianelli:2011,,,2011,,"Ontologie und Gegenstandstheorie.~Elemente zu einer Gegen{\""u}berstellung von Wolff und Meinong",Ontologie und Gegenstandstheorie. Elemente zu einer Gegenüberstellung von Wolff und Meinong,,,,,,,215--228,,,,,,,,,,,,,,,,,,,ngerman,false,,fabbianelli,,,1:ontology
50024,incollection,fabbianelli:2014,,,2014,,Husserls Ding an sich und der Deutsche Idealismus,Husserls Ding an sich und der Deutsche Idealismus,,,,,,,93--114,,,,,,,,,,,,,,,,,,,ngerman,false,,fabbianelli,,,1:history_of_philosophy
50025,incollection,fabbianelli:2018,,,2018,,"``Es giebt schlechterdings keinen Mittelweg zwischen Nothwendigkeit und Zufall, zwischen Determinismus und Indeterminismus'': Die unmittelbare Rezeption des Kantischen Freiheitsbegriffs in der \emph{Aetas kantiana}","“Es giebt schlechterdings keinen Mittelweg zwischen Nothwendigkeit und Zufall, zwischen Determinismus und Indeterminismus”: Die unmittelbare Rezeption des Kantischen Freiheitsbegriffs in der Aetas kantiana",,,,,,,153--171,,,,,,,,,,,,,,,,,,,ngerman,false,,fabbianelli,,,1:action;2:agency;3:self_determination
50026,incollection,fabbianelli:2018a,,,2018,,"Transzendentalphilosophie, Metaphysik und Psychologie.~K.L.~Reinholds Vorlesung {\""u}ber Kants \emph{Kritik der reinen Vernunft}","Transzendentalphilosophie, Metaphysik und Psychologie. K.L. Reinholds Vorlesung über Kants Kritik der reinen Vernunft",,,,,,,3387--3394,,,,,,,,,,,,,,,,,,,ngerman,false,,fabbianelli,,,1:metaphysics;2:transcendental_idealism
50027,book,fabbri_n-favino:2018,,,2018,,Copernicus Banned.~The Entangled Matter of the Anti-Copernican Decree of 1616,Copernicus Banned. The Entangled Matter of the Anti-Copernican Decree of 1616,Copernicus Banned.~The Entangled Matter of the Anti-Copernican Decree of 1616,Copernicus Banned. The Entangled Matter of the Anti-Copernican Decree of 1616,,,,8,,,biblioteca_di_galil_ae_ana,Firenze,,,casa-editrice-leo-s-olschki,,,,,,,,,,,,,,false,,,fabbri_n;favino_f,,1:history_of_philosophy
