id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
56769,incollection,fu:1992,,,1992,,"Problem Domain, Taxonomy, and Comparativity in Histories of Science -- With a Case Study in the Comparative History of `Optics'","Problem Domain, Taxonomy, and Comparativity in Histories of Science – With a Case Study in the Comparative History of ‘Optics'",,,,,,,,,123--148,123,,,,,,,,,,,,,,,,,,,english,false,,,fu,,,1:science;2:history_of_science
56770,incollection,fu:1992a,,,1992,,"Local Contexts, Strategies and Sinicization: A Case Study of the Sinicization Formulation in the Social Sciences of Taiwan (1970s--1980s)","Local Contexts, Strategies and Sinicization: A Case Study of the Sinicization Formulation in the Social Sciences of Taiwan (1970s–1980s)",,,,,,,,,245--264,245,,,,,,,,,,,,,,,,,,,english,false,,,fu,,,1:science;2:history_of_science
56771,article,fu:1995,,,1995,,Higher Taxonomy and Higher Incommensurability,Higher Taxonomy and Higher Incommensurability,,,,studies-in-history-and-philosophy-of-science,26,26,2,2,273--294,273,,,,,,,,,,,,,,,,,,,english,false,,,fu,,,1:biology;2:taxa_natural_kinds
56772,incollection,fuchi-takagi:1998,,,1998,,Japanese Morphological Analyzer Using Word Co-Occurrence -- {JTAG},Japanese Morphological Analyzer Using Word Co-Occurrence – JTAG,,,,,,,,,409--413,409,,,,,,,,,,,,,,,,,,,english,false,,,fuchi;takagi_sh,,,1:linguistics
56773,incollection,fuchs_a:1982,,,1982,,Fairness to ``Justice as Fairness'',Fairness to “Justice as Fairness”,,,,,,,,,115--127,115,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_a,,,1:political_philosophy;2:justice;3:fairness
56774,incollection,fuchs_a:2005,,,2005,,Mill's Theory of Morally Correct Action,Mill's Theory of Morally Correct Action,,,,,,,,,139--158,139,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_a,,,1:ethics;2:metaethics;3:utilitarianism
56775,incollection,fuchs_an:1987,,,1987,,Pragmatic as Against Grammatical Factors in the Determination of Accent Placement,Pragmatic as Against Grammatical Factors in the Determination of Accent Placement,,,,,,,,,421--434,421,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_an,,,1:pragmatics
56776,article,fuchs_c-peres:2000,,,2000,,Quantum Theory Needs No Interpretation,Quantum Theory Needs No Interpretation,,,,physics-today,3,3,,,70--71,70,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_c;peres_a,,,1:quantum_mechanics
56777,incollection,fuchs_c:2014,,,2014,,Introducing BQism,Introducing BQism,,,,,,,,,385--402,385,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_c,,,1:quantum_mechanics
56778,incollection,fuchs_ca-rouault:1975,,,1975,,Towards a Formal Treatment of the Phenomenon of Aspect,Towards a Formal Treatment of the Phenomenon of Aspect,,,,,,,,,373--388,373,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_ca;rouault_j,,,1:exemplification;2:subject_predicate;3:nominal_aspect
56779,incollection,fuchs_d:1998,,,1998,,Cooperation between Top-Down and Bottom-Up Theorem Provers by Subgoal Clause Transfer,Cooperation between Top-Down and Bottom-Up Theorem Provers by Subgoal Clause Transfer,,,,,,,,,157--169,157,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_d,,,1:logic;2:proof_theory;3:theorem_proving
56780,incollection,fuchs_ec:2003,,,2003,,Nature and \emph{Bildung}: Pedagogical Naturalism in Nineteenth-Century Germany,Nature and Bildung: Pedagogical Naturalism in Nineteenth-Century Germany,,,,,,,,,155--181,155,,,,,,,,,,,,,,,,,,,english,false,,,fuchs_ec,,,1:biology
56781,article,fuchs_er:1990,,,1990,,{\'E}tudes critiques : John Rawls et la justice,Études critiques : John Rawls et la justice,,,,revue-de-theologie-et-de-philosophie,40,40,2,2,253--260,253,,,,,,,,,,,,,,,,,,,french,false,,,fuchs_er,,,1:political_philosophy;2:justification_of_the_state;3:contractarianism
56782,book,fuchs_f:2022,,,2022,,"Subjektunabh{\""a}ngige, analytische Unternehmensethik","Subjektunabhängige, analytische Unternehmensethik",,,,,,,,,,,,,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-658-36480-9,,german,false,,,fuchs_f,,,
56783,UNKNOWN,fuchs_g:1935,,,1935,,"Studien zur {\""U}bersetzungstheorie und -praxis des Gottsched-Kreises: Versuch einer Wesensbestimmung des nachbarocken Klassizismus",Studien zur Übersetzungstheorie und -praxis des Gottsched-Kreises: Versuch einer Wesensbestimmung des nachbarocken Klassizismus,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Th{\`e}se de doctorat,,,,,,,,,,,,german,false,,,fuchs_g,,,
56784,book,fuchs_mi:2015,,,2015,,"Prinzipien der Individuation.~{\""U}ber das relationale Einzelsein von Lebewesen",Prinzipien der Individuation. Über das relationale Einzelsein von Lebewesen,,,,,,,,,,,,,"M{\""u}nster",,,mentis-verlag,,,,,,,,,,,,,german,false,,,fuchs_mi,,,1:identity;2:individuation
