id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
60477,incollection,giacomoni:2002,,,2002,,Georg Simmel Between Goethe and Kant on ``Life'' and ``Force'',Georg Simmel Between Goethe and Kant on “Life” and “Force”,,,,,,,,,51--70,51,,,,,,,,,,,,,,,,,,,english,false,,,giacomoni,,,
60478,incollection,giacon_c:1981,,,1981,,Linguaggio e scintilla rationis,Linguaggio e scintilla rationis,,,,,,,,,1055--1065,1055,,,,,,,,,,,,,,,,,,,italian,false,,,giacon_c,,,1:history_of_philosophy
60479,incollection,giaconi:2011,,,2011,,Lines for Contemporary Constructivism to Revisit and Reintegrate the Ancient Sense of Continuity between Men and Nature,Lines for Contemporary Constructivism to Revisit and Reintegrate the Ancient Sense of Continuity between Men and Nature,,,,,,,,,355--372,355,,,,,,,,,,,,,,,,,,,english,false,,,giaconi,,,
60480,incollection,giambra_lm-grodsky:1991,,,1991,,"Aging, Imagery, and Imagery Vividness in Daydreams: Cross-Sectional and Longitudinal Perspectives","Aging, Imagery, and Imagery Vividness in Daydreams: Cross-Sectional and Longitudinal Perspectives",,,,,,,,,23--34,23,,,,,,,,,,,,,,,,,,,english,false,,,giambra_lm;grodsky_a,,,2:imagery
60481,incollection,giambra_lm:2000,,,2000,,Daydreaming Characteristics Across the Life-Span: Age Differences and Seven to Twenty Year Longitudinal Changes,Daydreaming Characteristics Across the Life-Span: Age Differences and Seven to Twenty Year Longitudinal Changes,,,,,,,,,147--207,147,,,,,,,,,,,,,,,,,,,english,false,,,giambra_lm,,,2:dreaming
60482,article,giambrone:1985,,,1985,,$TW_{+}$ and $RW_{+}$ Are Decidable,TW_+ and RW_+ Are Decidable,,,,journal-of-philosophical-logic,14,14,3,3,235--254,235,,,,,,,,,,,,,,,,,,,english,false,,,giambrone,,,1:logic;2:relevance_logic
60483,incollection,giampierideutsch:2012,,,2012,,"Psychoanalysis: Philosophy and/or Science of Subjectivity? Prospects for a Dialogue Between Phenomenology, Philosophy of Mind, and Psychoanalysis","Psychoanalysis: Philosophy and/or Science of Subjectivity? Prospects for a Dialogue Between Phenomenology, Philosophy of Mind, and Psychoanalysis",,,,,,,,,83--104,83,,,,,,,,,,,,,,,,,,,english,false,,,giampierideutsch,,,1:psychology;2:psychoanalysis
60484,incollection,giampierideutsch:2021,,,2021,,Psychoanalysis and Phenomenology,Psychoanalysis and Phenomenology,,,,,,,,,718--730,718,,,,,,,,,,,,,,,,,,,english,false,,,giampierideutsch,,,1:psychology;2:psychoanalysis
60485,incollection,giampietro:2006,,,2006,,Toward an Inclusive Epistemology,Toward an Inclusive Epistemology,,,,,,,,,219--229,219,,,,,,,,,,,,,,,,,,,english,false,,,giampietro,,,1:epistemology
60486,UNKNOWN,giananti_a:2015,,,2015,,Openness to the World: An Enquiry into the Intentionality of Perception,Openness to the World: An Enquiry into the Intentionality of Perception,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,PhD dissertation,,,,,,,,,,,,english,false,,,giananti_a,,,
60487,article,giananti_a:2018,,,2018,,The Way Things Look: A Defence of Content,The Way Things Look: A Defence of Content,,,,the-review-of-philosophy-and-psychology,10,10,3,3,541--562,541,,,,,,,,,,,,,,,,,10.1007/s13164-018-0393-4,https://folia.unifr.ch/unifr/documents/325290,english,false,,,giananti_a,,,1:perception;2:perceptual_content
60488,article,giananti_a:2019,,,2019,,"The Weight of Facts: A Puzzle about Perception, Reasons and Deliberation","The Weight of Facts: A Puzzle about Perception, Reasons and Deliberation",,,,ratio,32,32,2,2,104--113,104,,,,,,,,,,,,,,,,,,,english,false,,,giananti_a,,,1:perception
