id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
61662,article,glackin:2017,,,2017,,Individualism and the Medical: What about Somatic Externalism?,Individualism and the Medical: What about Somatic Externalism?,,,,analysis,77,2,287--293,287,,,,,,,,,,,,,,,,,,,english,false,,,glackin,,,1:persons;2:the_body
61663,incollection,gladkich:1979,,,1979,,"Singular Terms, Existence and Truth: Some Remarks on a First Order Logic of Existence","Singular Terms, Existence and Truth: Some Remarks on a First Order Logic of Existence",,,,,,,405--414,405,,,,,,,,,,,,,,,,,,,english,false,,,gladkich,,,1:ontology;2:being
61664,article,gladkova_ol-etal:2015,,,2015,,Argumentative Meanings and Their Stylistic Configurations in Clinical Research Publications,Argumentative Meanings and Their Stylistic Configurations in Clinical Research Publications,,,,argument-and-computation,6,3,310--346,310,,,,,,,,,,,,,,,,,10.1080/19462166.2016.1171255,,english,false,,,gladkova_ol;dimarco_c;harris_ra,,,1:argumentation;2:informal_logic;3:formal_argument_analysis
61665,article,gladziejewski_p:2016,,,2016,,Predictive Coding and Representationalism,Predictive Coding and Representationalism,,,,synthese,193,2,559--582,559,,,,,,,,,,,,,,,,,,,english,false,,,gladziejewski_p,,,1:representation
61666,incollection,glaeser_el:2006,,,2006,,Inequality,Inequality,,,,,,,624--641,624,,,,,,,,,,,,,,,,,,,english,false,,,glaeser_el,,,1:political_philosophy;2:equality
61667,article,glaeser_m:2017,,,2017,,"Soziale Werte und ihre Autorit{\""a}t",Soziale Werte und ihre Autorität,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2017-06-10-glaeser,ngerman,false,,,glaeser_m,,,
61668,incollection,glaeser_m:2019,,,2019,,The Normative Structure of Request,The Normative Structure of Request,,,,,,,29--49,29,,,,,,,,,,,,,,,,,,,english,false,,,glaeser_m,,,1:ethics
61669,article,glaister:2000,,,2000,,Recovery Recovered,Recovery Recovered,,,,journal-of-philosophical-logic,29,2,171--206,171,,,,,,,,,,,,,,,,,,,english,false,,,glaister,,,1:rationality;2:belief_revision
61670,incollection,glaister:2002,,,2002,,Inductive Logic,Inductive Logic,,,,,,,565--581,565,,,,,,,,,,,,,,,,,,,english,false,,,glaister,,,1:method;2:induction;3:inductive_logic
61671,article,glannon:1993,,,1993,,Epicureanism and Death,Epicureanism and Death,,,,the-monist,76,2,222--234,222,,,,,,,,,,,,,,,,,,,english,false,,,glannon,,,1:time;2:death;3:evil_of_death
