id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
74681,book,hiahemzizou_r:2016,,,2016,,L'exp{\'e}rience scientifique.~Expos{\'e} philosophique de son d{\'e}veloppement,L'expérience scientifique. Exposé philosophique de son développement,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,hiahemzizou_r,,,1:science;2:experimentation
74682,book,hiahemzizou_r:2017,,,2017,,La philosophie des sciences contemporaine.~Une nouvelle r{\'e}flexion,La philosophie des sciences contemporaine. Une nouvelle réflexion,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,hiahemzizou_r,,,1:science
74683,article,hibben:1894,,,1894,,The Relation of Ethics to Jurisprudence,The Relation of Ethics to Jurisprudence,,,,international-journal-of-ethics,4,2,133--160,,,,,,,,,,,,,,,,,,,,false,,hibben,,,1:law
74684,article,hibbert:2014,,,2014,,How should we Study Concepts in the Cognitive Sciences?,How should we Study Concepts in the Cognitive Sciences?,,,,logique-et-analyse,57,228,683--699,,,,,,,,,,,,,,,,,,,,false,,hibbert,,,1:representation;2:concepts
74685,incollection,hibbler:2021,,,2021,,If these Walls Could Talk,If these Walls Could Talk,,,,,,,135--138,,,,,,,,,,,,,,,,,,,,false,,hibbler,,,1:law;3:punishment
74686,article,hibbs_d:2005,,,2005,,Who's an ``Idealist''?,Who's an “Idealist”?,,,,the-review-of-metaphysics,58,3,561--570,,,,,,,,,,,,,,,,,,,,false,,hibbs_d,,,1:metaphysics;2:idealism
74687,article,hibbs_d:2009,,,2009,,On the Possibility of Pre-Cartesian Idealism,On the Possibility of Pre-Cartesian Idealism,,,,dialogue-revue-canadienne-de-philosophie-canadian-philosophical-review,48,3,643--653,,,,,,,,,,,,,,,,,,,,false,,hibbs_d,,,1:metaphysics;2:idealism
74688,book,hibbs_ts-ocallaghan:1999,,,1999,,"Recovering Nature: Essays in Natural Philosophy, Ethics, and Metaphysics in Honor of Ralph McInerny","Recovering Nature: Essays in Natural Philosophy, Ethics, and Metaphysics in Honor of Ralph McInerny","Recovering Nature: Essays in Natural Philosophy, Ethics, and Metaphysics in Honor of Ralph McInerny","Recovering Nature: Essays in Natural Philosophy, Ethics, and Metaphysics in Honor of Ralph McInerny",,,,,,,,"Notre Dame, Indiana",,,university-of-notre-dame-press,,,,,,,,,,,10.2307/j.ctvpj76tc,,,false,,,hibbs_ts;ocallaghan_j,,1:science;2:natural_philosophy
74689,incollection,hibbs_ts:2006,,,2006,,Subversive Natural Law: MacIntyre and African-American Thought,Subversive Natural Law: MacIntyre and African-American Thought,,,,,,,135--150,,,,,,,,,,,,,,,,,,,,false,,hibbs_ts,,,1:law;2:natural_law
74690,article,hick_dh:2010,,,2010,,Forgery and Appropriation in Art,Forgery and Appropriation in Art,,,,philosophy-compass,5,12,1047--1056,,,,,,,,,,,,,,,,,,,,false,,hick_dh,,,1:aesthetics;2:art_works
