id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
80467,incollection,ichikawa_a-etal:1999,,,1999,,Evaluation of Annotation Schemes for Japanese Discourse,Evaluation of Annotation Schemes for Japanese Discourse,,,,,,,,,26--34,26,,,,,,,,,,,,,,,,,,,english,false,,,ichikawa_a;araki_m;horiuchi_y;ishizaki_m;itabashi_s;itoh_t;kashioka;kato_k;kikuchi_h;koiso_h;kumagai_t;kurematsu_a;maekawa;nakazoto;tamoto_m;tutiya;yamashita_y,,,1:pragmatics;2:discourse;3:discourse_analysis
80468,article,ichikawa_j-etal:2012,,,2012,,Pragmatic Encroachment and Belief-Desire Psychology,Pragmatic Encroachment and Belief-Desire Psychology,,,,analytic-philosophy,53,53,4,4,327--343,327,,,,,,,,,,,,,,,,,,,english,false,,,ichikawa_j;jarvis_bw;rubin_k,,,1:epistemology;2:justification;3:pragmatic_encroachment
80469,article,ichikawa_j-jarvis:2009,,,2009,,Thought-Experiment Intuitions and Truth in Fiction,Thought-Experiment Intuitions and Truth in Fiction,,,,philosophical-studies,142,142,2,2,221--246,221,,,,,,,,,,,,,,,,,10.1007/s11098-007-9184-y,,english,false,,,ichikawa_j;jarvis_bw,,,1:truth;2:fictional_truth
80470,article,ichikawa_j-jarvis:2012,,,2012,,Rational Imagination and Modal Knowledge,Rational Imagination and Modal Knowledge,,,,nous,46,46,1,1,127--158,127,,,,,,,,,,,,,,,,,10.1111/j.1468-0068.2010.00811.x,,english,false,,,ichikawa_j;jarvis_bw,,,1:modality;2:modal_epistemology
80471,book,ichikawa_j-jarvis:2013,,,2013,,The Rules of Thought,The Rules of Thought,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/acprof:oso/9780199661800.001.0001,,english,false,,,ichikawa_j;jarvis_bw,,,1:modality;2:modal_epistemology
80472,incollection,ichikawa_j-jenkins:2017,,,2017,,On Putting Knowledge `First',On Putting Knowledge ‘First',,,,,,,,,113--131,113,,,,,,,,,,,,,,,,,,,english,false,,,ichikawa_j;jenkins_cs,,,1:knowledge;2:knowledge_first
80473,article,ichikawa_j:2008,,,2008,,Scepticism and the Imagination Model of Dreaming,Scepticism and the Imagination Model of Dreaming,,,,the-philosophical-quarterly,58,58,232,232,519--527,519,,,,,,,,,,,,,,,,,,,english,false,,,ichikawa_j,,,1:skepticism;2:dream_argument
80474,UNKNOWN,ichikawa_j:2008a,,,2008,,Imagination and Epistemology,Imagination and Epistemology,,,,,,,,,,,,,"Rutgers, New Jersey",,philosophy_department_rutgers_the_state_university_of_new_jersey,,PhD dissertation,,,,,,,,,,,,english,false,,,ichikawa_j,,,2:imagination
80475,article,ichikawa_j:2009,,,2009,,Knowing the Intuition and Knowing the Counterfactual [on \citet{williamson_t:2007}],Knowing the Intuition and Knowing the Counterfactual [on Williamson (2007)],,,,philosophical-studies,145,145,3,3,435--443,435,,,,,,,,,,,,,,,,,10.1007/s11098-009-9403-9,,english,false,,,ichikawa_j,,,1:metaphilosophy
80476,article,ichikawa_j:2009a,,,2009,,Explaining Away Intuitions,Explaining Away Intuitions,,,,studia-philosophica-estonica,2,2,2,2,94--116,94,,,,,,,,,,,,,,,,,,,english,false,,,ichikawa_j,,,1:epistemology;2:intuitions_as_reasons
80477,article,ichikawa_j:2011,,,2011,,Quantifiers and Epistemic Contextualism,Quantifiers and Epistemic Contextualism,,,,philosophical-studies,155,155,3,3,383--398,383,,,,,,,,,,,,,,,,,10.1007/s11098-010-9576-2,,english,false,,,ichikawa_j,,,1:epistemology;2:epistemic_contextualism
80478,article,ichikawa_j:2012,,,2012,,Knowledge Norms and Acting Well,Knowledge Norms and Acting Well,,,,thought,1,1,1,1,49--55,49,,,,,,,,,,,,,,,,,,,english,false,,,ichikawa_j,,,2:epistemic_norms;3:knowledge_norms
