id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
80589,article,ikaeheimo:2002,,,2002,,On the Genus and Species of Recognition,On the Genus and Species of Recognition,,,,inquiry,45,4,447--462,447,,,,,,,,,,,,,,,,,,,english,false,,,ikaeheimo,,,1:political_philosophy;2:anerkennung
80590,book,ikaeheimo:2014,,,2014,,Anerkennung,Anerkennung,,,,,,,,,,,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,,ikaeheimo,,,1:political_philosophy;2:anerkennung
80591,article,ikechukwn:1993,,,1993,,The Dialectic of the Ancients and its Re-Emergence in Hegel,The Dialectic of the Ancients and its Re-Emergence in Hegel,,,,indian-philosophical-quarterly,20,4,401--414,401,,,,,,,,,,,,,,,,,,,english,false,,,ikechukwn,,,1:method;2:dialectic
80592,incollection,ikeda_s:2015,,,2015,,Dynamics of Interventionism,Dynamics of Interventionism,,,,,,,393--418,393,,,,,,,,,,,,,,,,,,,english,false,,,ikeda_s,,,1:economics;2:austrian_economics
80593,incollection,ikere:1998,,,1998,,Anna-Teresa Tymieniecka's Philosophy of Life and the Fostering of Ecological Thinking,Anna-Teresa Tymieniecka's Philosophy of Life and the Fostering of Ecological Thinking,,,,,,,507--516,507,,,,,,,,,,,,,,,,,,,english,false,,,ikere,,,1:biology;2:ecology
80594,incollection,ikere:2004,,,2004,,Ontopoiesis of Life and New Horizons in Humanitarian Education,Ontopoiesis of Life and New Horizons in Humanitarian Education,,,,,,,339--348,339,,,,,,,,,,,,,,,,,,,english,false,,,ikere,,,1:biology;2:life;3:ontopoiesis
80595,incollection,ikere:2005,,,2005,,The Beingness of Living Beings in Anna-Teresa Tymieniecka's Philosophy,The Beingness of Living Beings in Anna-Teresa Tymieniecka's Philosophy,,,,,,,195--200,195,,,,,,,,,,,,,,,,,,,english,false,,,ikere,,,1:biology;2:life;3:ontopoiesis
80596,incollection,ikere:2008,,,2008,,Human Being as a Creative Differentiator of the Logos of Life,Human Being as a Creative Differentiator of the Logos of Life,,,,,,,9--22,9,,,,,,,,,,,,,,,,,,,english,false,,,ikere,,,1:biology;2:life;3:ontopoiesis
80597,incollection,ikere:2014,,,2014,,The Law of Opposites in the Ontopoiesis of Life and in Language,The Law of Opposites in the Ontopoiesis of Life and in Language,,,,,,,71--78,71,,,,,,,,,,,,,,,,,,,english,false,,,ikere,,,1:biology;2:life;3:ontopoiesis
80598,article,ikeuchi-horn:1981,,,1981,,Numerical Shape from Shading and Occluding Boundaries,Numerical Shape from Shading and Occluding Boundaries,,,,artificial-intelligence,17,1--3,141--184,141,,,,,,,,,,,,,,,,,,,english,false,,,ikeuchi;horn_bkp,,,1:perception;2:vision;3:computer_vision
80599,article,ikeuchi:1984,,,1984,,Shape from Regular Patterns,Shape from Regular Patterns,,,,artificial-intelligence,22,1,49--75,49,,,,,,,,,,,,,,,,,,,english,false,,,ikeuchi,,,1:perception;2:vision;3:computer_vision
80600,article,ikeuchi:1993,,,1993,,Comment on \citet{ikeuchi-horn:1981},Comment on Ikeuchi and Horn (1981),,,,artificial-intelligence,59,1/2,89--94,89,,,,,,,,,,,,,,,,,,,english,false,,,ikeuchi,,,1:perception;2:vision;3:computer_vision
80601,incollection,ikonen:2008,,,2008,,Lived Worlds Re-Revisited: The Opacity of the Transparent.~A Time-Dweller's Voyage in the World of the Film Titanic,Lived Worlds Re-Revisited: The Opacity of the Transparent. A Time-Dweller's Voyage in the World of the Film Titanic,,,,,,,263--280,263,,,,,,,,,,,,,,,,,,,english,false,,,ikonen,,,1:aesthetics;2:literary_criticism
