id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
80602,book,ildefonse_f:1997,,,1997,,La naissance de la grammaire dans l'Antiquit{\'e} grecque,La naissance de la grammaire dans l'Antiquité grecque,,,,,,,,,,histoire_des_doctrines_de_l_antiquit_e_classique,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,ildefonse_f,,,1:history_of_philosophy
80603,book,ildefonse_f:2022,,,2022,,Le multiple dans l'{\^a}me.~Sur l'int{\'e}riorit{\'e} comme probl{\`e}me,Le multiple dans l'âme. Sur l'intériorité comme problème,,,,,,,,,,,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,ildefonse_f,,,
80604,article,ilg_b:2017,,,2017,,Wann bin ich und wenn ja wie oft?,Wann bin ich und wenn ja wie oft?,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2017-02-04-ilg,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,ilg_b,,,
80605,incollection,iliff:1997,,,1997,,The Role of the Matrix Representation in Peirce's Development of the Quantifiers,The Role of the Matrix Representation in Peirce's Development of the Quantifiers,,,,,,,193--205,193,,,,,,,,,,,,,,,,,,,english,false,,,iliff,,,1:language;2:quantifiers
80606,incollection,illan_m:2002,,,2002,,Maria Zambrano's Phenomenology of Poetic Reason,Maria Zambrano's Phenomenology of Poetic Reason,,,,,,,470--472,470,,,,,,,,,,,,,,,,,,,english,false,,,illan_m,,,1:aesthetics;2:poetry
80607,UNKNOWN,illanez_le:1971,,,1971,,La antropologia marxista en una vision de sabiduria y de la creacion de Dios,La antropologia marxista en una vision de sabiduria y de la creacion de Dios,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,spanish,false,,,illanez_le,,,
80608,book,illari-etal:2011,,,2011,,Causality in the Sciences,Causality in the Sciences,Causality in the Sciences,Causality in the Sciences,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,,illari;russo_f;williamson_jon,,1:causation
80609,incollection,illari-etal:2011a,,,2011,,Why Look at Causality in the Sciences? A Manifesto,Why Look at Causality in the Sciences? A Manifesto,,,,,,,3--21,3,,,,,,,,,,,,,,,,,,,english,false,,,illari;russo_f;williamson_jon,,,1:causation
80610,book,illari-russo:2014,,,2014,,Causality: Philosophical Theory meets Scientific Practice,Causality: Philosophical Theory meets Scientific Practice,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,illari;russo_f,,,1:causation
80611,incollection,illari-russo:2016,,,2016,,Information and Causality,Information and Causality,,,,,,,235--248,235,,,,,,,,,,,,,,,,,,,english,false,,,illari;russo_f,,,1:causation;2:causal_explanation
80612,incollection,illari-williamson:2011,,,2011,,Mechanisms are Real and Local,Mechanisms are Real and Local,,,,,,,818--844,818,,,,,,,,,,,,,,,,,,,english,false,,,illari;williamson_jon,,,1:causation;2:process_theories_of_causation
80613,article,illari-williamson:2013,,,2013,,In Defence of Activities,In Defence of Activities,,,,journal-for-general-philosophy-of-science-zeitschrift-fur-allgemeine-wissenschaftstheorie,44,1,69--83,69,,,,,,,,,,,,,,,,,,,english,false,,,illari;williamson_jon,,,1:action
80614,article,illari:2013,,,2013,,Mechanistic Explanation: Integrating the Ontic and Epistemic,Mechanistic Explanation: Integrating the Ontic and Epistemic,,,,erkenntnis,78,"suppl., 2",237--255,237,,,,,,,,,,,,,,,,,,,english,false,,,illari,,,1:causation;2:causal_explanation;3:mechanistic_explanation
80615,incollection,illari:2014,,,2014,,IQ: Purpose and Dimensions,IQ: Purpose and Dimensions,,,,,,,281--302,281,,,,,,,,,,,,,,,,,,,english,false,,,illari,,,1:psychology;2:intelligence
80616,incollection,illari:2016,,,2016,,Mechanisms in Medicine,Mechanisms in Medicine,,,,,,,48--57,48,,,,,,,,,,,,,,,,,,,english,false,,,illari,,,1:causation;2:causal_explanation;3:mechanistic_explanation
80617,incollection,illes:2016,,,2016,,Epilogue: A Feast of Thinking on the Naturalization of Enhancement Neurotechnology,Epilogue: A Feast of Thinking on the Naturalization of Enhancement Neurotechnology,,,,,,,346--350,346,,,,,,,,,,,,,,,,,,,english,false,,,illes,,,1:ethics;2:transhumanism
80618,book,illetterati-menegoni:2018,,,2018,,"Wirklichkeit.~Beitr{\""a}ge zu einem Schl{\""u}sselbegriff der Hegelschen Philosophie.~Hegel-Tagung in Padua im Juni 2015",Wirklichkeit. Beiträge zu einem Schlüsselbegriff der Hegelschen Philosophie. Hegel-Tagung in Padua im Juni 2015,"Wirklichkeit.~Beitr{\""a}ge zu einem Schl{\""u}sselbegriff der Hegelschen Philosophie.~Hegel-Tagung in Padua im Juni 2015",Wirklichkeit. Beiträge zu einem Schlüsselbegriff der Hegelschen Philosophie. Hegel-Tagung in Padua im Juni 2015,,,,4,,,,geist_und_geschichte,Frankfurt a.M.,,,vittorio-klostermann,,,,,,,,,,,,,ngerman,false,,,,illetterati;menegoni,,1:history_of_philosophy
80619,incollection,illetterati:1993,,,1993,,Hegel's Exposition of Goethe's Theory of Colour,Hegel's Exposition of Goethe's Theory of Colour,,,,,,,557--568,557,,,,,,,,,,,,,,,,,,,english,false,,,illetterati,,,1:perception;2:colours
80620,incollection,illetterati:2014,,,2014,,Limit and Contradiction in Hegel,Limit and Contradiction in Hegel,,,,,,,127--152,127,,,,,,,,,,,,,,,,,,,english,false,,,illetterati,,,1:truth;2:excluded_middle;3:non_contradiction
