id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
81041,book,irani_ks-myers:1983,,,1983,,Emotion: Philosophical Studies,Emotion: Philosophical Studies,Emotion: Philosophical Studies,Emotion: Philosophical Studies,,,,,,,,,,,New York,,,haven-publications,,,,,,,,,,,,,english,false,,,,irani_ks;myers_ge,,1:feeling;2:emotions
81042,book,irani_t:2017,,,2017,,Plato on the Value of Philosophy: The Art of Argument in the \emph{Gorgias} and \emph{Phaedrus},Plato on the Value of Philosophy: The Art of Argument in the Gorgias and Phaedrus,,,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781316855621,,english,false,,,irani_t,,,1:history_of_philosophy
81043,article,iranzo:2001,,,2001,,"Bad Lots, Good Explanations","Bad Lots, Good Explanations",,,,critica-revista-hispanoamericana-de-filosofia,33,33,98,98,71--96,71,,,,,,,,,,,,,,,,,,,english,false,,,iranzo,,,1:explanation
81044,article,iranzo:2008,,,2008,,Reliabilism and the Abductive Defence of Scientific Realism,Reliabilism and the Abductive Defence of Scientific Realism,,,,journal-for-general-philosophy-of-science-zeitschrift-fur-allgemeine-wissenschaftstheorie,39,39,1,1,115--120,115,,,,,,,,,,,,,,,,,,,english,false,,,iranzo,,,1:science;2:scientific_realism
81045,article,iranzo:2009,,,2009,,On the Epistemic Authority of Experience [on \citet{gupta_a:2006}],On the Epistemic Authority of Experience [on Gupta (2006)],,,,international-journal-of-philosophical-studies,17,17,2,2,307--314,307,,,,,,,,,,,,,,,,,,,english,false,,,iranzo,,,1:metaphysics;2:empiricism
81046,incollection,iranzo:2011,,,2011,,Inductivist Strategies for Scientific Realism,Inductivist Strategies for Scientific Realism,,,,,,,,,241--268,241,,,,,,,,,,,,,,,,,,,english,false,,,iranzo,,,1:science;2:scientific_realism
81047,incollection,iranzo:2014,,,2014,,Models and Phenomena: Bas van Fraassen's Empiricist Structuralism,Models and Phenomena: Bas van Fraassen's Empiricist Structuralism,,,,,,,,,63--78,63,,,,,,,,,,,,,,,,,,,english,false,,,iranzo,,,1:explanation;3:semantic_view_of_models
81048,book,irby_gl:2016,,,2016,,"A Companion to Science, Technology, and Medicine in Ancient Greece and Rome","A Companion to Science, Technology, and Medicine in Ancient Greece and Rome","A Companion to Science, Technology, and Medicine in Ancient Greece and Rome","A Companion to Science, Technology, and Medicine in Ancient Greece and Rome",,,,,,,,,,,Chichester,,,wiley-blackwell,,,,,,,,,,,,,english,false,,,,irby_gl,,1:science;2:history_of_science
81049,book,ireland_jl-etal:2018,,,2018,,The Routledge International Handbook of Human Aggression.~Current Issues and Perspectives,The Routledge International Handbook of Human Aggression. Current Issues and Perspectives,The Routledge International Handbook of Human Aggression.~Current Issues and Perspectives,The Routledge International Handbook of Human Aggression. Current Issues and Perspectives,,,,,,,,,,routledge_international_handbooks,London,,,routledge,,,,,,,,,,,,,english,false,,,,ireland_jl;birch_p;ireland_ca,,1:social_philosophy;2:violence
81050,book,iremadze-reinholdjeck:2018,,,2018,,Veritas et subtilitas -- Truth and Sublety in the History of Philosophy.~Essays in memory of Burkhard Mojsisch (1944-2015),Veritas et subtilitas – Truth and Sublety in the History of Philosophy. Essays in memory of Burkhard Mojsisch (1944-2015),Veritas et subtilitas -- Truth and Sublety in the History of Philosophy.~Essays in memory of Burkhard Mojsisch (1944-2015),Veritas et subtilitas – Truth and Sublety in the History of Philosophy. Essays in memory of Burkhard Mojsisch (1944-2015),,,,,59,59,,,,bochumer_studien_zur_philosophie,Amsterdam,,,john-benjamins-publishing-co,,,,,,,,,,,,,english,false,,,,iremadze;jeck_ur,,1:history_of_philosophy
