id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
81209,article,isaac_a:2013,,,2013,,Objective Similarity and Mental Representation,Objective Similarity and Mental Representation,,,,australasian-journal-of-philosophy,91,91,4,4,683--704,683,,,,,,,,,,,,,,,,,,,english,false,,,isaac_a,,,1:properties;2:resemblance
81210,article,isaac_a:2013a,,,2013,,Modeling without Representation,Modeling without Representation,,,,synthese,190,190,16,16,3611--3623,3611,,,,,,,,,,,,,,,,,,,english,false,,,isaac_a,,,1:representation
81211,article,isaac_a:2014,,,2014,,Structural Realism for Secondary Qualities,Structural Realism for Secondary Qualities,,,,erkenntnis,79,79,3,3,481--510,481,,,,,,,,,,,,,,,,,,,english,false,,,isaac_a,,,1:properties;2:primary_secondary_qualities
81212,article,isaac_a:2014a,,,2014,,Model Uncertainty and Policy Choice: A Plea for Integrated Subjectivism,Model Uncertainty and Policy Choice: A Plea for Integrated Subjectivism,,,,studies-in-history-and-philosophy-of-science,47,47,,,42--50,42,,,,,,,,,,,,,,,,,,,english,false,,,isaac_a,,,1:explanation
81213,article,isaac_a:2017,,,2017,,Hubris to Humility: Tonal Volume and the Fundamentality of Psychophysical Quantities,Hubris to Humility: Tonal Volume and the Fundamentality of Psychophysical Quantities,,,,studies-in-history-and-philosophy-of-science,65/66,65,,,99--111,99,,,,,,,,,,,,,,,,,,,english,false,,,isaac_a,,,1:mind_body
81214,incollection,isaac_a:2019,,,2019,,Computational Thought from Descartes to Lovelace,Computational Thought from Descartes to Lovelace,,,,,,,,,9--22,9,,,,,,,,,,,,,,,,,,,english,false,,,isaac_a,,,2:cognition;3:thinking
81215,incollection,isaac_b:2009,,,2009,,Ethnic Prejudice and Racism,Ethnic Prejudice and Racism,,,,,,,,,328--339,328,,,,,,,,,,,,,,,,,,,english,false,,,isaac_b,,,1:political_philosophy;2:discrimination;3:racism
81216,article,isaac_mg-etal:2022,,,2022,,Conceptual Engineering: A Road Map to Practice,Conceptual Engineering: A Road Map to Practice,,,,philosophy-compass,17,17,10,10,e12879,,e12879,,,,,,,,,,,,,,,,10.1111/phc3.12879,,english,false,,,isaac_mg;koch_st;nefdt_r,,,1:representation;2:concepts;3:conceptual_engineering
81217,article,isaac_mg:2015,,,2015,,L'id{\'e}e de la logique formelle dans les appendices VI {\'a} X du volume 12 des Husserliana (1970),L'idée de la logique formelle dans les appendices VI á X du volume 12 des Husserliana (1970),,,,history-and-philosophy-of-logic,36,36,4,4,321--345,321,,,,,,,,,,,,,,,,,,,french,false,,,isaac_mg,,,1:logic;2:nature_of_logic
81218,article,isaac_w:2020,,,2020,,An Argument for Entity Grounding,An Argument for Entity Grounding,,,,analysis,80,80,3,3,500--507,500,,,,,,,,,,,,,,,,,,,english,false,,,isaac_w,,,2:grounding
