id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
81485,article,jaag_s:2014,,,2014,,Dispositional Essentialism and the Grounding of Natural Modality,Dispositional Essentialism and the Grounding of Natural Modality,,,,philosophers-imprint,14,34,,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0014.034,,http://hdl.handle.net/2027/spo.3521354.0014.034,english,false,,,jaag_s,,,1:properties;2:dispositions
81486,incollection,jaag_s:2017,,,2017,,Naturgesetze,Naturgesetze,,,,,,,,,,,,,,,,,,,,,,,,,,,ngerman,false,,,jaag_s,,,1:causation;2:laws_of_nature
81487,article,jaapjacobson:1984,,,1984,,Does Hume Hold a Regularity Theory of Causality?,Does Hume Hold a Regularity Theory of Causality?,,,,history-of-philosophy-quarterly,1,1,75--91,75,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:causation;2:regularity_theories_of_causation
81488,article,jaapjacobson:1989,,,1989,,Inductive Scepticism and Experimental Reasoning in Moral Subjects in Hume's Philosophy,Inductive Scepticism and Experimental Reasoning in Moral Subjects in Hume's Philosophy,,,,hume-studies,15,2,325--338,325,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:skepticism
81489,book,jaapjacobson:2000,,,2000,,Feminist Interpretations of David Hume,Feminist Interpretations of David Hume,Feminist Interpretations of David Hume,Feminist Interpretations of David Hume,,,,,,,,rereading_the_canon,"University Park, Pennsylvania",,,pennsylvania-state-university-press,,,,,,,,,,,,,english,false,,,,jaapjacobson,,1:political_philosophy;2:feminism
81490,incollection,jaapjacobson:2000a,,,2000,,Introduction: A Double Re-Reading,Introduction: A Double Re-Reading,,,,,,,1--18,1,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:political_philosophy;2:feminism
81491,incollection,jaapjacobson:2000b,,,2000,,Reconceptualizing Reasoning and Writing the Philosophical Canon: The Case of David Hume,Reconceptualizing Reasoning and Writing the Philosophical Canon: The Case of David Hume,,,,,,,60--84,60,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:political_philosophy;2:feminism
81492,incollection,jaapjacobson:2000c,,,2000,,From Cognitive Science to a Post-Cartesian Text: What Did Hume Really Say?,From Cognitive Science to a Post-Cartesian Text: What Did Hume Really Say?,,,,,,,156--166,156,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:history_of_philosophy
81493,incollection,jaapjacobson:2004,,,2004,,The Psychology of Philosophy: Interpreting Locke and Hume,The Psychology of Philosophy: Interpreting Locke and Hume,,,,,,,153--170,153,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:history_of_philosophy
81494,article,jaapjacobson:2009,,,2009,,Empathy and Instinct: Cognitive Neuroscience and Folk Psychology,Empathy and Instinct: Cognitive Neuroscience and Folk Psychology,,,,inquiry,52,5,467--482,467,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:psychology;2:folk_psychology
81495,book,jaapjacobson:2013,,,2013,,Keeping the World in Mind.~Mental Representations and the Sciences of the Mind,Keeping the World in Mind. Mental Representations and the Sciences of the Mind,,,,,,,,,,,"Basingstoke, Hampshire",,,palgrave-macmillan,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:representation;2:mental_representation
81496,article,jaapjacobson:2015,,,2015,,Three Concerns about the Origins of Content,Three Concerns about the Origins of Content,,,,philosophia,43,3,625--638,625,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:representation;2:content
81497,incollection,jaapjacobson:2016,,,2016,,Reducing Racial Bias: Attitudinal and Institutional Change,Reducing Racial Bias: Attitudinal and Institutional Change,,,,,,,173--190,173,,,,,,,,,,,,,,,,,,,english,false,,,jaapjacobson,,,1:epistemology;2:bias;3:implicit_bias
81498,UNKNOWN,jabale_jp:1964,,,1964,,Joseph de Maistre: l'acheminement vers une doctrine contre r{\'e}volutionnaire,Joseph de Maistre: l'acheminement vers une doctrine contre révolutionnaire,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,jabale_jp,,,
81499,book,jabbour:2021,,,2021,,De la mati{\`e}re {\`a} l'intellect.~L'{\^A}me et la substance de l'homme dans l'{\oe}uvre d'al F{\={a}}r{\={a}}b{\={i}},De la matière à l'intellect. L'Âme et la substance de l'homme dans l'œuvre d'al Fārābī,,,,,,,,,,,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,jabbour,,,
81500,UNKNOWN,jablon:1975,,,1975,,Towards Foundations for the Logic of Distinctions,Towards Foundations for the Logic of Distinctions,,,,,,,,,,,Canberra,,philosophy_department_australian_national_university,,PhD dissertation,,,,,,,,,,,,english,false,,,jablon,,,1:structuralism;2:relations;3:logic_of_relations
81501,book,jablonka_e-lamb:2014,,,2014,,"Evolution in Four Dimensions.~Genetic, Epigenetic, Behavioral, and Symbolic Variation in the History of Life","Evolution in Four Dimensions. Genetic, Epigenetic, Behavioral, and Symbolic Variation in the History of Life",,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,2,,,,,,,,,,,english,false,,,jablonka_e;lamb_mj,,,1:biology;2:life
81502,article,jablonski_d:1994,,,1994,,Extinctions in the Fossil Record,Extinctions in the Fossil Record,,,,philosophical-transactions-of-the-royal-society-of-london-series-b-biological-sciences,344,1307,11--17,11,,,,,,,,,,,,,,,,,10.1098/rstb.1994.0045,,english,false,,,jablonski_d,,,1:archaeology
81503,incollection,jabre:1989,,,1989,,La logique modale d'Averroes chez Albert le Grand,La logique modale d'Averroes chez Albert le Grand,,,,,,,144--175,144,,,,,,,,,,,,,,,,,,,french,false,,,jabre,,,1:logic;2:modal_logic
81504,UNKNOWN,jaccard_c:2010,,,2010,,Au seuil d'une pens{\'e}e de l'entre-deux.~Une lecture de la premi{\`e}re partie d'Ordre entre-deux-lumi{\`e}res (Ordnung im Zwielicht) de Bernhard Waldenfels,Au seuil d'une pensée de l'entre-deux. Une lecture de la première partie d'Ordre entre-deux-lumières (Ordnung im Zwielicht) de Bernhard Waldenfels,,,,,,,,,,,Lausanne,,d_e_partement_de_philosophie_universit_e_de_lausanne,,M{\'e}moire de licence,,,,,,,,,,,https://iris.unil.ch/handle/iris/60933,french,false,,,jaccard_c,,,
81505,incollection,jaccard_j-blanton:2005,,,2005,,The Origins and Structure of Behavior: Conceptualizing Behavior in Attitude Research,The Origins and Structure of Behavior: Conceptualizing Behavior in Attitude Research,,,,,,,125--172,125,,,,,,,,,,,,,,,,,,,english,false,,,jaccard_j;blanton,,,1:feeling
81506,book,jaccard_r:2005,,,2005,,Cioran et compagnie,Cioran et compagnie,,,,,,,,,,perspectives_critiques,Paris,,,presses-universitaires-de-france,,,,,,,,,,,,,french,false,,,jaccard_r,,,1:history_of_philosophy
