id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
83548,article,jo_gs-etal:2000,,,2000,,Ramp Activity Expert System for Scheduling and Coordination at an Airport,Ramp Activity Expert System for Scheduling and Coordination at an Airport,,,,the-ai-magazine,21,4,75--83,75,,,,,,,,,,,,,,,,,,,english,false,,,jo_gs;jung_jj;koo_jh;hyu_sh,,,1:ai
83549,book,jo_h:2017,,,2017,,Zwiespalt der Zeit und Zweiheit der Zeitlichkeit.~Betrachtung von Aristoteles' und Heideggers Beantwortungen der Frage nach dem Sein der Zeit,Zwiespalt der Zeit und Zweiheit der Zeitlichkeit. Betrachtung von Aristoteles' und Heideggers Beantwortungen der Frage nach dem Sein der Zeit,,,,,,,,,,,"W{\""u}rzburg",,,konigshausen-neumann,,,,,,,,,,,,,ngerman,false,,,jo_h,,,1:time;2:nature_of_time
83550,book,jo_th-etal:2018,,,2018,,"The Routledge Handbook of Heterodox Economics.~Theorizing, Analyzing, and Transforming Capitalism","The Routledge Handbook of Heterodox Economics. Theorizing, Analyzing, and Transforming Capitalism","The Routledge Handbook of Heterodox Economics.~Theorizing, Analyzing, and Transforming Capitalism","The Routledge Handbook of Heterodox Economics. Theorizing, Analyzing, and Transforming Capitalism",,,,,,,,routledge_international_handbooks,London,,,routledge,,,,,,,,,,,,,english,false,,,,jo_th;chester_l;dippoliti,,1:political_philosophy;2:capitalism
83551,incollection,jo_th-etal:2018a,,,2018,,The State of the Art and Challenges for Heterodox Economics,The State of the Art and Challenges for Heterodox Economics,,,,,,,3--26,3,,,,,,,,,,,,,,,,,,,english,false,,,jo_th;chester_l;dippoliti,,,1:economics
83552,incollection,jo_th-todorova:2018,,,2018,,Social Provisioning Process: A Heterodox View of the Economy,Social Provisioning Process: A Heterodox View of the Economy,,,,,,,29--40,29,,,,,,,,,,,,,,,,,,,english,false,,,jo_th;todorova,,,1:economics
83553,incollection,jo_th:2018,,,2018,,A Heterodox Theory of the Business Enterprise,A Heterodox Theory of the Business Enterprise,,,,,,,199--212,199,,,,,,,,,,,,,,,,,,,english,false,,,jo_th,,,1:ethics;2:business_ethics
83554,book,joachim:1906,,,1906,,The Nature of Truth,The Nature of Truth,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,joachim,,,1:truth
83555,article,joachim:1907,,,1907,,A Reply to Mr.~Moore [to \citet{moore_ge:1907}],A Reply to Mr. Moore [to Moore (1907)],,,,mind,16,63,410--415,410,,,,,,,,,,,,,,,,,,,english,false,,,joachim,,,1:truth
83556,article,joachim:1909,,,1909,,Psychical Process,Psychical Process,,,,mind,18,69,65--83,65,,,,,,,,,,,,,,,,,,,english,false,,,joachim,,,2:metaphysics_of_mind;3:mental_acts
83557,article,joachim:1914,,,1914,,Some Preliminary Considerations on Self-Identity,Some Preliminary Considerations on Self-Identity,,,,mind,23,89,41--59,41,,,,,,,,,,,,,,,,,,,english,false,,,joachim,,,1:identity
