id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
86801,incollection,kean_ml:1988,,,1988,,Brain Structures and Linguistic Capacity,Brain Structures and Linguistic Capacity,,,,,,,74--95,74,,,,,,,,,,,,,,,,,,,english,false,,,kean_ml,,,1:linguistics
86802,incollection,keane_bp:2009,,,2009,,Visual Objects as the Referents of Early Vision: A Response to \emph{A Theory of Sentience} [\citet{clark_au:2000}],Visual Objects as the Referents of Early Vision: A Response to A Theory of Sentience [Clark (2000)],,,,,,,303--334,303,,,,,,,,,,,,,,,,,,,english,false,,,keane_bp,,,1:perception;2:object_of_perception;3:feature_placing
86803,incollection,keane_n-girardi:2021,,,2021,,"Heidegger, Europe, and the History of `Beyng'","Heidegger, Europe, and the History of ‘Beyng'",,,,,,,84--96,84,,,,,,,,,,,,,,,,,,,english,false,,,keane_n;girardi_l,,,1:ontology;2:being
86804,book,keane_n-lawn:2016,,,2016,,The Blackwell Companion to Hermeneutics,The Blackwell Companion to Hermeneutics,The Blackwell Companion to Hermeneutics,The Blackwell Companion to Hermeneutics,,,,,,,,blackwell_companions_to_philosophy,Chichester,,,wiley-blackwell,,,,,,,,,,,10.1002/9781118529812,,english,false,,,,keane_n;lawn_c,,1:explanation;2:understanding
86805,incollection,keane_n-lawn:2016a,,,2016,,Introduction,Introduction,,,,,,,1--8,1,,,,,,,,,,,,,,,,,,,english,false,,,keane_n;lawn_c,,,1:history_of_philosophy
86806,incollection,keane_n:2019,,,2019,,The Affects of Rhetoric and Reconceiving the Nature of Possibility,The Affects of Rhetoric and Reconceiving the Nature of Possibility,,,,,,,47--68,47,,,,,,,,,,,,,,,,,,,english,false,,,keane_n,,,1:feeling
86807,UNKNOWN,keaney_ga:2007,,,2007,,Heraclitean Flux and Identity through Change,Heraclitean Flux and Identity through Change,,,,,,,,,,,Brisbane,,philosophy_department_university_of_queensland,,PhD dissertation,,,,,,,,,,,,english,false,,,keaney_ga,,,1:time;2:persistence
86808,article,kearl_t:2023,,,2023,,Evidentialism and the Problem of Basic Competence,Evidentialism and the Problem of Basic Competence,,,,ergo,9,15,413--438,413,,,,,,,,,,,,,,,,,10.3998/ergo.2271,,english,false,,,kearl_t,,,1:epistemology;2:justification;3:evidentialism
86809,incollection,kearl_t:2023a,,,2023,,Epistemic Control Without Voluntarism,Epistemic Control Without Voluntarism,,,,,,,95--109,95,,,,,,,,,,,,,,,,,10.1111/phis.12245,,english,false,,,kearl_t,,,1:belief;2:believing_at_will
86810,incollection,kearney_m:2008,,,2008,,Philosophy and Phylogenetics: Historical and Current Connections,Philosophy and Phylogenetics: Historical and Current Connections,,,,,,,211--232,211,,,,,,,,,,,,,,,,,,,english,false,,,kearney_m,,,1:biology
