id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
88121,UNKNOWN,kiala_n:1983,,,1983,,Les structures logiques de la d{\'e}marche cognitive des tropes dans la tradition Pelende,Les structures logiques de la démarche cognitive des tropes dans la tradition Pelende,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,kiala_n,,,
88122,incollection,kibble-power:1999,,,1999,,Using Centering Theory to Plan Coherent Texts,Using Centering Theory to Plan Coherent Texts,,,,,,,,,187--192,187,,,,,,,,,,,,,,,,,,,english,false,,,kibble;power_r,,,1:semantics
88123,incollection,kibble:1998,,,1998,,"Modal Subordination, Focus and Complement Anaphora","Modal Subordination, Focus and Complement Anaphora",,,,,,,,,71--84,71,,,,,,,,,,,,,,,,,,,english,false,,,kibble,,,1:reference;2:anaphora
88124,incollection,kibble:1999,,,1999,,Cb or Not {Cb}? Centering Theory Applied to {NLG},Cb or Not Cb? Centering Theory Applied to NLG,,,,,,,,,72--81,72,,,,,,,,,,,,,,,,,,,english,false,,,kibble,,,1:reference;2:anaphora
88125,article,kibble:2001,,,2001,,A Reformulation of Rule 2 of Centering Theory,A Reformulation of Rule 2 of Centering Theory,,,,computational-linguistics,27,27,4,4,588--587,587,,,,,,,,,,,,,,,,,,,english,false,,,kibble,,,1:reference;2:anaphora
88126,incollection,kibble:2003,,,2003,,Towards the Elimination of Centering Theory,Towards the Elimination of Centering Theory,,,,,,,,,51--58,51,,,,,,,,,,,,,,,,,,,english,false,,,kibble,,,1:linguistics;2:dialogue;3:dialogue_interpretation
88127,book,kibedvarga:1989,,,1989,,"Discours, r{\'e}cit, image","Discours, récit, image",,,,,,,,,,,,collection_philosophie_et_langage,Bruxelles,,,pierre-mardaga,,,,,,,,,,,,,french,false,,,kibedvarga,,,1:varia
88128,article,kibler:1999,,,1999,,Review of \citet{cohen_par:1995},Review of Cohen (1995),,,,artificial-intelligence,113,113,1/2,1,281--284,281,,,,,,,,,,,,,,,,,,,english,false,,,kibler,,,1:ai;2:machine_reasoning;3:expert_systems
88129,incollection,kickasola:2011,,,2011,,Semiotics and Semiology,Semiotics and Semiology,,,,,,,,,457--469,457,,,,,,,,,,,,,,,,,,,english,false,,,kickasola,,,1:history_of_philosophy
88130,incollection,kicklighter:2018,,,2018,,Intellectual Disability and the End of Life,Intellectual Disability and the End of Life,,,,,,,,,511--520,511,,,,,,,,,,,,,,,,,,,english,false,,,kicklighter,,,1:time;2:death
88131,article,kiczuk:2014,,,2014,,A System of the Logic of Change,A System of the Logic of Change,,,,logic-and-logical-philosophy,23,23,2,2,203--238,203,,,,,,,,,,,,,,,,,,,english,false,,,kiczuk,,,1:time;2:change
88132,article,kiczuk:2014a,,,2014,,The Logic of Causal Propositions,The Logic of Causal Propositions,,,,logic-and-logical-philosophy,23,23,4,4,403--448,403,,,,,,,,,,,,,,,,,,,english,false,,,kiczuk,,,
88133,article,kidd_c:2011,,,2011,,Phenomenal Consciousness with Infallible Self-Representation,Phenomenal Consciousness with Infallible Self-Representation,,,,philosophical-studies,152,152,3,3,361--383,361,,,,,,,,,,,,,,,,,10.1007/s11098-009-9444-0,,english,false,,,kidd_c,,,1:perception;2:phenomenal_properties;3:qualia
88134,incollection,kidd_c:2014,,,2014,,Husserl's Phenomenological Theory of Intuition,Husserl's Phenomenological Theory of Intuition,,,,,,,,,131--150,131,,,,,,,,,,,,,,,,,,,english,false,,,kidd_c,,,1:epistemology;2:intuitions_as_reasons
88135,article,kidd_c:2015,,,2015,,The Idols of Inner-Sense,The Idols of Inner-Sense,,,,philosophical-studies,172,172,7,7,1759--1782,1759,,,,,,,,,,,,,,,,,10.1007/s11098-014-0389-6,,english,false,,,kidd_c,,,1:knowledge;2:self_knowledge
88136,incollection,kidd_ig:1978,,,1978,,Moral Actions and Rules in Stoic Ethics,Moral Actions and Rules in Stoic Ethics,,,,,,,,,247--258,247,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ig,,,1:ethics
88137,incollection,kidd_ig:1989,,,1989,,\emph{Orthos Logos} as a Criterion of Truth in the Stoa,Orthos Logos as a Criterion of Truth in the Stoa,,,,,,,,,137--150,137,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ig,,,1:skepticism;2:problem_of_the_criterion;3:criterion_of_truth
88138,article,kidd_ig:2012,,,2012,,"Feyerabend, Pseudo-Dionysius, and the Ineffability of Reality","Feyerabend, Pseudo-Dionysius, and the Ineffability of Reality",,,,philosophia,40,40,2,2,365--377,365,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ig,,,1:metaphilosophy
88139,incollection,kidd_ij-carel:2018,,,2018,,"Healthcare Practice, Epistemic Injustice, and Naturalism","Healthcare Practice, Epistemic Injustice, and Naturalism",,,,,,,,,211--233,211,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij;carel_h,,,1:epistemology;2:bias;3:epistemic_injustice
88140,book,kidd_ij-mckinnell:2015,,,2015,,"Science and the Self: Animals, Evolution, and Ethics: Essays in Honour of Mary Midgley","Science and the Self: Animals, Evolution, and Ethics: Essays in Honour of Mary Midgley","Science and the Self: Animals, Evolution, and Ethics: Essays in Honour of Mary Midgley","Science and the Self: Animals, Evolution, and Ethics: Essays in Honour of Mary Midgley",,,,,,,,,,,London,,,routledge,,,,,,,,,,,,,english,false,,,,kidd_ij;mckinnell,,1:science
88141,article,kidd_ij:2011,,,2011,,Pierre Duhem's Epistemic Aims and the Intellectual Virtue of Humility: A Reply to Ivanova,Pierre Duhem's Epistemic Aims and the Intellectual Virtue of Humility: A Reply to Ivanova,,,,studies-in-history-and-philosophy-of-science,42,42,1,1,185--189,185,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:epistemology;2:epistemic_virtues;3:epistemic_humility
88142,article,kidd_ij:2011a,,,2011,,"Objectivity, Abstraction, and the Individual: The Influence of S{\o}ren Kierkegaard on Paul Feyerabend","Objectivity, Abstraction, and the Individual: The Influence of Søren Kierkegaard on Paul Feyerabend",,,,studies-in-history-and-philosophy-of-science,42,42,1,1,125--134,125,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:metaphysics;2:perspectivalism;3:objectivity_in_representation
88143,article,kidd_ij:2012,,,2012,,Can Illness Be Edifying?,Can Illness Be Edifying?,,,,inquiry,55,55,5,5,496--520,496,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:ethics
88144,article,kidd_ij:2012a,,,2012,,"Receptivity to Mystery: Cultivation, Loss, and Scientism","Receptivity to Mystery: Cultivation, Loss, and Scientism",,,,european-journal-for-philosophy-of-religion,4,4,3,3,51--68,51,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:religion;2:religious_experience;3:mysticism
88145,incollection,kidd_ij:2013,,,2013,,Feyerabend on the Ineffability of Ultimate Reality,Feyerabend on the Ineffability of Ultimate Reality,,,,,,,,,849--860,849,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,2:fundamentality
88146,article,kidd_ij:2016,,,2016,,Charging Others with Epistemic Vice,Charging Others with Epistemic Vice,,,,the-monist,99,99,2,2,181--197,181,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,2:epistemic_norms
88147,article,kidd_ij:2016a,,,2016,,"Other Histories, Other Sciences [Review of \citet{soler_l-etal:2015}]","Other Histories, Other Sciences [Review of Soler, Trizio, and Pickering (2015)]",,,,studies-in-history-and-philosophy-of-science,61,61,,,57--60,57,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:science;2:sociology_of_science;3:contingency_of_science
88148,article,kidd_ij:2016b,,,2016,,"Inevitability, Contingency, and Epistemic Humility","Inevitability, Contingency, and Epistemic Humility",,,,studies-in-history-and-philosophy-of-science,55,55,,,12--19,12,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:epistemology;2:epistemic_virtues;3:epistemic_humility
88149,article,kidd_ij:2016c,,,2016,,"Feyerabend on Politics, Education, and Scientific Culture","Feyerabend on Politics, Education, and Scientific Culture",,,,studies-in-history-and-philosophy-of-science,57,57,,,121--128,121,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:science;2:sociology_of_science
88150,incollection,kidd_ij:2017,,,2017,,Epistemic Injustice and Religion,Epistemic Injustice and Religion,,,,,,,,,386--396,386,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:epistemology;2:bias;3:epistemic_injustice
88151,incollection,kidd_ij:2019,,,2019,,Epistemic Courage and the Harms of Epistemic Life,Epistemic Courage and the Harms of Epistemic Life,,,,,,,,,244--255,244,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:epistemology;2:epistemic_virtues
88152,article,kidd_ij:2019a,,,2019,,Epistemic Corruption and Education,Epistemic Corruption and Education,,,,episteme,16,16,2,2,220--235,220,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:epistemology;2:collective_epistemology
88153,incollection,kidd_ij:2021,,,2021,,"Humility, Contingency, and Pluralism in the Sciences","Humility, Contingency, and Pluralism in the Sciences",,,,,,,,,346--358,346,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:epistemology;2:epistemic_virtues;3:epistemic_humility
88154,incollection,kidd_ij:2021a,,,2021,,Epistemic Vices and Feminist Philosophies of Science,Epistemic Vices and Feminist Philosophies of Science,,,,,,,,,157--169,157,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:political_philosophy;2:feminism
88155,incollection,kidd_ij:2021b,,,2021,,Epistemic Corruption and Political Institutions,Epistemic Corruption and Political Institutions,,,,,,,,,347--358,347,,,,,,,,,,,,,,,,,,,english,false,,,kidd_ij,,,1:social_philosophy;2:institutions
88156,article,kidd_r:1988,,,1988,,In Search of Necessity,In Search of Necessity,,,,dialogue-revue-canadienne-de-philosophie-canadian-philosophical-review,27,27,,,11--17,11,,,,,,,,,,,,,,,,,,,english,false,,,kidd_r,,,1:modality;2:modal_epistemology
88157,book,kidd_se:2019,,,2019,,Play and Aesthetics in Ancient Greece,Play and Aesthetics in Ancient Greece,,,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108590914,,english,false,,,kidd_se,,,1:aesthetics;2:drama
88158,incollection,kidd_se:2019a,,,2019,,Sound: An Aristotelian Perspective,Sound: An Aristotelian Perspective,,,,,,,,,79--91,79,,,,,,,,,,,,,,,,,,,english,false,,,kidd_se,,,1:perception;2:sounds
88159,article,kidder_p:1995,,,1995,,What Could Metaphysics Be? The Lonergan-Coreth Debate,What Could Metaphysics Be? The Lonergan-Coreth Debate,,,,american-catholic-philosophical-quarterly,69,69,4,4,557--572,557,,,,,,,,,,,,,,,,,,,english,false,,,kidder_p,,,1:ontology;2:being
88160,incollection,kido:2018,,,2018,,Kant's Synthetic Unity of Apperception and Its Rivals,Kant's Synthetic Unity of Apperception and Its Rivals,,,,,,,,,3197--3204,3197,,,,,,,,,,,,,,,,,,,english,false,,,kido,,,1:perception;2:apperception;3:unity_of_apperception
88161,incollection,kieckhefer:2014,,,2014,,Architectural Expression and Ways of Being Religious,Architectural Expression and Ways of Being Religious,,,,,,,,,203--219,203,,,,,,,,,,,,,,,,,,,english,false,,,kieckhefer,,,1:aesthetics;2:architecture
88162,article,kiefer_c:1990,,,1990,,Der Zeitbegriff in der Quantengravitation,Der Zeitbegriff in der Quantengravitation,,,,philosophia-naturalis,27,27,1/2,1,43--65,43,,,,,,,,,,,,,,,,,,,ngerman,false,,,kiefer_c,,,1:quantum_mechanics
88163,article,kiefer_c:1994,,,1994,,Probleme der Quantengravitation,Probleme der Quantengravitation,,,,philosophia-naturalis,31,31,2,2,309--327,309,,,,,,,,,,,,,,,,,,,ngerman,false,,,kiefer_c,,,1:quantum_mechanics
88164,book,kiefer_c:2004,,,2004,,Quantum Gravity,Quantum Gravity,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,kiefer_c,,,1:quantum_mechanics;2:quantum_gravity
