id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
90216,article,ko_hp:1988,,,1988,,Geometry Theorem Proving by Decomposition of Quasi-Algebraic Sets: An Application of the Ritt-Wu Principle,Geometry Theorem Proving by Decomposition of Quasi-Algebraic Sets: An Application of the Ritt-Wu Principle,,,,artificial-intelligence,37,1--3,95--122,95,,,,,,,,,,,,,,,,,,,english,false,,,ko_hp,,,1:ai;2:machine_reasoning;3:geometrical_reasoning_in_ai
90217,incollection,kobayashi_c-marion:2018,,,2018,,The Later Collingwood on Method: Re-Enactment and Abduction,The Later Collingwood on Method: Re-Enactment and Abduction,,,,,,,229--248,229,,,,,,,,,,,,,,,,,,,english,false,,,kobayashi_c;marion_m,,,1:explanation;2:abduction
90218,book,kobayashi_m:1993,,,1993,,La philosophie naturelle de Descartes,La philosophie naturelle de Descartes,,,,,,,,,,,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,kobayashi_m,,,1:science
90219,incollection,kobayashi_m:1996,,,1996,,L'articulation de la physique et de la m{\'e}taphysique dans les Principia,L'articulation de la physique et de la métaphysique dans les Principia,,,,,,,381--408,381,,,,,,,,,,,,,,,,,,,french,false,,,kobayashi_m,,,1:physics;2:history_of_physics;3:descartes_physics
90220,incollection,kobayashi_m:1997,,,1997,,Cr{\'e}ation et contingence selon Descartes et Duns Scot,Création et contingence selon Descartes et Duns Scot,,,,,,,75--89,75,,,,,,,,,,,,,,,,,,,french,false,,,kobayashi_m,,,1:modality;2:eternal_truths
90221,incollection,kobayashi_m:1997a,,,1997,,R{\'e}ception et critique de Descartes au Japon -- Le cas de Kitar{\=o} Nishida,Réception et critique de Descartes au Japon – Le cas de Kitarō Nishida,,,,,,,41--56,41,,,,,,,,,,,,,,,,,,,french,false,,,kobayashi_m,,,1:history_of_philosophy
90222,incollection,kobayashi_t:2001,,,2001,,Discontinuous Groups for Non-Riemannian Homogeneous Spaces,Discontinuous Groups for Non-Riemannian Homogeneous Spaces,,,,,,,723--747,723,,,,,,,,,,,,,,,,,,,english,false,,,kobayashi_t,,,1:mathematics;2:algebra
90223,UNKNOWN,kobele:2006,,,2006,,Generating Copies: An investigation into structural identity in language and grammar,Generating Copies: An investigation into structural identity in language and grammar,,,,,,,,,,,"Los Angeles, California",,university_of_california,,PhD dissertation,,,,,,,,,,,,english,false,,,kobele,,,1:representation;2:metaphysics_of_words
90224,book,kober-michel:2011,,,2011,,John Searle,John Searle,,,,,,,,,,nachgedacht,Paderborn,,,mentis-verlag,,,,,,,,,,,,,ngerman,false,,,kober;michel_jg,,,1:history_of_philosophy
90225,article,kober:1998,,,1998,,Kripkenstein Meets the Chinese Room: Looking for the Place of Meaning from a Natural Point of View,Kripkenstein Meets the Chinese Room: Looking for the Place of Meaning from a Natural Point of View,,,,inquiry,41,3,317--332,317,,,,,,,,,,,,,,,,,,,english,false,,,kober,,,1:representation;2:meaning
90226,incollection,kober:2006,,,2006,,"Social Action, Collective Responsibility, and the Difficulties of Social Decision Making","Social Action, Collective Responsibility, and the Difficulties of Social Decision Making",,,,,,,181--192,181,,,,,,,,,,,,,,,,,,,english,false,,,kober,,,1:action;2:collective_action
90227,incollection,koberinski-mueller:2018,,,2018,,Quantum Theory as a Principle Theory: Insights from an Information-Theoretic Reconstruction,Quantum Theory as a Principle Theory: Insights from an Information-Theoretic Reconstruction,,,,,,,257--280,257,,,,,,,,,,,,,,,,,,,english,false,,,koberinski;mueller_map,,,1:quantum_mechanics
90228,article,koberinski-smeenk:2020,,,2020,,"Q.E.D., QED","Q.E.D., QED",,,,studies-in-history-and-philosophy-of-science-part-b-studies-in-history-and-philosophy-of-modern-physics,71,,1--13,1,,,,,,,,,,,,,,,,,10.1016/j.shpsb.2020.03.003,,english,false,,,koberinski;smeenk,,,
90229,article,koberinski:2022,,,2022,,Fundamental ``Constants'' and Precision Tests of the Standard Model,Fundamental “Constants” and Precision Tests of the Standard Model,,,,philosophy-of-science,89,5,1255--1264,1255,,,,,,,,,,,,,,,,,10.1017/psa.2022.41,,english,false,,,koberinski,,,
90230,article,kobes:1989,,,1989,,Semantics and Psychological Prototypes,Semantics and Psychological Prototypes,,,,pacific-philosophical-quarterly,70,,1--18,1,,,,,,,,,,,,,,,,,,,english,false,,,kobes,,,1:representation;2:meaning
90231,incollection,kobes:1990,,,1990,,Individualism and Artificial Intelligence,Individualism and Artificial Intelligence,,,,,,,429--459,429,,,,,,,,,,,,,,,,,,,english,false,,,kobes,,,1:ai
90232,article,kobes:1991,,,1991,,On a Model for Psycho-Neural Coevolution,On a Model for Psycho-Neural Coevolution,,,,behavior-and-philosophy,19,,1--17,1,,,,,,,,,,,,,,,,,,,english,false,,,kobes,,,1:psychology
90233,incollection,kobes:1995,,,1995,,Telic Higher-Order Thoughts and Moore's Paradox,Telic Higher-Order Thoughts and Moore's Paradox,,,,,,,291--312,291,,,,,,,,,,,,,,,,,,,english,false,,,kobes,,,1:belief;2:moore_s_paradox
90234,article,kobes:1996,,,1996,,Mental Content and Hot Self-Knowledge,Mental Content and Hot Self-Knowledge,,,,philosophical-topics,24,1,71--99,71,,,,,,,,,Reprinted in \citet[201--228]{hahn_m-ramberg:2003},Reprinted in Hahn and Ramberg (2003),,,,,,,,,english,false,,,kobes,,,1:representation;2:mental_representation;3:mental_content
90235,article,kobes:2000,,,2000,,Unity of Consciousness and Bi-Level Externalism,Unity of Consciousness and Bi-Level Externalism,,,,mind-and-language,15,,528--544,528,,,,,,,,,,,,,,,,,,,english,false,,,kobes,,,2:consciousness
90236,article,kobes:2007,,,2007,,The Philosopher's Projective Error [on \citet{thau:2002}],The Philosopher's Projective Error [on Thau (2002)],,,,philosophical-studies,132,3,581--593,581,,,,,,,,,,,,,,,,,10.1007/s11098-005-2975-0,,english,false,,,kobes,,,1:perception
90237,incollection,kobes:2010,,,2010,,Burge's Dualism,Burge's Dualism,,,,,,,215--232,215,,,,,,,,,,,,,,,,,,,english,false,,,kobes,,,1:mind_body;2:physicalism
90238,incollection,kobiela:2014,,,2014,,The Causal Structure of the World in Ingarden's Ontology,The Causal Structure of the World in Ingarden's Ontology,,,,,,,93--112,93,,,,,,,,,,,,,,,,,,,english,false,,,kobiela,,,1:causation
90239,incollection,koblitz:2001,,,2001,,Cryptography,Cryptography,,,,,,,749--769,749,,,,,,,,,,,,,,,,,,,english,false,,,koblitz,,,1:mathematics
90240,book,kobow_bs:2007,,,2007,,See What I Mean: Understanding FIlms as Communicative Actions,See What I Mean: Understanding FIlms as Communicative Actions,,,,,,,,,,,Paderborn,,,mentis-verlag,,,,,,,,,,,,,english,false,,,kobow_bs,,,1:aesthetics;2:film
90241,book,kobrinskii-trakhtenbrot:1965,,,1965,,Introduction to the Theory of Finite Automata,Introduction to the Theory of Finite Automata,,,,,,38,,,,studies_in_logic_and_the_foundations_of_mathematics,Amsterdam,,,north-holland-publishing-co,,,,,,,,,,,,,english,false,,,kobrinskii;trakhtenbrot,,,1:logic;2:proof_theory;3:recursion_theory
90242,book,kobsa-wahlster:1989,,,1989,,User Models in Dialog Systems,User Models in Dialog Systems,User Models in Dialog Systems,User Models in Dialog Systems,,,,,,,,,Berlin,,,springer,,,,,,,,,,,,,english,false,,,,kobsa;wahlster,,1:computation;2:computer_science
90243,incollection,kobsa-wahlster:1989a,,,1989,,User Models in Dialog Systems,User Models in Dialog Systems,,,,,,,4--34,4,,,,,,,,,,,,,,,,,,,english,false,,,kobsa;wahlster,,,1:computation;2:computer_science
90244,book,kobsa-wahlster:1989b,,,1989,,Rule-Based Expert Systems: The {MYCIN} Experiments of the Stanford Heuristic Programming Project,Rule-Based Expert Systems: The MYCIN Experiments of the Stanford Heuristic Programming Project,Rule-Based Expert Systems: The {MYCIN} Experiments of the Stanford Heuristic Programming Project,Rule-Based Expert Systems: The MYCIN Experiments of the Stanford Heuristic Programming Project,,,,,,,,,"Reading, Massachusetts",,,addison-wesley,,,,,,,,,,,,,english,false,,,,kobsa;wahlster,,1:linguistics
90245,incollection,kobsa:1989,,,1989,,A Taxonomy of Beliefs and Goals for User Models in Dialog Systems,A Taxonomy of Beliefs and Goals for User Models in Dialog Systems,,,,,,,52--73,52,,,,,,,,,,,,,,,,,,,english,false,,,kobsa,,,1:computation;2:computer_science
90246,book,kobusch-mojsisch:1996,,,1996,,Platon -- Seine Dialoge in der Sicht neuer Forschungen,Platon – Seine Dialoge in der Sicht neuer Forschungen,Platon -- Seine Dialoge in der Sicht neuer Forschungen,Platon – Seine Dialoge in der Sicht neuer Forschungen,,,,,,,,,Darmstadt,,,wissenschaftliche-buchgesellschaft,,,,,,,,,,,,,ngerman,false,,,,kobusch;mojsisch,,1:history_of_philosophy
90247,book,kobusch:1987,,,1987,,Sein und Sprache.~Historische Grundlegung einer Ontologie der Sprache,Sein und Sprache. Historische Grundlegung einer Ontologie der Sprache,,,,,,11,,,,studien_zur_problemgeschichte_der_antiken_und_mittelalterlichen_philosophie,Leiden,,,ej-brill,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:ontology
90248,incollection,kobusch:1994,,,1994,,Kunstwissen und sittliches Wissen in der Philosophie des Nominalismus,Kunstwissen und sittliches Wissen in der Philosophie des Nominalismus,,,,,,,499--516,499,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:ontology;2:abstract_objects;3:nominalism_about_abstract_objects
90249,incollection,kobusch:1996a,,,1996,,Ens inquantum ens und ens rationis.~Ein aristotelisches Problem in der Philosophie des Duns Scotus und Wilhelms von Ockham,Ens inquantum ens und ens rationis. Ein aristotelisches Problem in der Philosophie des Duns Scotus und Wilhelms von Ockham,,,,,,,157--176,157,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:ontology;2:being;3:being_qua_being
90250,incollection,kobusch:2003,,,2003,,"Gott und die Transzendentalien: Von der Erkenntnis des Inklusiven, Impliziten, Konfusen und Unbewussten","Gott und die Transzendentalien: Von der Erkenntnis des Inklusiven, Impliziten, Konfusen und Unbewussten",,,,,,,421--432,421,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:ontology;2:being;3:transcendentals
90251,incollection,kobusch:2008,,,2008,,The Language of Angels: On the Subjectivity and Intersubjectivity of Pure Spirits,The Language of Angels: On the Subjectivity and Intersubjectivity of Pure Spirits,,,,,,,131--142,131,,,,,,,,,,,,,,,,,,,english,false,,,kobusch,,,1:religion;2:angels
90252,incollection,kobusch:2009,,,2009,,Die Auferstehung des Leibes,Die Auferstehung des Leibes,,,,,,,493--510,493,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:religion;2:immortality;3:resurrection
90253,book,kobusch:2011,,,2011,,"Geschichte der Philosophie, Band V: Die Philosophie des Hoch- und Sp{\""a}tmittelalters","Geschichte der Philosophie, Band V: Die Philosophie des Hoch- und Spätmittelalters",,,,,,,,,,,"M{\""u}nchen",,,ch-beck,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:history_of_philosophy
90254,incollection,kobusch:2011a,,,2011,,Wirkungsgeschichte des platonischen \emph{Phaidon},Wirkungsgeschichte des platonischen Phaidon,,,,,,,175--188,175,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:history_of_philosophy
90255,incollection,kobusch:2011b,,,2011,,\emph{Pia Philosophia -- Prisca Theologia}.~Die Idee vom Universalen Christentum,Pia Philosophia – Prisca Theologia. Die Idee vom Universalen Christentum,,,,,,,673--688,673,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:religion
90256,incollection,kobusch:2013,,,2013,,Descartes' \emph{Meditations}: Practical Metaphysics.~The Father of Rationalism in the Tradition of Spiritual Exercises,Descartes' Meditations: Practical Metaphysics. The Father of Rationalism in the Tradition of Spiritual Exercises,,,,,,,167--183,167,,,,,,,,,,,,,,,,,,,english,false,,,kobusch,,,1:religion;2:religious_experience;3:mysticism
90257,incollection,kobusch:2018a,,,2018,,"Das Moralische: Der absolute Standpunkt.~Kants Metaphysik der Sitten und ihre Herausforderung f{\""u}r das moderne Denken",Das Moralische: Der absolute Standpunkt. Kants Metaphysik der Sitten und ihre Herausforderung für das moderne Denken,,,,,,,54--93,54,,,,,,,,,,,,,,,,,,,ngerman,false,,,kobusch,,,1:ethics
90258,article,kobylecki:1934,,,1934,,O relacij jako podstawowej i pierwotnej idei,O relacij jako podstawowej i pierwotnej idei,,,,przeglad-filozoficzny,37,,347--353,347,,,,,,,,,,,,,,,,,,,polish,false,,,kobylecki,,,1:structuralism;2:relations
90259,incollection,kobylecki:1936,,,1936,,Relation as a Primitive and Fundamental Idea of Mathematical Logic and of Philosophy,Relation as a Primitive and Fundamental Idea of Mathematical Logic and of Philosophy,,,,,,,226--231,226,,,,,,,,,,,,,,,,,,,english,false,,,kobylecki,,,1:structuralism;2:relations
