id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
91804,article,kraaij-etal:2003,,,2003,,Embedding Web-Based Statistical Translation Models in Cross-Linguistic Information Retrieval,Embedding Web-Based Statistical Translation Models in Cross-Linguistic Information Retrieval,,,,computational-linguistics,28,28,3,3,381--419,381,,,,,,,,,,,,,,,,,,,english,false,,,kraaij;nie_jy;simard_m,,,1:linguistics
91805,article,kraal:2011,,,2011,,Logic and Divine Simplicity,Logic and Divine Simplicity,,,,philosophy-compass,6,6,4,4,282--294,282,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:religion;2:divine_attributes;3:divine_simplicity
91806,article,kraal:2011a,,,2011,,Teaching \& Learning Guide for: Logic and Divine Simplicity,Teaching & Learning Guide for: Logic and Divine Simplicity,,,,philosophy-compass,6,6,8,8,572--574,572,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:religion;2:divine_attributes;3:divine_simplicity
91807,article,kraal:2012,,,2012,,Hedenius' Soteriological Argument from Evil,Hedenius' Soteriological Argument from Evil,,,,european-journal-for-philosophy-of-religion,4,4,4,4,123--138,123,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:religion;2:problem_of_evil
91808,article,kraal:2013,,,2013,,A Humean Objection to Plantinga's Quantitative Free Will Defense,A Humean Objection to Plantinga's Quantitative Free Will Defense,,,,international-journal-for-philosophy-of-religion,73,73,3,3,221--233,221,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:religion;2:problem_of_evil;3:free_will_defense
91809,article,kraal:2013a,,,2013,,"The Emergence of Logical Formalization in the Philosophy of Religion: Genesis, Crisis, and Rehabilitation","The Emergence of Logical Formalization in the Philosophy of Religion: Genesis, Crisis, and Rehabilitation",,,,history-and-philosophy-of-logic,34,34,4,4,351--366,351,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:religion
91810,article,kraal:2014,,,2014,,The Aim of Russell's Early Logicism: A Reinterpretation,The Aim of Russell's Early Logicism: A Reinterpretation,,,,synthese,191,191,7,7,1493--1510,1493,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:mathematics
91811,article,kraal:2014a,,,2014,,Has Plantinga ``Buried'' Mackie's Logical Argument from Evil?,Has Plantinga “Buried” Mackie's Logical Argument from Evil?,,,,international-journal-for-philosophy-of-religion,75,75,3,3,189--196,189,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:religion;2:problem_of_evil
91812,article,kraal:2018,,,2018,,Critical Notice of \citet{harris_ja:2015},Critical Notice of Harris (2015),,,,canadian-journal-of-philosophy,48,48,1,1,129--141,129,,,,,,,,,,,,,,,,,,,english,false,,,kraal,,,1:history_of_philosophy
91813,article,kraay_k-dragos:2013,,,2013,,On Preferring God's Non-Existence,On Preferring God's Non-Existence,,,,canadian-journal-of-philosophy,43,43,2,2,157--178,157,,,,,,,,,,,,,,,,,,,english,false,,,kraay_k;dragos_c,,,1:religion
