id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
92973,article,kubala:2017,,,2017,,Valuing and Believing Valuable,Valuing and Believing Valuable,,,,analysis,77,1,59--65,59,,,,,,,,,,,,,,,,,,,english,false,,,kubala,,,
92974,article,kubala:2020,,,2020,,Aesthetic Obligations,Aesthetic Obligations,,,,philosophy-compass,15,12,e12712,,e12712,,,,,,,,,,,,,,,,10.1111/phc3.12712,,english,false,,,kubala,,,1:aesthetics
92975,book,kubalica_t:2017,,,2017,,"Unm{\""o}glichkeit der Erkenntnistheorie.~Leonard Nelsons Kritik an der Erkenntnistheorie unter besonderer Ber{\""u}cksichtigung des Neukantianismus",Unmöglichkeit der Erkenntnistheorie. Leonard Nelsons Kritik an der Erkenntnistheorie unter besonderer Berücksichtigung des Neukantianismus,,,,,,,,,,polish_contemporary_philosophy_and_philosophical_humanities,Frankfurt a.M.,,,peter-lang,,,,,,,,,,,,,ngerman,false,,,kubalica_t,,,1:epistemology
92976,article,kubat:1991,,,1991,,Conceptual Inductive Learning: The Case of Unreliable Teachers,Conceptual Inductive Learning: The Case of Unreliable Teachers,,,,artificial-intelligence,52,2,169--182,169,,,,,,,,,,,,,,,,,,,english,false,,,kubat,,,1:ai;2:machine_learning
92977,incollection,kubbinga_h:1999,,,1999,,Le concept d'\emph{elaxhiston} chez Aristote et ses principaux commentateurs grecs,Le concept d'elaxhiston chez Aristote et ses principaux commentateurs grecs,,,,,,,47--68,47,,,,,,,,,,,,,,,,,,,french,false,,,kubbinga_h,,,1:history_of_philosophy
92978,book,kube_c:2018,,,2018,,"Die Frage der Kehre.~Eine kritische Darstellung der Zeittheorie Martin Heideggers im Hinblick auf die Z{\""a}sur zwischen Fr{\""u}h- und Sp{\""a}twerk",Die Frage der Kehre. Eine kritische Darstellung der Zeittheorie Martin Heideggers im Hinblick auf die Zäsur zwischen Früh- und Spätwerk,,,,,,,,,,,"W{\""u}rzburg",,,konigshausen-neumann,,,,,,,,,,,,,ngerman,false,,,kube_c,,,1:history_of_philosophy
92979,book,kube_j:1969,,,1969,,Texn{\=e} und Aret{\=e}.~Sophistisches und Platonisches Tugendwissen,Texnē und Aretē. Sophistisches und Platonisches Tugendwissen,,,,,,12,,,,quellen_und_studien_zur_geschichte_der_philosophie,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,,kube_j,,,1:ethics
92980,book,kubes_v:1986,,,1986,,Ontologie des Rechts,Ontologie des Rechts,,,,,,118,,,,schriften_zur_rechtstheorie,Berlin,,,duncker-humblot,,,,,,,,,,,,,ngerman,false,,,kubes_v,,,1:law
92981,incollection,kubik:2008,,,2008,,"Pers{\""o}nlichkeit Gottes?",Persönlichkeit Gottes?,,,,,,,211--226,211,,,,,,,,,,,,,,,,,,,ngerman,false,,,kubik,,,1:religion;2:god;3:personal_god
92982,article,kubitz:1939,,,1939,,Scepticism and Intuition in the Philosophy of Descartes,Scepticism and Intuition in the Philosophy of Descartes,,,,the-philosophical-review,48,5,472--491,472,,,,,,,,,,,,,,,,,,,english,false,,,kubitz,,,1:skepticism
