id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
93989,unpublished,kyburg_a-morreau:1998,,,1998,,Vague Utterances and Context Change,Vague Utterances and Context Change,,,,,,,,,,,,,,,,,,,Unpublished manuscript,Unpublished manuscript,,,,,,,,,english,false,,,kyburg_a;morreau,,,1:vagueness
93990,article,kyburg_a-morreau:2000,,,2000,,Fitting Words: Vague Language in Context,Fitting Words: Vague Language in Context,,,,linguistics-and-philosophy,23,23,6,6,577--597,577,,,,,,,,,,,,,,,,,,,english,false,,,kyburg_a;morreau,,,1:vagueness
93991,article,kyburg_a:2000,,,2000,,When Vague Sentences Inform: A Model of Assertability,When Vague Sentences Inform: A Model of Assertability,,,,synthese,124,124,,,175--192,175,,,,,,,,,,,,,,,,,,,english,false,,,kyburg_a,,,1:vagueness
93992,article,kydland_fe-prescott:1991,,,1991,,The Econometrics of the General Equilibrium Approach to Business Cycles,The Econometrics of the General Equilibrium Approach to Business Cycles,,,,scandinavian-journal-of-economics,93,93,2,2,161--178,161,,,,,,,,,Reprinted in \citet[181--198]{hoover_kd:1995},Reprinted in Hoover (1995),,,,,,,,,english,false,,,kydland_fe;prescott_e,,,1:economics
93993,article,kyle_b:2013,,,2013,,How are Thick Terms Evaluative?,How are Thick Terms Evaluative?,,,,philosophers-imprint,13,13,1,1,,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0013.001,,http://hdl.handle.net/2027/spo.3521354.0013.001,english,false,,,kyle_b,,,2:axiological_concepts;3:thick_concepts
93994,article,kyle_b:2013a,,,2013,,Knowledge as a Thick Concept: Explaining Why the Gettier Problem Arises,Knowledge as a Thick Concept: Explaining Why the Gettier Problem Arises,,,,philosophical-studies,165,165,1,1,1--27,1,,,,,,,,,,,,,,,,,10.1007/s11098-012-9919-2,,english,false,,,kyle_b,,,1:knowledge;2:gettier_cases
93995,article,kyle_b:2013b,,,2013,,Punishing and Atoning: A New Critique of Penal Substitution,Punishing and Atoning: A New Critique of Penal Substitution,,,,international-journal-for-philosophy-of-religion,74,74,2,2,201--218,201,,,,,,,,,,,,,,,,,,,english,false,,,kyle_b,,,1:religion;2:atonement
93996,article,kyle_b:2015,,,2015,,The New and Old Ignorance Puzzles: How Badly Do We Need Closure?,The New and Old Ignorance Puzzles: How Badly Do We Need Closure?,,,,synthese,192,192,5,5,1495--1525,1495,,,,,,,,,,,,,,,,,,,english,false,,,kyle_b,,,1:epistemology;2:epistemic_closure
93997,article,kyle_b:2017,,,2017,,"Courage, Cowardice, and Maher's Misstep","Courage, Cowardice, and Maher's Misstep",,,,canadian-journal-of-philosophy,47,47,4,4,565--587,565,,,,,,,,,,,,,,,,,,,english,false,,,kyle_b,,,1:ethics;3:courage
93998,article,kymlicka-donaldson:2016,,,2016,,Locating Animals in Political Philosophy,Locating Animals in Political Philosophy,,,,philosophy-compass,11,11,11,11,692--701,692,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka;donaldson_s,,,1:animals;2:animal_rights
93999,article,kymlicka-straehle:1999,,,1999,,"Cosmopolitanism, Nation-States, and Minority Nationalism: A Critical Review of Recent Literature","Cosmopolitanism, Nation-States, and Minority Nationalism: A Critical Review of Recent Literature",,,,european-journal-of-philosophy,7,7,1,1,65--88,65,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka;straehle,,,1:political_philosophy;2:international_relations;3:cosmopolitanism
94000,article,kymlicka:1989,,,1989,,Liberal Individualism and Liberal Neutrality,Liberal Individualism and Liberal Neutrality,,,,ethics,99,99,4,4,883--905,883,,,,,,,,,Reprinted in \citet[33--54]{weithman:1999},Reprinted in Weithman (1999),,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:liberalism;3:neutrality
94001,book,kymlicka:1990,,,1990,,Contemporary Political Philosophy.~An Introduction,Contemporary Political Philosophy. An Introduction,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,Second edition: \citet{kymlicka:2002},Second edition: Kymlicka (2002),,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy
94002,incollection,kymlicka:1990a,,,1990,,Property Rights and the Self-Ownership Argument,Property Rights and the Self-Ownership Argument,,,,,,,,,295--321,295,,,,,,,,,Reprinted from \citet{kymlicka:1990},Reprinted from Kymlicka (1990),,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:property;3:private_property
94003,incollection,kymlicka:1991,,,1991,,The Social Contract Tradition,The Social Contract Tradition,,,,,,,,,186--196,186,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:ethics
94004,article,kymlicka:1992,,,1992,,Two Models of Pluralism and Tolerance,Two Models of Pluralism and Tolerance,,,,analyse-kritik,13,13,1,1,33--56,33,,,,,,,,,Reprinted in \citet[81--100]{heyd_d:1996},Reprinted in Heyd (1996),,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:immigration
94005,article,kymlicka:1993,,,1993,,Reply to \citet{modood:1993a},Reply to Modood (1993),,,,analyse-kritik,15,15,1,1,92--96,92,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:immigration
94006,book,kymlicka:1995,,,1995,,Multicultural Citizenship: A Liberal Theory of Minority Rights,Multicultural Citizenship: A Liberal Theory of Minority Rights,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:political_tolerance;3:multiculturalism
94007,book,kymlicka:2001,,,2001,,"Politics in the Vernacular: Nationalism, Multiculturalism, and Citizenship","Politics in the Vernacular: Nationalism, Multiculturalism, and Citizenship",,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:nationalism
94008,book,kymlicka:2002,,,2002,,Contemporary Political Philosophy.~An Introduction,Contemporary Political Philosophy. An Introduction,,,,,,,,,,,,,Oxford,,,oxford-university-press,,2,First edition: \citet{kymlicka:1990},First edition: Kymlicka (1990),,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy
94009,incollection,kymlicka:2004,,,2004,,Dworkin on Freedom and Culture,Dworkin on Freedom and Culture,,,,,,,,,113--133,113,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:liberty
94010,incollection,kymlicka:2007,,,2007,,Community and Multiculturalism,Community and Multiculturalism,,,,,,,,,463--477,463,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:political_tolerance;3:multiculturalism
94011,incollection,kymlicka:2017,,,2017,,Afterword: Realigning Multiculturalism and Animal Rights,Afterword: Realigning Multiculturalism and Animal Rights,,,,,,,,,295--305,295,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:animals;2:animal_rights
94012,article,kymlicka:2018,,,2018,,Human Rights Without Human Supremacism,Human Rights Without Human Supremacism,,,,canadian-journal-of-philosophy,48,48,6,6,763--792,763,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:rights;3:human_rights
94013,incollection,kymlicka:2018a,,,2018,,Linking Self-Determination and Human Rights: Comment on Peter \citet{jones_pe:2018},Linking Self-Determination and Human Rights: Comment on Peter Jones (2018),,,,,,,,,460--468,460,,,,,,,,,,,,,,,,,,,english,false,,,kymlicka,,,1:political_philosophy;2:rights;3:human_rights
94014,incollection,kymlicka:2020,,,2020,,"Multikulturalismus ohne Staatsb{\""u}rgerschaft?",Multikulturalismus ohne Staatsbürgerschaft?,,,,,,,,,385--408,385,,,,,,,,,,,,,,,,,,,german,false,,,kymlicka,,,1:political_philosophy;2:immigration
94015,book,kyriacou_c-mckenna:2018,,,2018,,Metaepistemology.~Realism and Anti-Realism,Metaepistemology. Realism and Anti-Realism,Metaepistemology.~Realism and Anti-Realism,Metaepistemology. Realism and Anti-Realism,,,,,,,,,,innovations_in_philosophy,London,,,palgrave-macmillan,,,,,,,,,,,,,english,false,,,,kyriacou_c;mckenna_r,,1:epistemology;2:metaepistemology
94016,incollection,kyriacou_c-mckenna:2018a,,,2018,,Introduction,Introduction,,,,,,,,,1--14,1,,,,,,,,,,,,,,,,,,,english,false,,,kyriacou_c;mckenna_r,,,1:epistemology;2:metaepistemology
94017,article,kyriacou_c:2016,,,2016,,Are Evolutionary Debunking Arguments Self-Debunking?,Are Evolutionary Debunking Arguments Self-Debunking?,,,,philosophia,44,44,4,4,1351--1366,1351,,,,,,,,,,,,,,,,,,,english,false,,,kyriacou_c,,,1:ethics;2:evolutionary_ethics;3:debunking_of_ethical_norms
94018,article,kyriacou_c:2017,,,2017,,Review of \citet{macfarlane_j:2014},Review of MacFarlane (2014),,,,dialectica,71,71,2,2,322--332,322,,,,,,,,,,,,,,,,,10.1111/1746-8361.12183,,english,false,,,kyriacou_c,,,1:truth;2:relative_truth
94019,incollection,kyriacou_c:2018,,,2018,,From \emph{Moral} Fixed Points to \emph{Epistemic} Fixed Points,From Moral Fixed Points to Epistemic Fixed Points,,,,,,,,,71--96,71,,,,,,,,,,,,,,,,,,,english,false,,,kyriacou_c,,,1:epistemology;2:metaepistemology
94020,article,kyriacou_c:2021,,,2021,,Varieties of Skeptical Invariantism I,Varieties of Skeptical Invariantism I,,,,philosophy-compass,16,16,10,10,e12739,,e12739,,,,,,,,,,,,,,,,10.1111/phc3.12739,,english,false,,,kyriacou_c,,,1:epistemology;2:epistemic_contextualism;3:epistemic_invariantism
94021,article,kyriacou_c:2021a,,,2021,,Varieties of Skeptical Invariantism II,Varieties of Skeptical Invariantism II,,,,philosophy-compass,16,16,10,10,e12758,,e12758,,,,,,,,,,,,,,,,10.1111/phc3.12758,,english,false,,,kyriacou_c,,,1:epistemology;2:epistemic_contextualism;3:epistemic_invariantism
94022,incollection,kyriacou_cp:2002,,,2002,,The Genetics of Time,The Genetics of Time,,,,,,,,,65--84,65,,,,,,,,,,,,,,,,,,,english,false,,,kyriacou_cp,,,1:time
94023,incollection,kyrlezhev_a:2003,,,2003,,The Dogma of the Trinity and Its Social-Political Implications,The Dogma of the Trinity and Its Social-Political Implications,,,,,,,,,189--194,189,,,,,,,,,,,,,,,,,,,english,false,,,kyrlezhev_a,,,1:religion;2:god;3:trinity
