id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
100662,article,llamzon:1965,,,1965,,Supposital and Accidental Esse.~A Study in Banez,Supposital and Accidental Esse. A Study in Banez,,,,the-new-scholasticism,39,39,2,2,170--188,170,,,,,,,,,,,,,,,,,,,english,false,,,llamzon,,,1:ontology;2:being
100663,incollection,llanera:2020,,,2020,,Rorty and Nihilism,Rorty and Nihilism,,,,,,,,,482--489,482,,,,,,,,,,,,,,,,,,,english,false,,,llanera,,,2:value_skepticism
100664,book,llano:1960,,,1960,,El problema del voluntarismo en Descartes,El problema del voluntarismo en Descartes,,,,,,,,,,,,,Buenos Aires,,,instituto-de-humanidades-universidad-nacional-del-sur,,,,,,,,,,,,,spanish,false,,,llano,,,2:will
100665,book,llano:1984,,,1984,,Metaf{\'{\i}}sica y Lenguaje,Metafísica y Lenguaje,,,,,,,,,,,,,Pamplona,,,eunsa,,,,,,,,,,,,,spanish,false,,,llano,,,1:metaphysics
100666,incollection,llano:2008,,,2008,,First Principles and Practical Philosophy,First Principles and Practical Philosophy,,,,,,,,,175--186,175,,,,,,,,,,,,,,,,,,,english,false,,,llano,,,1:law;2:natural_law
100667,article,llano:2012,,,2012,,Metafisica tommasiana e filosofia analitica del linguaggio: i sensi dell'essere,Metafisica tommasiana e filosofia analitica del linguaggio: i sensi dell'essere,,,,rivista-teologica-di-lugano,17,17,3,3,339--348,339,,,,,,,,,,,,,,,,,,,italian,false,,,llano,,,1:ontology;2:being;3:modes_of_being
100668,article,llewelyn:1962,,,1962,,On Not Speaking the Same Language {I},On Not Speaking the Same Language I,,,,australasian-journal-of-philosophy,40,40,1,1,35--48,35,,,,,,,,,,,,,,,,,,,english,false,,,llewelyn,,,1:language
100669,article,llewelyn:1962a,,,1962,,On Not Speaking the Same Language {II},On Not Speaking the Same Language II,,,,australasian-journal-of-philosophy,40,40,2,2,127--145,127,,,,,,,,,,,,,,,,,,,english,false,,,llewelyn,,,1:language
100670,article,llewelyn:1964,,,1964,,Dialectical and Analytical Opposites,Dialectical and Analytical Opposites,,,,kant-studien,55,55,2,2,171--174,171,,,,,,,,,,,,,,,,,,,english,false,,,llewelyn,,,1:logic;2:negation
100671,book,llewelyn:1985,,,1985,,Beyond Metaphysics?,Beyond Metaphysics?,,,,,,,,,,,,,London,,,mac-millan-publishing-co,,,,,,,,,,,,,english,false,,,llewelyn,,,1:metaphysics;2:metametaphysics
