id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
100798,incollection,lo_nys:2009,,,2009,,Is Hume Inconsistent? -- Motivation and Morals,Is Hume Inconsistent? – Motivation and Morals,,,,,,,57--79,57,,,,,,,,,,,,,,,,,,,english,false,,,lo_nys,,,1:action;2:motivation
100799,article,lo_tc:2020,,,2020,,The Gap Problem Made Easy?,The Gap Problem Made Easy?,,,,analysis,80,3,486--492,486,,,,,,,,,,,,,,,,,,,english,false,,,lo_tc,,,
100800,article,lo_ys:2001,,,2001,,The Land Ethic and Callicott's Ethical System (1980-2001): An Overview and Critique,The Land Ethic and Callicott's Ethical System (1980-2001): An Overview and Critique,,,,inquiry,44,3,331--358,331,,,,,,,,,,,,,,,,,,,english,false,,,lo_ys,,,1:ethics
100801,article,lo_ys:2002,,,2002,,On Lewis on Egoism \emph{de se} and \emph{de dicto},On Lewis on Egoism de se and de dicto,,,,proceedings-of-the-aristotelian-society,102,,295--299,295,,,,,,,,,,,,,,,,,,,english,false,,,lo_ys,,,1:representation;2:de_se;3:egocentric_beliefs
100802,article,lo_ys:2006,,,2006,,Making and Finding Values in Nature: From a Humean Point of View,Making and Finding Values in Nature: From a Humean Point of View,,,,inquiry,49,2,123--147,123,,,,,,,,,,,,,,,,,,,english,false,,,lo_ys,,,
100803,incollection,loader_i-sparks:2012,,,2012,,Situating Criminology: On the Production and Consumption of Knowledge about Crime and Justice,Situating Criminology: On the Production and Consumption of Knowledge about Crime and Justice,,,,,,,3--38,3,,,,,,,,,,,,,,,,,,,english,false,,,loader_i;sparks_r,,,1:law;3:criminology
100804,article,loader_p:2012,,,2012,,The Epistemic/Pragmatic Dichotomy,The Epistemic/Pragmatic Dichotomy,,,,philosophical-explorations,15,2,219--232,219,,,,,,,,,,,,,,,,,,,english,false,,,loader_p,,,1:epistemology
100805,incollection,loades:1998,,,1998,,Feminist Interpretation,Feminist Interpretation,,,,,,,81--94,81,,,,,,,,,,,,,,,,,,,english,false,,,loades,,,1:religion;3:bible
100806,incollection,loar:1980,,,1980,,Ramsey's Theory of Belief and Truth,Ramsey's Theory of Belief and Truth,,,,,,,49--70,49,,,,,,,,,,,,,,,,,,,english,false,,,loar,,,1:truth
100807,book,loar:1981,,,1981,,Mind and Meaning,Mind and Meaning,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,loar,,,
