id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
109149,UNKNOWN,mcadamerb:1999,,,1999,,Natural Priority in the Metaphysics of Thomas Aquinas,Natural Priority in the Metaphysics of Thomas Aquinas,,,,,,,,,,,Toronto,,university_of_toronto,,PhD dissertation,,,,,,,,,,,https://hdl.handle.net/1807/12511,english,false,,,mcadamerb,,,1:epistemology;2:epistemic_contextualism
109150,incollection,mcadamerb:2007,,,2007,,Interior Peace: \emph{Inchoatio vitae aeternae},Interior Peace: Inchoatio vitae aeternae,,,,,,,260--281,260,,,,,,,,,,,,,,,,,,,english,false,,,mcadamerb,,,1:time;2:eternity
109151,article,mcadams:2005,,,2005,,Conformity to Inegalitarian Conventions and Norms: The Relevance of Coordination and Esteem,Conformity to Inegalitarian Conventions and Norms: The Relevance of Coordination and Esteem,,,,the-monist,88,2,238--259,238,,,,,,,,,,,,,,,,,,,english,false,,,mcadams,,,1:political_philosophy
109152,article,mcadoo:2002,,,2002,,Kant and the Problem of Dependent Beauty,Kant and the Problem of Dependent Beauty,,,,kant-studien,93,4,444--452,444,,,,,,,,,,,,,,,,,,,english,false,,,mcadoo,,,2:aesthetic_value;3:beauty
109153,incollection,mcafee_n:2017,,,2017,,Feminist Engagements with Democratic Theory,Feminist Engagements with Democratic Theory,,,,,,,642--651,642,,,,,,,,,,,,,,,,,,,english,false,,,mcafee_n,,,1:political_philosophy;2:feminism
109154,book,mcaleer_gj:2019,,,2019,,Erich Przywara and Postmodern Natural Law: A History of the Metaphysics of Morals,Erich Przywara and Postmodern Natural Law: A History of the Metaphysics of Morals,,,,,,,,,,,"Notre Dame, Indiana",,,university-of-notre-dame-press,,,,,,,,,,,10.2307/j.ctv19m625p,,english,false,,,mcaleer_gj,,,
109155,article,mcaleer_s:2007,,,2007,,An Aristotelian Account of Virtue Ethics: An Essay in Moral Taxonomy,An Aristotelian Account of Virtue Ethics: An Essay in Moral Taxonomy,,,,pacific-philosophical-quarterly,88,,207--225,207,,,,,,,,,,,,,,,,,,,english,false,,,mcaleer_s,,,1:ethics;2:virtue_ethics
109156,article,mcaleer_s:2012,,,2012,,Propositional Gratitude,Propositional Gratitude,,,,american-philosophical-quarterly,49,1,55--66,55,,,,,,,,,,,,,,,,,,,english,false,,,mcaleer_s,,,1:representation;2:objects_of_propositional_attitudes
109157,book,mcaleer_s:2022,,,2022,,Confucian and Stoic Perspectives on Forgiveness,Confucian and Stoic Perspectives on Forgiveness,,,,,,,,,,,"Lanham, Maryland",,,lexington-books,,,,,,,,,,,,,english,false,,,mcaleer_s,,,
109158,article,mcalister:1970,,,1970,,Franz Brentano and Intentional Inexistence,Franz Brentano and Intentional Inexistence,,,,journal-of-the-history-of-philosophy,8,4,423--430,423,,,,,,,,,,,,,,,,,,,english,false,,,mcalister,,,2:intentionality
