id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
115291,article,moad:2007,,,2007,,"Reasons, Resultance and Moral Particularism","Reasons, Resultance and Moral Particularism",,,,the-philosophical-quarterly,57,57,226,226,112--116,112,,,,,,,,,,,,,,,,,,,english,false,,,moad,,,1:ethics
115292,article,moad:2007a,,,2007,,A Path to the Oasis: ``Shar{\={i}}'ah'' and Reason in Islamic Moral Epistemology,A Path to the Oasis: “Sharī'ah” and Reason in Islamic Moral Epistemology,,,,international-journal-for-philosophy-of-religion,62,62,3,3,135--148,135,,,,,,,,,,,,,,,,,,,english,false,,,moad,,,1:religion;2:epistemology_of_religion
115293,article,moad:2008,,,2008,,Can Minimalism Account for the Value of Truth?,Can Minimalism Account for the Value of Truth?,,,,disputatio,2,2,24,24,271--279,271,,,,,,,,,,,,,,,,,,,english,false,,,moad,,,1:truth;2:value_of_truth
115294,book,moates-butrick:1987,,,1987,,{OUIC'86}.~Proceedings Inference,OUIC'86. Proceedings Inference,{OUIC'86}.~Proceedings Inference,OUIC'86. Proceedings Inference,,,,,,,,,,,"Columbus, Ohio",,,ohio-state-university-press,,,,,,,,,,,,,english,false,,,,moates;butrick,,1:proceedings
115295,incollection,moati_r:2011,,,2011,,Langage ordinaire et vouloir dire: Stanley Cavell d{\'e}fenseur critique d'Austin,Langage ordinaire et vouloir dire: Stanley Cavell défenseur critique d'Austin,,,,,,,,,469--492,469,,,,,,,,,,,,,,,,,,,french,false,,,moati_r,,,1:representation;2:expressing
115296,book,moatti_c:2015,,,2015,,The Birth of Critical Thinking in Republican Rome,The Birth of Critical Thinking in Republican Rome,,,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/cbo9781139025959,,english,false,,,moatti_c,,,1:history_of_philosophy
115297,article,moberger:2017,,,2017,,Not Just Errors: A New Interpretation of Mackie's Error Theory,Not Just Errors: A New Interpretation of Mackie's Error Theory,,,,journal-for-the-history-of-analytical-philosophy,5,5,3,3,,,,,,,,,,,,,,,,,,,,,english,false,,,moberger,,,1:ethics;2:metaethics;3:error_theory
115298,incollection,moberly:2001,,,2001,,The Christ of the Old and New Testament,The Christ of the Old and New Testament,,,,,,,,,184--199,184,,,,,,,,,,,,,,,,,,,english,false,,,moberly,,,1:religion;2:god;3:christology
115299,incollection,moberly:2011,,,2011,,Miracles in the Hebrew Bible,Miracles in the Hebrew Bible,,,,,,,,,57--74,57,,,,,,,,,,,,,,,,,,,english,false,,,moberly,,,1:causation;2:causal_closure;3:miracles
115300,incollection,moberly:2016,,,2016,,The Old Testament in Christianity,The Old Testament in Christianity,,,,,,,,,388--406,388,,,,,,,,,,,,,,,,,,,english,false,,,moberly,,,1:religion;3:bible
115301,article,mobini:2013,,,2013,,Alston's Anti-Justificationism as a Strategy to Resolve the Conflict between Internalism and Externalism,Alston's Anti-Justificationism as a Strategy to Resolve the Conflict between Internalism and Externalism,,,,the-heythrop-journal,54,54,,,197--202,197,,,,,,,,,,,,,,,,,,,english,false,,,mobini,,,1:epistemology;2:epistemic_internalism_externalism
115302,article,mocanu-weiner:1980,,,1980,,The Striving for Totality,The Striving for Totality,,,,the-southwestern-journal-of-philosophy,11,11,3,3,143--153,143,,,,,,,,,,,,,,,,,,,english,false,,,mocanu;weiner_r,,,1:metaphysics;2:totality
115303,UNKNOWN,moccetti_a:1985,,,1985,,Echi biblici nel Canzoniere del Petrarca,Echi biblici nel Canzoniere del Petrarca,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,italian,false,,,moccetti_a,,,
115304,incollection,mocchi:2001,,,2001,,L'amore di s{\'e} tra passione e virt{\`u},L'amore di sé tra passione e virtù,,,,,,,,,123--131,123,,,,,,,,,,,,,,,,,,,italian,false,,,mocchi,,,1:ethics
115305,article,mocek:1990,,,1990,,Von Hegel zu Luk{\'a}cs.~Das Ontologieproblem in gesellschafts-und naturtheoretischer Sicht,Von Hegel zu Lukács. Das Ontologieproblem in gesellschafts-und naturtheoretischer Sicht,,,,deutsche-zeitschrift-fur-philosophie,38,38,6,6,541--550,541,,,,,,,,,,,,,,,,,,,german,false,,,mocek,,,1:ontology
115306,incollection,mocek:1991,,,1991,,Two Faces of Biologism: Some Reflections on a Difficult Period in the History of Biology in Gennany,Two Faces of Biologism: Some Reflections on a Difficult Period in the History of Biology in Gennany,,,,,,,,,279--292,279,,,,,,,,,,,,,,,,,,,english,false,,,mocek,,,1:biology
