id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
121399,incollection,ng_ht-etal:2000,,,2000,,A Machine Learning Approach to Answering Questions for Reading Comprehension Tests,A Machine Learning Approach to Answering Questions for Reading Comprehension Tests,,,,,,,123--132,,,,,,,,,,,,,,,,,,,,false,,ng_ht;hweetwo;laiphengkwan,,,1:linguistics;2:corpus_linguistics
121400,incollection,ng_ht-lee:1996,,,1996,,Integrating Multiple Knowledge Sources to Disambiguate Word Sense: An Exemplar-Based Approach,Integrating Multiple Knowledge Sources to Disambiguate Word Sense: An Exemplar-Based Approach,,,,,,,40--47,,,,,,,,,,,,,,,,,,,,false,,ng_ht;lee_hb,,,1:linguistics;2:disambiguation
121401,incollection,ng_ht-mooney:1990,,,1990,,The Role of Coherence in Constructing and Evaluating Abductive Explanations,The Role of Coherence in Constructing and Evaluating Abductive Explanations,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,ng_ht;mooney_rj,,,1:explanation;2:abduction;3:abduction_in_ai
121402,incollection,ng_ht-mooney:1992,,,1992,,Abductive Plan Recognition and Diagnosis: A Comprehensive Empirical Investigation,Abductive Plan Recognition and Diagnosis: A Comprehensive Empirical Investigation,,,,,,,499--508,,,,,,,,,,,,,,,,,,,,false,,ng_ht;mooney_rj,,,1:information;2:knowledge_representation
121403,article,ng_ht-zelle:1998,,,1998,,Corpus-Based Approaches to Semantic Interpretation in Natural Language Processing,Corpus-Based Approaches to Semantic Interpretation in Natural Language Processing,,,,the-ai-magazine,18,4,45--64,,,,,,,,,,,,,,,,,,,,false,,ng_ht;zelle_j,,,1:linguistics;2:corpus_linguistics
121404,incollection,ng_ht:1997,,,1997,,Exemplar-Based Word Sense Disambiguation: Some Recent Improvements,Exemplar-Based Word Sense Disambiguation: Some Recent Improvements,,,,,,,208--213,,,,,,,,,,,,,,,,,,,,false,,ng_ht,,,1:linguistics;2:logic_for_natural_language;3:natural_language_programming
121405,article,ng_k:2009,,,2009,,Hegel's Logic of Actuality,Hegel's Logic of Actuality,,,,the-review-of-metaphysics,63,1,139--172,,,,,,,,,,,,,,,,,,,,false,,ng_k,,,1:modality;2:actualism
121406,book,ng_k:2020,,,2020,,"Hegel's Concept of Life: Self-Consciousness, Freedom, Logic","Hegel's Concept of Life: Self-Consciousness, Freedom, Logic",,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780190947613.001.0001,,,false,,ng_k,,,1:biology;2:life
121407,incollection,ng_m:1987,,,1987,,Is Face the Same as \emph{Li}?,Is Face the Same as Li?,,,,,,,423--430,,,,,,,,,,,,,,,,,,,,false,,ng_m,,,1:rationality
121408,incollection,ng_m:2017,,,2017,,Critical Rationalism Applied: A Footnote to \emph{The Siblinghood of Humanity},Critical Rationalism Applied: A Footnote to The Siblinghood of Humanity,,,,,,,243--250,,,,,,,,,,,,,,,,,,,,false,,ng_m,,,1:biology;2:evolution;3:human_evolution
