id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
123379,incollection,obbink:1992,,,1992,,`What all men believe -- must be true': Common Conceptions and \emph{consensio omnium} in Aristotle and Hellenistic Philosophy,‘What all men believe – must be true': Common Conceptions and consensio omnium in Aristotle and Hellenistic Philosophy,,,,,,,,,193--232,193,,,,,,,,,,,,,,,,,,,english,false,,,obbink,,,1:truth;2:consensus_theory_of_truth
123380,incollection,obbink:1997,,,1997,,The Mooring of Philosophy: A Review of \citet{indelli-tsounamckirahan:1995},The Mooring of Philosophy: A Review of Indelli and Tsouna McKirahan (1995),,,,,,,,,259--282,259,,,,,,,,,,,,,,,,,,,english,false,,,obbink,,,1:feeling;2:pleasure
123381,incollection,obbink:2002,,,2002,,`All Gods are True' in Epicurus,‘All Gods are True' in Epicurus,,,,,,,,,183--222,183,,,,,,,,,,,,,,,,,,,english,false,,,obbink,,,1:religion;2:religious_pluralism
123382,incollection,obdrzalek_s:2006,,,2006,,Living in Doubt: Carneades' \emph{Pithanon} Reconsidered,Living in Doubt: Carneades' Pithanon Reconsidered,,,,,,,,,243--280,243,,,,,,,,,,,,,,,,,,,english,false,,,obdrzalek_s,,,1:skepticism
123383,incollection,obdrzalek_s:2009,,,2009,,Fleeing the Divine -- Plato's Rejection of the Ahedonic Ideal in the \emph{Philebus},Fleeing the Divine – Plato's Rejection of the Ahedonic Ideal in the Philebus,,,,,,,,,209--214,209,,,,,,,,,,,,,,,,,,,english,false,,,obdrzalek_s,,,1:ethics;2:metaethics;3:hedonism
123384,incollection,obdrzalek_s:2012,,,2012,,Contemplation and Self-Mastery in Plato's \emph{Phaedrus},Contemplation and Self-Mastery in Plato's Phaedrus,,,,,,,,,77--107,77,,,,,,,,,,,,,,,,,,,english,false,,,obdrzalek_s,,,1:metaphilosophy
123385,incollection,obdrzalek_s:2013,,,2013,,\emph{Er{\=o}s Tyrannos} -- Philosophical Passion and Psychic Ordering in the \emph{Republic},Erōs Tyrannos – Philosophical Passion and Psychic Ordering in the Republic,,,,,,,,,215--221,215,,,,,,,,,,,,,,,,,,,english,false,,,obdrzalek_s,,,1:political_philosophy
123386,incollection,obdrzalek_s:2013a,,,2013,,Socrates on Love,Socrates on Love,,,,,,,,,210--232,210,,,,,,,,,,,,,,,,,,,english,false,,,obdrzalek_s,,,1:feeling;2:friendship;3:love
123387,incollection,obdrzalek_s:2017,,,2017,,Aristophanic Tragedy,Aristophanic Tragedy,,,,,,,,,70--87,70,,,,,,,,,,,,,,,,,,,english,false,,,obdrzalek_s,,,1:aesthetics;2:drama
123388,UNKNOWN,obeid_j:1971,,,1971,,La pens{\'e}e philosophique d'Alfarabi,La pensée philosophique d'Alfarabi,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,french,false,,,obeid_j,,,
123389,article,ober_j:2006,,,2006,,From Epistemic Diversity to Common Knowledge: Rational Rituals and Cooperation in Democratic Athens,From Epistemic Diversity to Common Knowledge: Rational Rituals and Cooperation in Democratic Athens,,,,episteme,3,3,3,3,214--233,214,,,,,,,,,,,,,,,,,,,english,false,,,ober_j,,,1:political_philosophy;2:democracy
123390,article,ober_j:2007,,,2007,,Natural Capacities and Democracy as a Good-in-Itself,Natural Capacities and Democracy as a Good-in-Itself,,,,philosophical-studies,132,132,1,1,59--73,59,,,,,,,,,,,,,,,,,10.1007/s11098-006-9053-0,,english,false,,,ober_j,,,1:political_philosophy;2:democracy
123391,incollection,ober_j:2011,,,2011,,Socrates and Democratic Athens,Socrates and Democratic Athens,,,,,,,,,138--178,138,,,,,,,,,,,,,,,,,,,english,false,,,ober_j,,,1:political_philosophy;2:democracy
123392,incollection,ober_j:2012,,,2012,,"Epistemic Democracy in Classical Athens: Sophistication, Diversity, and Innovation","Epistemic Democracy in Classical Athens: Sophistication, Diversity, and Innovation",,,,,,,,,118--147,118,,,,,,,,,,,,,,,,,,,english,false,,,ober_j,,,1:action;2:collective_action;3:collective_deliberation
123393,incollection,ober_j:2015,,,2015,,"Nature, History, and Aristotle's Best Possible Regime","Nature, History, and Aristotle's Best Possible Regime",,,,,,,,,224--243,224,,,,,,,,,,,,,,,,,,,english,false,,,ober_j,,,
123394,book,ober_j:2017,,,2017,,Demopolis: Democracy before Liberalism in Theory and Practice,Demopolis: Democracy before Liberalism in Theory and Practice,,,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108226790,,english,false,,,ober_j,,,1:political_philosophy;2:democracy
123395,incollection,ober_jo:2021,,,2021,,Classical Athens as an Epistemic Democracy,Classical Athens as an Epistemic Democracy,,,,,,,,,453--489,453,,,,,,,,,,,,,,,,,,,english,false,,,ober_jo,,,1:political_philosophy;2:democracy
123396,UNKNOWN,oberarzbacher_fp:1969,,,1969,,Des Anselm von Canterbury und Thomas von Aquin Wahrheitslehre: eine Vergleichstellung,Des Anselm von Canterbury und Thomas von Aquin Wahrheitslehre: eine Vergleichstellung,,,,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,german,false,,,oberarzbacher_fp,,,
123397,article,oberdan:1980,,,1980,,Plantinga's Doctrine of Essences,Plantinga's Doctrine of Essences,,,,auslegung-a-journal-of-philosophy,7,7,2,2,130--143,130,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,2:essence
123398,incollection,oberdan:1990,,,1990,,Positivism and the Pragmatic Theory of Observation,Positivism and the Pragmatic Theory of Observation,,,,,,,,,25--37,25,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,1:science;2:experimentation;3:observation
123399,incollection,oberdan:1993,,,1993,,The Synthesis of Logicism and Formalism in Carnap's \emph{Logical Syntax of Language},The Synthesis of Logicism and Formalism in Carnap's Logical Syntax of Language,,,,,,,,,157--168,157,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,1:metaphilosophy
123400,incollection,oberdan:1996,,,1996,,Postscript to Protocols: Reflections on Empiricism,Postscript to Protocols: Reflections on Empiricism,,,,,,,,,269--291,269,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,1:representation;2:meaningfulness;3:verificationist_criterion_of_meaningfulness
123401,article,oberdan:2004,,,2004,,Carnap's Conventionalism: The Problem with P-Rules,Carnap's Conventionalism: The Problem with P-Rules,,,,grazer-philosophische-studien,68,68,,,119--137,119,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,1:metaphysics;2:conventionalism
123402,incollection,oberdan:2009,,,2009,,"Geometry, Convention, and the Relativized Apriori: The Schlick-Reichenbach Correspondence","Geometry, Convention, and the Relativized Apriori: The Schlick-Reichenbach Correspondence",,,,,,,,,186--211,186,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,1:epistemology;2:a_priori
123403,article,oberdan:2015,,,2015,,From Helmholtz to Schlick: The Evolution of the Sign-Theory of Perception,From Helmholtz to Schlick: The Evolution of the Sign-Theory of Perception,,,,studies-in-history-and-philosophy-of-science,52,52,,,35--43,35,,,,,,,,,,,,,,,,,,,english,false,,,oberdan,,,1:perception
123404,article,oberdiek_j:2008,,,2008,,Philosophical Issues in Tort Law,Philosophical Issues in Tort Law,,,,philosophy-compass,3,3,4,4,734--748,734,,,,,,,,,,,,,,,,,,,english,false,,,oberdiek_j,,,1:law
