id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
123845,incollection,oeckl_r:2012,,,2012,,Observables in the General Boundary Formulation,Observables in the General Boundary Formulation,,,,,,,137--156,137,,,,,,,,,,,,,,,,,,,english,false,,,oeckl_r,,,1:quantum_mechanics;2:quantum_field_theory
123846,article,oedingen:1959,,,1959,,Der Genius Malignus et Summe Potens et Callidus bei Descartes,Der Genius Malignus et Summe Potens et Callidus bei Descartes,,,,kant-studien,50,2,178--187,178,,,,,,,,,,,,,,,,,,,ngerman,false,,,oedingen,,,1:skepticism;2:evil_demon
123847,article,oedingen:1968,,,1968,,Das Problem des Nicht-Wissens und des Wahrheitsanspruches der Philosophie,Das Problem des Nicht-Wissens und des Wahrheitsanspruches der Philosophie,,,,kant-studien,59,1,80--97,80,,,,,,,,,,,,,,,,,,,ngerman,false,,,oedingen,,,1:metaphilosophy
123848,article,oedingen:1970,,,1970,,"Das Problem der Gegens{\""a}tze und die Transzendenz",Das Problem der Gegensätze und die Transzendenz,,,,kant-studien,61,2,200--208,200,,,,,,,,,,,,,,,,,,,ngerman,false,,,oedingen,,,1:truth;2:excluded_middle;3:non_contradiction
123849,article,oedingen:1971,,,1971,,"{\""U}ber das Ungen{\""u}gen der Auslegung des Menschseins als In-der-Welt-Sein",Über das Ungenügen der Auslegung des Menschseins als In-der-Welt-Sein,,,,kant-studien,62,2,153--161,153,,,,,,,,,,,,,,,,,,,ngerman,false,,,oedingen,,,1:persons
123850,article,oedingen:1974,,,1974,,"Reflexionen {\""u}ber Atheismus",Reflexionen über Atheismus,,,,kant-studien,65,4,361--377,361,,,,,,,,,,,,,,,,,,,ngerman,false,,,oedingen,,,1:religion;2:atheism
123851,article,oedingen:1979,,,1979,,"Das ungel{\""o}ste Problem des M{\""o}nches von Heisterbach: das Problem der R{\""u}ckkehr",Das ungelöste Problem des Mönches von Heisterbach: das Problem der Rückkehr,,,,kant-studien,70,4,471--490,471,,,,,,,,,,,,,,,,,,,ngerman,false,,,oedingen,,,1:time;2:time_travel
123852,article,oeffenberger:2004,,,2004,,"Die Theorie der Folgerung aus falschen Pr{\""a}missenkonjunktionen in der Aristotelischen Syllogistik",Die Theorie der Folgerung aus falschen Prämissenkonjunktionen in der Aristotelischen Syllogistik,,,,archiv-fur-begriffsgeschichte,46,,241--244,241,,,,,,,,,,,,,,,,,,,ngerman,false,,,oeffenberger,,,1:logic;2:entailment;3:logical_consequence
123853,incollection,oehl:2018,,,2018,,"{\""U}berlegungen zum Gottesbegriff in Kants \emph{Religionsschrift}",Überlegungen zum Gottesbegriff in Kants Religionsschrift,,,,,,,2869--2876,2869,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehl,,,1:religion;2:god
123854,incollection,oehler:1969,,,1969,,Die systematische Integration der aristotelischen \emph{Metaphysik}.~Physik und Erste Philosophie im Buch \emph{Lambda},Die systematische Integration der aristotelischen Metaphysik. Physik und Erste Philosophie im Buch Lambda,,,,,,,168--192,168,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:history_of_philosophy;2:aristotle_s_physics
123855,incollection,oehler:1972,,,1972,,Der entmythologisierte Platon.~Zur Lage der Platonforschung,Der entmythologisierte Platon. Zur Lage der Platonforschung,,,,,,,95--129,95,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:history_of_philosophy;2:unwritten_doctrine
123856,misc,oehler:1982,,,1982,,"Die Anf{\""a}nge der Relationenlogik und der Zeichenschluss bei Aristoteles",Die Anfänge der Relationenlogik und der Zeichenschluss bei Aristoteles,"Die Anf{\""a}nge der Relationenlogik und der Zeichenschluss bei Aristoteles",Die Anfänge der Relationenlogik und der Zeichenschluss bei Aristoteles,,,,,259--265,259,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:structuralism;2:relations
123857,book,oehler:1984,,,1984,,"Zeichen und Realit{\""a}t",Zeichen und Realität,"Zeichen und Realit{\""a}t",Zeichen und Realität,,,,,,,,,"T{\""u}bingen",,,stauffenburg,,,,,,,,,,,,,ngerman,false,,,,oehler,,1:representation
123858,book,oehler:1984a,,,1984,,Der unbewegte Beweger des Aristoteles,Der unbewegte Beweger des Aristoteles,,,,,,52,,,,philosophische_abhandlungen,Frankfurt a.M.,,,vittorio-klostermann,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:religion;2:god
123859,book,oehler:1985,,,1985,,Lehre vom Noetischen und Dianoetischen Denken bei Platon und Aristoteles.~Ein Beitrag zur Erforschung der Geschichte des Bewusstseinsproblems in the Antike,Lehre vom Noetischen und Dianoetischen Denken bei Platon und Aristoteles. Ein Beitrag zur Erforschung der Geschichte des Bewusstseinsproblems in the Antike,,,,,,,,,,,Hamburg,,,felix-meiner-verlag,,2,,,,,,,,,,,ngerman,false,,,oehler,,,2:cognition;3:thinking
123860,incollection,oehler:1987,,,1987,,"Eine bisher unver{\""o}ffentlichte englische {\""U}bersetzung der ersten vier Kapitel der aristotelischen Kategorienschrift von Charles Sanders Peirce aus dem Jahre 1864",Eine bisher unveröffentlichte englische Übersetzung der ersten vier Kapitel der aristotelischen Kategorienschrift von Charles Sanders Peirce aus dem Jahre 1864,,,,,,,590--595,590,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:history_of_philosophy
123861,incollection,oehler:1990,,,1990,,Die Byzantinische Philosophie,Die Byzantinische Philosophie,,,,,,,639--649,639,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:history_of_philosophy
123862,incollection,oehler:1998,,,1998,,Platons Semiotik als Inszenierung der Ideen,Platons Semiotik als Inszenierung der Ideen,,,,,,,154--170,154,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehler,,,1:properties;2:forms;3:platonic_forms
123863,article,oehler:2001,,,2001,,Putnam on God: Belief as a fundamental notion of Pragmatist Thought,Putnam on God: Belief as a fundamental notion of Pragmatist Thought,,,,american-catholic-philosophical-quarterly,75,1,45--60,45,,,,,,,,,,,,,,,,,,,english,false,,,oehler,,,1:religion;2:god
123864,incollection,oehlschlaeger:1977,,,1977,,"{\""U}ber das Argumentieren",Über das Argumentieren,,,,,,,11--26,11,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehlschlaeger,,,1:argumentation;2:argumentation_theory
123865,incollection,oehlschlaeger:1977a,,,1977,,Antwort auf \citet{schwitalla:1977},Antwort auf Schwitalla (1977),,,,,,,55--64,55,,,,,,,,,,,,,,,,,,,ngerman,false,,,oehlschlaeger,,,1:argumentation;2:argumentation_theory
123866,incollection,oehman_a-etal:2000,,,2000,,"Unconscious Emotion: Evolutionary Perspectives, Psychophysiological Data and Neuropsychological Mechanisms","Unconscious Emotion: Evolutionary Perspectives, Psychophysiological Data and Neuropsychological Mechanisms",,,,,,,296--327,296,,,,,,,,,,,,,,,,,,,english,false,,,oehman_a;flykt;lundqvist_d,,,1:feeling;2:emotions
123867,incollection,oehman_a-wiens:2003,,,2003,,On the Automaticity of Autonomic Responses in Emotion: An Evolutionary Perceptive,On the Automaticity of Autonomic Responses in Emotion: An Evolutionary Perceptive,,,,,,,256--275,256,,,,,,,,,,,,,,,,,,,english,false,,,oehman_a;wiens_s,,,1:feeling;2:emotions
123868,incollection,oehman_a:1999,,,1999,,Distinguishing unconscious from conscious Emotional Processes: Methodological Considerations and Theoretical Implications,Distinguishing unconscious from conscious Emotional Processes: Methodological Considerations and Theoretical Implications,,,,,,,321--352,321,,,,,,,,,,,,,,,,,,,english,false,,,oehman_a,,,1:psychology;2:the_unconscious
123869,incollection,oehman_a:2008,,,2008,,Fear and Anxiety: Overlaps and Dissociations,Fear and Anxiety: Overlaps and Dissociations,,,,,,,709--729,709,,,,,,,,,,,,,,,,,,,english,false,,,oehman_a,,,1:feeling
123870,book,oehrle-etal:1988,,,1988,,Categorial Grammars and Natural Language Structures,Categorial Grammars and Natural Language Structures,Categorial Grammars and Natural Language Structures,Categorial Grammars and Natural Language Structures,,,,32,,,,studies_in_linguistics_and_philosophy,Dordrecht,,,d-reidel-publishing-co,,,,,,,,,,,,,english,false,,,,oehrle;bach_ew;wheeler_dw,,1:linguistics;2:categorial_grammar
123871,incollection,oehrle:1988,,,1988,,Multi-Dimensional Compositional Functions as a Basis for Grammatical Analysis,Multi-Dimensional Compositional Functions as a Basis for Grammatical Analysis,,,,,,,349--390,349,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:linguistics;2:categorial_grammar
123872,article,oehrle:1994,,,1994,,Term-Labeled Categorial Type Systems,Term-Labeled Categorial Type Systems,,,,linguistics-and-philosophy,17,6,633--678,633,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:linguistics;2:categorial_grammar
123873,misc,oehrle:1995,,,1995,,"Lecture Notes: Prosody, Information and Grammatical Architecture","Lecture Notes: Prosody, Information and Grammatical Architecture","Lecture Notes: Prosody, Information and Grammatical Architecture","Lecture Notes: Prosody, Information and Grammatical Architecture",,,,,,,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:language;2:punctuation
123874,incollection,oehrle:1996,,,1996,,Austinian Pluralities,Austinian Pluralities,,,,,,,433--442,433,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:metaphysics;2:totality
123875,incollection,oehrle:2002,,,2002,,Logics for Intercalation,Logics for Intercalation,,,,,,,33--60,33,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:logic
123876,incollection,oehrle:2003,,,2003,,Structural Communication in Binding,Structural Communication in Binding,,,,,,,179--214,179,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:reference;2:anaphora
123877,incollection,oehrle:2003a,,,2003,,Resource-Sensitivity -- A Brief Guide,Resource-Sensitivity – A Brief Guide,,,,,,,231--256,231,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:reference;2:anaphora
123878,incollection,oehrle:2003b,,,2003,,Some Precursors,Some Precursors,,,,,,,257--290,257,,,,,,,,,,,,,,,,,,,english,false,,,oehrle,,,1:reference;2:anaphora
123879,article,oeinghanhoff:1960,,,1960,,"Descartes und das Problem der Metaphysik.~Zu F.~Alqui{\'e}s Descartes-Interpretation, Review \citet{alquie:1950}","Descartes und das Problem der Metaphysik. Zu F. Alquiés Descartes-Interpretation, Review Alquié (1950)",,,,kant-studien,51,1,196--217,196,,,,,,,,,,,,,,,,,,,ngerman,false,,,oeinghanhoff,,,1:history_of_philosophy
