id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
124013,incollection,oh_ah-rudnicky:2000,,,2000,,Stochastic Language Generation for Spoken LangyageSystems,Stochastic Language Generation for Spoken LangyageSystems,,,,,,,27--32,27,,,,,,,,,,,,,,,,,,,english,false,,,oh_ah;rudnicky_ai,,,1:linguistics;2:dialogue;3:computational_dialogue
124014,book,oh_c-dineen:1979,,,1979,,Syntax and Semantics 11: Presupposition,Syntax and Semantics 11: Presupposition,Syntax and Semantics 11: Presupposition,Syntax and Semantics 11: Presupposition,,,,,,,,,New York,,,academic-press,,,,,,,,,,,,,english,false,,,,oh_c;dineen_da,,1:pragmatics;2:presupposition
124015,article,oh_c:1977,,,1977,,The So-Called Bach-Peters Paradox Explained Away,The So-Called Bach-Peters Paradox Explained Away,,,,theoretical-linguistics,4,3,197--207,197,,,,,,,,,,,,,,,,,,,english,false,,,oh_c,,,1:reference;2:anaphora;3:bach_peters_sentences
124016,incollection,oh_i:2012,,,2012,,Islamic Conceptions of Human Rights,Islamic Conceptions of Human Rights,,,,,,,255--265,255,,,,,,,,,,,,,,,,,,,english,false,,,oh_i,,,1:religion;2:islam
124017,incollection,oh_js:2018,,,2018,,\emph{Dao} and Water: Rethinking Daoism as Naturalism,Dao and Water: Rethinking Daoism as Naturalism,,,,,,,230--235,230,,,,,,,,,,,,,,,,,,,english,false,,,oh_js,,,1:religion;2:daoism
124018,incollection,oh_jy-etal:2015,,,2015,,Understanding Galileo's Inquiries About the Law of Inertia,Understanding Galileo's Inquiries About the Law of Inertia,,,,,,,193--208,193,,,,,,,,,,,,,,,,,,,english,false,,,oh_jy;kim_yos;kim_ch;min_bm;son_ya,,,1:perception;2:perceptual_content;3:cognitive_penetration
124019,book,ohagan_a-west:2010,,,2010,,The Oxford Handbook of Applied Bayesian Analysis,The Oxford Handbook of Applied Bayesian Analysis,The Oxford Handbook of Applied Bayesian Analysis,The Oxford Handbook of Applied Bayesian Analysis,,,,,,,,oxford_handbooks,New York,,,oxford-university-press,,,,,,,,,,,,,english,false,,,,ohagan_a;west_mi,,1:decision_theory
124020,article,ohagan_e:2005,,,2005,,"Belief, Normativity and the Constitution of Agency","Belief, Normativity and the Constitution of Agency",,,,philosophical-explorations,8,1,39--52,39,,,,,,,,,,,,,,,,,,,english,false,,,ohagan_e,,,1:action;2:agency
124021,incollection,ohagan_t:1982,,,1982,,Althusser: How to be a Marxist in Philosophy,Althusser: How to be a Marxist in Philosophy,,,,,,,243--264,243,,,,,,,,,,,,,,,,,,,english,false,,,ohagan_t,,,1:political_philosophy;2:marxism
124022,book,ohagan_t:1999,,,1999,,Rousseau,Rousseau,,,,,,,,,,the_arguments_of_the_philosophers,London,,,routledge,,,,,,,,,,,,,english,false,,,ohagan_t,,,1:political_philosophy
