id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
124238,incollection,olafson_fa:1990,,,1990,,``Human Sciences'' and ``Humanities'': The Case of Literature,“Human Sciences” and “Humanities”: The Case of Literature,,,,,,,,,183--192,183,,,,,,,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:metaphilosophy
124239,book,olafson_fa:1995,,,1995,,What is a Human Being? A Heideggerian View,What is a Human Being? A Heideggerian View,,,,,,,,,,,,modern_european_philosophy,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:persons
124240,book,olafson_fa:1998,,,1998,,Heidegger and the Grounds of Ethics: A Study of \emph{Mitsein},Heidegger and the Grounds of Ethics: A Study of Mitsein,,,,,,,,,,,,modern_european_philosophy,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:ethics
124241,article,olafson_fa:1999,,,1999,,\citet{philipse:1999} on Heidegger on Being,Philipse (1999) on Heidegger on Being,,,,inquiry,42,42,3/4,3,475--485,475,,,,,,,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:ontology;2:being;3:modes_of_being
124242,article,olafson_fa:2000,,,2000,,Heidegger's Thought and Nazism,Heidegger's Thought and Nazism,,,,inquiry,43,43,3,3,271--288,271,,,,,,,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:political_philosophy
124243,book,olafson_fa:2001,,,2001,,Naturalism and the Human Condition: Against Scientism,Naturalism and the Human Condition: Against Scientism,,,,,,,,,,,,,London,,,routledge,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:metaphilosophy;2:naturalism
124244,incollection,olafson_fa:2006,,,2006,,Freedom and Responsibility,Freedom and Responsibility,,,,,,,,,263--270,263,,,,,,,,,,,,,,,,,,,english,false,,,olafson_fa,,,1:history_of_philosophy
124245,incollection,olasov:2020,,,2020,,An Agora Grows in Brooklyn: An Interview with Ian Olasov,An Agora Grows in Brooklyn: An Interview with Ian Olasov,,,,,,,,,403--406,403,,,,,,,,,,,,,,,,,,,english,false,,,olasov,,,1:history_of_philosophy
124246,techreport,olawsky:1989,,,1989,,The Lexical Semantics of Comparative Expressions in a Multi-Level Semantic Processor,The Lexical Semantics of Comparative Expressions in a Multi-Level Semantic Processor,,,,,,,tr-89-19,,,,,,"Minneapolis, Minnesota",university_of_minnesota_institute_of_technology_computer_science_dept,,,,,,,,,,,,,,,english,false,,,olawsky,,,1:semantics;2:comparative_constructions
124247,article,olbrechtstyteca-perelman:1956,,,1956,,La nouvelle rh{\'e}torique,La nouvelle rhétorique,,,,les-etudes-philosophiques,11,11,1,1,20--29,20,,,,,,,,,,,,,,,,,,,french,false,,,olbrechtstyteca;perelman_c,,,1:argumentation;2:informal_logic
