id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
124611,article,omadagain:2012,,,2012,,"Group Agents: Persons, Mobs, or Zombies?","Group Agents: Persons, Mobs, or Zombies?",,,,international-journal-of-philosophical-studies,20,2,271--287,271,,,,,,,,,,,,,,,,,,,english,false,,,omadagain,,,1:action;2:collective_action
124612,article,omadagain:2014,,,2014,,Indexicals and the Metaphysics of Semantic Tokens: When Shapes and Sounds become Utterances,Indexicals and the Metaphysics of Semantic Tokens: When Shapes and Sounds become Utterances,,,,thought,3,1,71--79,71,,,,,,,,,,,,,,,,,10.1002/tht3.114,,english,false,,,omadagain,,,1:representation;2:metaphysics_of_words;3:ontology_of_words
124613,incollection,omadagain:2014a,,,2014,,Can Groups Have Concepts? Semantics for Collective Intentions,Can Groups Have Concepts? Semantics for Collective Intentions,,,,,,,347--363,347,,,,,,,,,,,,,,,,,,,english,false,,,omadagain,,,1:action;2:collective_action
124614,incollection,omadagain:2018,,,2018,,"Outsourcing Concepts: Social Externalism, the Extended Mind, and the Expansion of our Epistemic Capacity","Outsourcing Concepts: Social Externalism, the Extended Mind, and the Expansion of our Epistemic Capacity",,,,,,,24--35,24,,,,,,,,,,,,,,,,,,,english,false,,,omadagain,,,1:epistemology;2:collective_epistemology
124615,article,omalley_jb:1971,,,1971,,Making Meaning,Making Meaning,,,,philosophical-studies-maynooth,20,,62--76,62,,,,,,,,,,,,,,,,,,,english,false,,,omalley_jb,,,1:representation;2:meaning
124616,article,omalley_ma:2010,,,2010,,"Ernst Mayr, the Tree of Life, and Philosophy of Biology","Ernst Mayr, the Tree of Life, and Philosophy of Biology",,,,biology-and-philosophy,25,4,529--552,529,,,,,,,,,,,,,,,,,,,english,false,,,omalley_ma,,,1:biology;2:taxa_natural_kinds
124617,book,omalley_ma:2014,,,2014,,Philosophy of Microbiology,Philosophy of Microbiology,,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,omalley_ma,,,1:biology
124618,article,omalley_ma:2016,,,2016,,Histories of Molecules: Reconciling the Past,Histories of Molecules: Reconciling the Past,,,,studies-in-history-and-philosophy-of-science,55,,69--83,69,,,,,,,,,,,,,,,,,,,english,false,,,omalley_ma,,,1:chemistry
124619,incollection,omalley_ma:2021,,,2021,,Is Evolution Fundamental when it Comes to Biological Ontology? No,Is Evolution Fundamental when it Comes to Biological Ontology? No,,,,,,,93--103,93,,,,,,,,,,,,,,,,,,,english,false,,,omalley_ma,,,1:biology;2:evolution
124620,incollection,omalley_p:2017,,,2017,,Risk,Risk,,,,,,,531--535,531,,,,,,,,,,,,,,,,,,,english,false,,,omalley_p,,,1:law;3:criminology
