id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
124825,article,ooi_d:2022,,,2022,,Theistic Arguments from Horrendous Evils,Theistic Arguments from Horrendous Evils,,,,philosophy-compass,17,8,e12866,e12866,,,,,,,,,,,,,,,,10.1111/phc3.12866,,,false,,ooi_d,,,1:religion;2:problem_of_evil
124826,article,ooi_d:2023,,,2023,,Teaching \& Learning Guide for: Theistic Arguments from Horrendous Evils,Teaching & Learning Guide for: Theistic Arguments from Horrendous Evils,,,,philosophy-compass,18,5,e12917,e12917,,,,,,,,,,,,,,,,10.1111/phc3.12917,,,false,,ooi_d,,,1:religion;2:problem_of_evil
124827,book,ooi_v:1998,,,1998,,Computer Corpus Lexicography,Computer Corpus Lexicography,,,,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,,,,false,,ooi_v,,,1:ai;2:machine_learning
124828,article,ooi_v:1999,,,1999,,Review of \citet{kennedy_g:1998},Review of Kennedy (1998),,,,computational-linguistics,25,2,299--301,,,,,,,,,,,,,,,,,,,,false,,ooi_v,,,1:linguistics;2:corpus_linguistics
124829,article,ookerjee:1996,,,1996,,"Descartes, Berkeley and the External World","Descartes, Berkeley and the External World",,,,indian-philosophical-quarterly,23,1/2,77--93,,,,,,,,,,,,,,,,,,,,false,,ookerjee,,,1:skepticism;2:external_world_skepticism
124830,incollection,oomen:2003,,,2003,,Immanence and Divine Persuasion: Whitehead's Provocative View on the Laws of Nature,Immanence and Divine Persuasion: Whitehead's Provocative View on the Laws of Nature,,,,,,,87--101,,,,,,,,,,,,,,,,,,,,false,,oomen,,,1:belief
124831,incollection,oord_tj-schwartz:2020,,,2020,,Panentheism and Panexperientialism for Open and Relational Theology,Panentheism and Panexperientialism for Open and Relational Theology,,,,,,,231--252,,,,,,,,,,,,,,,,,,,,false,,oord_tj;schwartz_wa,,,1:religion;2:panentheism
124832,book,oord_tj:2007,,,2007,,The Many Facets of Love: Philosophical Explorations,The Many Facets of Love: Philosophical Explorations,The Many Facets of Love: Philosophical Explorations,The Many Facets of Love: Philosophical Explorations,,,,,,,,Newcastle upon Tye,,,cambridge-scholars-publishing,,,,,,,,,,,,,,false,,,oord_tj,,1:feeling;2:friendship;3:love
124833,incollection,oostdijk_d:2014,,,2014,,"``Smile not, however, I venture to repeat'': Schadenfreude in Nineteenth-Century","“Smile not, however, I venture to repeat”: Schadenfreude in Nineteenth-Century",,,,,,,292--303,,,,,,,,,,,,,,,,,,,,false,,oostdijk_d,,,1:feeling;2:schadenfreude
124834,book,oostdijk_n-dehaan:1994,,,1994,,Corpus-Based Research into Language,Corpus-Based Research into Language,Corpus-Based Research into Language,Corpus-Based Research into Language,,,,,,,,Amsterdam,,,rodopi,,,,,,,,,,,,,,false,,,oostdijk_n;dehaan_p,,1:linguistics;2:corpus_linguistics
124835,article,oosterhoff:2012,,,2012,,Early Modern Mathematical Practice in the Round,Early Modern Mathematical Practice in the Round,,,,studies-in-history-and-philosophy-of-science,43,1,224--227,,,,,,,,,,,,,,,,,,,,false,,oosterhoff,,,1:mathematics
124836,incollection,oosterwijk-feldmanbarrett:2014,,,2014,,Embodiment in the Construction of Emotion Experience and Emotion Understanding,Embodiment in the Construction of Emotion Experience and Emotion Understanding,,,,,,,250--260,,,,,,,,,,,,,,,,,,,,false,,oosterwijk;feldmanbarrett,,,1:feeling;2:emotions
124837,article,oosthuizen:1970,,,1970,,Phenomenological Psychology,Phenomenological Psychology,,,,mind,79,,487--501,,,,,,,,,,,,,,,,,,,,false,,oosthuizen,,,1:metaphysics;2:phenomenology
