id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
124967,article,orayen_r:1970,,,1970,,Predicaci{\'o}n de existencia y prueba ontol{\'o}gica,Predicación de existencia y prueba ontológica,,,,critica-revista-hispanoamericana-de-filosofia,4,11/12,123--152,123,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:religion;2:arguments_for_the_existence_of_god;3:ontological_argument
124968,article,orayen_r:1975,,,1975,,Tres dificultades en la Teor{\'{\i}}a de las Descripciones de Bertrand Russell,Tres dificultades en la Teoría de las Descripciones de Bertrand Russell,,,,critica-revista-hispanoamericana-de-filosofia,7,19,69--104,69,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:reference;2:definite_descriptions
124969,article,orayen_r:1977,,,1977,,Necesidad f{\'{\i}}sica: Algunas dificultades l{\'o}gico-sem{\'a}nticas,Necesidad física: Algunas dificultades lógico-semánticas,,,,critica-revista-hispanoamericana-de-filosofia,9,25,37--57,37,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:modality;2:types_of_necessity;3:material_necessity
124970,article,orayen_r:1978,,,1978,,Omnisciencia y futuros contingentes: un comentario l{\'o}gico,Omnisciencia y futuros contingentes: un comentario lógico,,,,critica-revista-hispanoamericana-de-filosofia,10,28,125--128,125,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:religion;2:divine_attributes;3:divine_omniscience
124971,article,orayen_r:1978a,,,1978,,Acerca de la estructura l{\'o}gica de la controversia sobre el mal,Acerca de la estructura lógica de la controversia sobre el mal,,,,critica-revista-hispanoamericana-de-filosofia,10,29,89--103,89,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:religion;2:problem_of_evil
124972,article,orayen_r:1983,,,1983,,Deducibility Implies Relevance? A Negative Answer (II) (On the Philosophical Status of Relevant Logic),Deducibility Implies Relevance? A Negative Answer (II) (On the Philosophical Status of Relevant Logic),,,,critica-revista-hispanoamericana-de-filosofia,15,44,3--25,3,,,,,,,,,,,,,,,,,,,english,false,,,orayen_r,,,1:logic;2:relevance_logic
124973,article,orayen_r:1983a,,,1983,,On Kinds of Relevance (Reply to Raymundo Morado [\citet{morado:1983}]),On Kinds of Relevance (Reply to Raymundo Morado [Morado (1983)]),,,,critica-revista-hispanoamericana-de-filosofia,15,45,109--110,109,,,,,,,,,,,,,,,,,,,english,false,,,orayen_r,,,1:logic;2:relevance_logic
124974,article,orayen_r:1983b,,,1983,,Deducibility Implies Revelance? A Negative Answer (I) (on the Philosophical Status of Relevant Logic),Deducibility Implies Revelance? A Negative Answer (I) (on the Philosophical Status of Relevant Logic),,,,critica-revista-hispanoamericana-de-filosofia,15,43,3--29,3,,,,,,,,,,,,,,,,,,,english,false,,,orayen_r,,,1:logic;2:relevance_logic
124975,article,orayen_r:1985,,,1985,,Conditionals and Relevance.~A Reconsideration,Conditionals and Relevance. A Reconsideration,,,,critica-revista-hispanoamericana-de-filosofia,17,50,73--77,73,,,,,,,,,,,,,,,,,,,english,false,,,orayen_r,,,1:language;2:indicative_conditionals
124976,article,orayen_r:1991,,,1991,,La L{\'o}gica y el dilema de Benacerraf,La Lógica y el dilema de Benacerraf,,,,critica-revista-hispanoamericana-de-filosofia,23,68,127--138,127,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:mathematics;2:nature_of_number
124977,article,orayen_r:1994,,,1994,,Un esbozo de soluci{\'o}n a un enigma de Kripke,Un esbozo de solución a un enigma de Kripke,,,,critica-revista-hispanoamericana-de-filosofia,26,76/77,93--127,93,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:representation;2:meaning_skepticism;3:rule_following
124978,article,orayen_r:1995,,,1995,,Una propuesta de Thomas Simpson sobre contextos oblicuos,Una propuesta de Thomas Simpson sobre contextos oblicuos,,,,critica-revista-hispanoamericana-de-filosofia,27,79,47--53,47,,,,,,,,,,,,,,,,,,,spanish,false,,,orayen_r,,,1:belief;2:belief_reports
124979,book,orbach:1995,,,1995,,"The Hidden Mind: Psychology, Psychotherapy, and Unconscious Processes","The Hidden Mind: Psychology, Psychotherapy, and Unconscious Processes",,,,,,,,,,,New York,,,wiley-publishing-inc,,,,,,,,,,,,,english,false,,,orbach,,,
124980,incollection,orban_j:2010,,,2010,,"Pragrammatology: Derrida's Pragmatism, Rorty's Deconstruction","Pragrammatology: Derrida's Pragmatism, Rorty's Deconstruction",,,,,,,587--599,587,,,,,,,,,,,,,,,,,,,english,false,,,orban_j,,,1:history_of_philosophy
124981,incollection,orban_k-wong:2023,,,2023,,The Sense of Body Ownership: What Are We Studying?,The Sense of Body Ownership: What Are We Studying?,,,,,,,142--167,142,,,,,,,,,,,,,,,,,,,english,false,,,orban_k;wong_hy,,,1:representation;2:de_se;3:mineness
124982,incollection,ord_t:2014,,,2014,,Global Poverty and the Demands of Morality,Global Poverty and the Demands of Morality,,,,,,,177--191,177,,,,,,,,,,,,,,,,,,,english,false,,,ord_t,,,1:political_philosophy;2:international_relations;3:cosmopolitanism
124983,incollection,ord_t:2019,,,2019,,The Moral Imperative Toward Cost-Effectiveness in Global Health,The Moral Imperative Toward Cost-Effectiveness in Global Health,,,,,,,29--36,29,,,,,,,,,,,,,,,,,,,english,false,,,ord_t,,,1:political_philosophy;2:poverty;3:effective_altruism
124984,incollection,ordenes:2018,,,2018,,Die Funktion des anschauenden Verstandes in der Antinomie der teleologischen Urteilskraft,Die Funktion des anschauenden Verstandes in der Antinomie der teleologischen Urteilskraft,,,,,,,1649--1658,1649,,,,,,,,,,,,,,,,,,,ngerman,false,,,ordenes,,,1:perception
124985,book,ordenjimenez-etal:2016,,,2016,,Kant's Shorter Writings: Critical Paths Outside the Critiques,Kant's Shorter Writings: Critical Paths Outside the Critiques,Kant's Shorter Writings: Critical Paths Outside the Critiques,Kant's Shorter Writings: Critical Paths Outside the Critiques,,,,,,,,,Newcastle upon Tye,,,cambridge-scholars-publishing,,,,,,,,,,,,,english,false,,,,ordenjimenez;hanna_r;louden;riveraderosales;sanchezmadrid,,1:history_of_philosophy
124986,book,ordine:1996,,,1996,,Giordano Bruno and the Philosophy of the Ass,Giordano Bruno and the Philosophy of the Ass,,,,,,,,,,,"New Haven, Connecticut",,,yale-university-press,,,,,,,,,,,,,english,false,,,ordine,,,1:history_of_philosophy
124987,incollection,ordonez:1996,,,1996,,The Story of a Non-Discovery: Helmholtz and the Conservation of Energy,The Story of a Non-Discovery: Helmholtz and the Conservation of Energy,,,,,,,1--18,1,,,,,,,,,,,,,,,,,,,english,false,,,ordonez,,,1:science
124988,article,orear:1967,,,1967,,The New Physics,The New Physics,,,,dialectica,21,1--4,277--291,277,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1967.tb00578.x,,english,false,,,orear,,,1:physics
124989,incollection,orear:1970,,,1970,,Scientists and Ethics -- A Case History,Scientists and Ethics – A Case History,,,,,,,356--358,356,,,,,,,,,,,,,,,,,,,english,false,,,orear,,,1:science;2:sociology_of_science
124990,incollection,oregan_c:2012,,,2012,,Answering Back: Augustine's Critique of Heidegger,Answering Back: Augustine's Critique of Heidegger,,,,,,,134--184,134,,,,,,,,,,,,,,,,,,,english,false,,,oregan_c,,,1:religion
